marca,faixa,sku,mpn,nosso_preco,nosso_custo,markup_real,titulo,preco_supplyhouse_PREENCHER,gap_pct_CALCULAR
Amtrol,$25-100,AMTR-390570,390570,94.89,63.26,1.5,Amtrol 390570 2 Gallon ST-5 Therm-X-Trol Expansion Tank,,
Amtrol,$100-400,AMTR-389710,389710,100.83,67.22,1.5,Amtrol 389710 4.4 Gallon EX-30 Extrol Expansion Tank,,
Caleffi,$0-25,CALE-502620A,502620A,16.16,10.77,1.5,"Caleffi North America 502620A ROBOCAL™ Automatic air vent 1/4""",,
Caleffi,$25-100,CALE-301040,301040,54.54,36.36,1.5,"Caleffi North America 301040 STRAIGHT TWO-PIPE VALVE 1/2""M",,
Caleffi,$100-400,CALE-Z55,Z55,190.84,127.23,1.5,"Caleffi North America Z-One™ 2-Way valve body,Normally Closed Actuator",,
Caleffi,$400-1500,CALE-548066A,548066A,573.35,382.23,1.5,"Caleffi North America 548066A Hydro Separator 1"" Press Union",,
Canplas,$0-25,CANP-112321,112321,2.29,1.53,1.497,"Canplas 112321 1-1/2"" x 1-1/2"" x 5/8"" ABS Appliance WYE",,
Canplas,$25-100,CANP-103813A,3813A,54.39,36.26,1.5,"Canplas 3813A 3"" Expansion Joint",,
Canplas,$400-1500,CANP-3920A02,3920A02,766.75,511.17,1.5,"Canplas 3920A02 2"" Endura 7 Gallons Per Minute (GPM) 14lbs Compact Gre",,
Charlotte Pipe,$0-25,PVCP-200-10DWV,200-10DWV,10.5,0.7,15.0,"Charlotte Pipe PVC 04200 0600 2"" x 10' PVC DWV Cellular Core Pipe ASTM",,
Charlotte Pipe,$25-100,PVCP-400-10-SCH40-PE,PVC 7400,43.8,2.92,15.0,"Charlotte Pipe PVC 07400 0600 4"" x 10' PVC SCH40 Plain End Pipe",,
Charlotte Pipe,$100-400,PVCP-800-20DWV,800-20DWV,173.4,5.78,30.0,"Charlotte Pipe PVC 04800 0800 8"" x 20' PVC DWV Cellular Core Pipe ASTM",,
Charlotte Pipe,$400-1500,PVCP-1200-SCH40-BE,PVC 7912B,456.4,15.21,30.007,"Charlotte Pipe PVC 07912B 0600 12"" x 20' PVC SCH40 Belled End Pipe",,
Dearborn,$0-25,DEAR-P9108A,P9108A,5.59,3.73,1.499,"Dearborn® 1-1/2"" x 16"" Center to Center, Slip Joint w/ Baffle Tee P910",,
Dearborn,$25-100,DEAR-704GBN-1,704GBN-1,41.38,27.59,1.5,Dearborn® 704GBN-1 1-1/2 in. P-Trap - 17 Ga. w/ Ground Joint & Brass N,,
Dearborn,$100-400,DEAR-202-1,202-1,112.45,74.97,1.5,"Dearborn® Full Kit, Brass Tubular - 17 Ga. Chain and Stopper with Chro",,
Grundfos,$25-100,GRUN-519852,519852,64.02,42.68,1.5,"Grundfos 519852 Union valve set 1 1/4""-3/4"" NPT",,
Grundfos,$100-400,GRUN-599388,599388,135.02,90.01,1.5,Grundfos 599388 Timer Assy Kit # 2 for UP15,,
Grundfos,$400-1500,GRUN-99452461,99452461,687.9,458.6,1.5,"Grundfos 99452461 3/4"" Sweat UP15-18 B7/LC 1-Speed Bronze Circulator P",,
Grundfos,$1500-+,GRUN-98126804,98126804,3848.41,2565.61,1.5,"Grundfos 98126804 MAGNA3 40-120, Max Head 39.37, Max Flow 85 gpm - Cas",,
Honeywell/Resideo,$0-25,HONE-PV-001RP/U,PV-001RP/U,16.42,10.95,1.5,Resideo PV-001RP/U SuperVent Replacement Vent Top Float Assembly,,
Honeywell/Resideo,$25-100,HONE-POPUP2200/U,POPUP2200/U,53.3,35.53,1.5,Resideo POPUP2200/U 20 in x 25 in x 5 in POPUP Replacement Filter for ,,
Honeywell/Resideo,$100-400,HONE-F100F1625/U,F100F1625/U,187.62,125.08,1.5,Resideo F100F1625/U 16 in x 25 in Media Air Cleaner MERV 11,,
Honeywell/Resideo,$400-1500,HONE-TK30PV125SNK/U,TK30PV125SNK/U,493.78,329.19,1.5,"Resideo TK30PV125SNK/U TK30 Boiler Trim Kit with 1.25"" Sweat SuperVent",,
Honeywell/Resideo,$1500-+,HONE-DR90A3000/U,DR90A3000/U,2413.01,1608.67,1.5,Resideo DR90A3000/U 90-Pt. Whole Home Dehumidification System,,
Legend Valve,$0-25,LEGE-301-505,301-505,12.23,8.15,1.501,"Legend Valve 301-505 1-1/4"" x 4"" - MIP x MIP, Galvanized Steel Dielect",,
Legend Valve,$25-100,LEGE-302-447,302-447,44.71,29.81,1.5,"Legend Valve 302-447 1-1/2"" - CPVC x FIP, Stainless Steel FNPT x CPVC ",,
Legend Valve,$100-400,LEGE-105-517NL,105-517NL,172.06,114.71,1.5,"Legend Valve 105-517NL 1-1/2"" - Sweat x Sweat; Includes 20-Mesh Stainl",,
Legend Valve,$400-1500,LEGE-807-033,807-033,410.6,273.73,1.5,"Legend Valve 807-033 3/4"" - MIP, Stainless Steel 20 Plate (100M BTU/H)",,
Milwaukee,$0-25,MILW-49-56-0132,49-56-0132,16.96,11.31,1.5,"Milwaukee Tools 49-56-0132 2-1/4"" HOLE DOZER™ Bi-Metal Hole Saw",,
