Handle,Command,Variant Weight,Variant Weight Unit
weld-on-182-roof-flashing-cement-dark-1-gallon-128-oz,UPDATE,8.3,lb
weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-gallon-128-fl-oz,UPDATE,8.3,lb
weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-pint-16-fl-oz,UPDATE,1.08,lb
weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-2-pint-8-fl-oz,UPDATE,0.58,lb
weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-4-pint-4-fl-oz,UPDATE,0.33,lb
weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-pint-16-fl-oz,UPDATE,1.08,lb
weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-2-pint-8-fl-oz,UPDATE,0.58,lb
weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-4-pint-4-fl-oz,UPDATE,0.33,lb
weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-pint-16-fl-oz,UPDATE,1.08,lb
weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-2-pint-8-fl-oz,UPDATE,0.58,lb
weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-4-pint-4-fl-oz,UPDATE,0.33,lb
weld-on-781-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-medium-bodied-fast-setting-1-gallon-128-fl-oz,UPDATE,8.3,lb
weld-on-781-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-medium-bodied-fast-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
weld-on-782-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-heavy-bodied-medium-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
weld-on-782-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-heavy-bodied-medium-setting-1-pint-16-fl-oz,UPDATE,1.08,lb
weld-on-782-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-heavy-bodied-medium-setting-1-gallon-128-fl-oz,UPDATE,8.3,lb
weld-on-782-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-heavy-bodied-medium-setting-1-quart-32-fl-oz,UPDATE,2.17,lb
oatey-gallon-pvc-medium-body-gray-cement,UPDATE,8.5,lb
oatey-gallon-pvc-heavy-duty-gray-cement,UPDATE,8.5,lb
oatey-gallon-pvc-all-weather-clear-cement,UPDATE,8.5,lb
