sku,handle,tamanho,peso_anterior_lb,peso_novo_lb,perfil_anterior,perfil_novo,tag_removida
IPSC-10050,weld-on-182-roof-flashing-cement-dark-1-gallon-128-oz,1 Gallon,1.21,8.3,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-12494,weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-gallon-128-fl-oz,1 Gallon,1.21,8.3,General profile,THS Standard - no free shipping,free-ship-eligible
IPSC-12495,weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-12496,weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-pint-16-fl-oz,1 Pint,1.21,1.08,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-12497,weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-2-pint-8-fl-oz,1/2 Pint,1.21,0.58,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-12498,weld-on-735-wet-n-fast-pvc-solvent-cement-blue-low-voc-high-strength-medium-bodied-extremely-fast-setting-1-4-pint-4-fl-oz,1/4 Pint,1.21,0.33,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14001,weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14002,weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-pint-16-fl-oz,1 Pint,1.21,1.08,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14003,weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-2-pint-8-fl-oz,1/2 Pint,1.21,0.58,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14004,weld-on-780-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-regular-bodied-fast-setting-1-4-pint-4-fl-oz,1/4 Pint,1.21,0.33,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14006,weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14007,weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-pint-16-fl-oz,1 Pint,1.21,1.08,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14008,weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-2-pint-8-fl-oz,1/2 Pint,1.21,0.58,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14009,weld-on-781-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-medium-bodied-fast-setting-1-4-pint-4-fl-oz,1/4 Pint,1.21,0.33,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14010,weld-on-781-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-medium-bodied-fast-setting-1-gallon-128-fl-oz,1 Gallon,1.21,8.3,General profile,THS Standard - no free shipping,free-ship-eligible
IPSC-14011,weld-on-781-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-medium-bodied-fast-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14016,weld-on-782-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-heavy-bodied-medium-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,General profile,THS Standard - no free shipping,free-ship-eligible
IPSC-14017,weld-on-782-pvc-plumbing-solvent-cement-clear-low-voc-high-strength-heavy-bodied-medium-setting-1-pint-16-fl-oz,1 Pint,1.21,1.08,THS Standard - no free shipping,(inalterado),(nenhuma)
IPSC-14020,weld-on-782-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-heavy-bodied-medium-setting-1-gallon-128-fl-oz,1 Gallon,1.21,8.3,General profile,THS Standard - no free shipping,free-ship-eligible
IPSC-14021,weld-on-782-pvc-plumbing-solvent-cement-gray-low-voc-high-strength-heavy-bodied-medium-setting-1-quart-32-fl-oz,1 Quart,1.21,2.17,General profile,THS Standard - no free shipping,free-ship-eligible
OATE-30887,oatey-gallon-pvc-medium-body-gray-cement,Gallon,1.95,8.5,General profile,THS Standard - no free shipping,free-ship-eligible
OATE-31118,oatey-gallon-pvc-heavy-duty-gray-cement,Gallon,1.21,8.5,General profile,THS Standard - no free shipping,free-ship-eligible
OATE-31135,oatey-gallon-pvc-all-weather-clear-cement,Gallon,1.21,8.5,General profile,THS Standard - no free shipping,free-ship-eligible
