handle,sku,vendor,ptype,price,lb_loja,L,W,H,cube_in3,lb_dimensional,lb_efetivo,teto_lambda,excesso_x,fonte,variant_id,product_id
e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,MUST-14K,E. L Mustee & Sons,Laundry and Utility Sinks,87.81,1.0,23.0,25.0,33.0,18975,136.5,136.5,2.96,46.1,custom.specifications,44350687150183,7715405987943
dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,DAYT-D-23322-4,Dayton,Drop-In Sinks,394.5,12.4,33.0,22.0,6.5625,4764,34.3,34.3,13.29,2.6,custom.specifications,44350519476327,7715346776167
dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,DAYT-D-12522-3,Dayton,Drop-In Sinks,306.0,9.8,25.0,22.0,6.5625,3609,26.0,26.0,10.31,2.5,custom.specifications,44350517968999,7715346415719
dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,DAYT-D-12522-4,Dayton,Drop-In Sinks,306.0,1.0,25.0,22.0,6.5625,3609,26.0,26.0,10.31,2.5,custom.specifications,44350518591591,7715346546791
franke-maris-topmount-33-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,FRAN-MAG61031OW-SHG,Franke,Drop-In Sinks,582.24,4.07,33.0,22.0,9.5,6897,49.6,49.6,19.62,2.5,custom.specifications,44350702256231,7715417620583
dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,DAYT-D-12521-4,Dayton,Drop-In Sinks,306.0,9.7,25.0,21.25,6.5626,3486,25.1,25.1,10.31,2.4,custom.specifications,44350517739623,7715346350183
dayton-stainless-steel-33-x-22-x-7-1-16-4-hole-equal-double-bowl-drop-in-sink,DAYT-DD-23322-4,Dayton,Drop-In Sinks,502.5,12.4,33.0,22.0,7.0625,5127,36.9,36.9,16.93,2.2,custom.specifications,44350519541863,7715346841703
franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,FRAN-MAG61023-SHG,Franke,Drop-In Sinks,523.03,4.07,25.0,22.0,9.5,5225,37.6,37.6,17.63,2.1,custom.specifications,44350702157927,7715417555047
dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,DAYT-D-23319-3,Dayton,Drop-In Sinks,438.0,13.0,33.0,19.0,6.4375,4036,29.0,29.0,14.76,2.0,custom.specifications,44350519443559,7715346743399
franke-maris-undermount-31-in-x-17-81-in-granite-single-bowl-kitchen-sink-in-matte-black,FRAN-MAG11029-MBK,Franke,Undermount Sinks,582.24,1.0,31.0,17.81,9.5,5245,37.7,37.7,19.62,1.9,custom.specifications,44350702059623,7715417456743
dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,DAYT-DSE-23322-1,Dayton,Drop-In Sinks,712.5,1.0,33.0,22.0,8.0625,5853,42.1,42.1,24.01,1.8,custom.specifications,44350519738471,7715347038311
dayton-stainless-steel-33-x-22-x-8-1-16-3-hole-equal-double-bowl-drop-in-sink,DAYT-DSE-23322-3,Dayton,Drop-In Sinks,712.5,18.25,33.0,22.0,8.0625,5853,42.1,42.1,24.01,1.8,custom.specifications,44350519771239,7715347071079
dayton-stainless-steel-33-x-22-x-8-1-16-4-hole-equal-double-bowl-drop-in-sink,DAYT-DSE-23322-4,Dayton,Drop-In Sinks,712.5,18.25,33.0,22.0,8.0625,5853,42.1,42.1,24.01,1.8,custom.specifications,44350519804007,7715347103847
elkay-quartz-classic-33-x-19-x-10-equal-double-bowl-undermount-sink-with-aqua-divide-white,ELKA-ELGDULB3322WH0,Elkay,Undermount Sinks,726.03,1.0,33.0,19.0,10.0,6270,45.1,45.1,24.47,1.8,custom.specifications,44350690426983,7715408969831
2-x-4-in-wall-carrier-and-tank-for-toilet,GROH-38.996000,Grohe,Toilet Repair Parts & Accessories,564.21,0.63,4.0,24.625,48.4375,4771,34.3,34.3,19.01,1.8,custom.specifications,44350727553127,7715434168423
dayton-stainless-steel-25-x-22-x-8-1-16-3-hole-single-bowl-drop-in-sink,DAYT-DSE-12522-3,Dayton,Drop-In Sinks,573.0,14.0,25.0,22.0,8.0625,4434,31.9,31.9,19.31,1.7,custom.specifications,44350519640167,7715346940007
dayton-stainless-steel-25-x-22-x-8-1-16-4-hole-single-bowl-drop-in-sink,DAYT-DSE-12522-4,Dayton,Drop-In Sinks,573.0,14.0,25.0,22.0,8.0625,4434,31.9,31.9,19.31,1.7,custom.specifications,44350519672935,7715346972775
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11030,FRAN-CUX11030,Franke,Undermount Sinks,643.42,20.25,31.5,17.75,9.0,5032,36.2,36.2,21.68,1.7,custom.specifications,44350701863015,7715417260135
franke-cube-28-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-cux11027,FRAN-CUX11027,Franke,Undermount Sinks,692.78,1.0,28.5,17.75,9.0,4553,32.8,32.8,23.35,1.4,custom.specifications,44350701830247,7715417227367
dayton-stainless-steel-25-x-19-x-6-5-16-1-hole-equal-double-bowl-drop-in-sink,DAYT-D-22519-1,Dayton,Drop-In Sinks,487.5,1.0,25.0,19.0,6.3125,2998,21.6,21.6,16.43,1.3,custom.specifications,44350519214183,7715346677863
dayton-stainless-steel-25-x-21-1-4-x-5-3-8-3-hole-single-bowl-drop-in-sink-with-right-drain,DAYT-GE-12521-R3,Dayton,Drop-In Sinks,459.0,9.9,25.0,21.25,5.375,2855,20.5,20.5,15.47,1.3,custom.specifications,44350520000615,7715347300455
franke-peak-32-0-in-x-18-8-in-matte-black-granite-undermount-single-bowl-kitchen-sink-pkg11031mbk,FRAN-PKG11031MBK,Franke,Undermount Sinks,919.25,1.0,32.0,18.75,9.5,5700,41.0,41.0,30.98,1.3,custom.specifications,44350702354535,7715417718887
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-single-bowl-kitchen-sink-pkg11031shg,FRAN-PKG11031SHG,Franke,Undermount Sinks,919.25,1.0,32.0,18.75,9.5,5700,41.0,41.0,30.98,1.3,custom.specifications,44350702452839,7715417817191
franke-peak-32-0-in-x-18-8-in-stone-grey-granite-undermount-double-bowl-kitchen-sink-pkg160ld-shg,FRAN-PKG160LD-SHG,Franke,Undermount Sinks,910.46,1.0,32.0,18.75,9.5,5700,41.0,41.0,30.68,1.3,custom.specifications,44350702911591,7715417948263
quatrus-r15-28-single-bowl-kitchen-sink,BLAN-443147,Blanco,Undermount Sinks,733.22,1.0,28.0,16.0,9.08,4068,29.3,29.3,24.71,1.2,custom.specifications,44350341054567,7715249881191
dayton-stainless-steel-17-x-19-x-6-1-8-3-hole-single-bowl-drop-in-bar-sink,DAYT-D-11719-3,Dayton,Drop-In Sinks,354.0,9.0,17.0,19.0,6.1875,1999,14.4,14.4,11.93,1.2,custom.specifications,44350517510247,7715346284647
franke-cube-31-5-in-x-17-7-in-18-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-cux120,FRAN-CUX120,Franke,Undermount Sinks,907.9,24.0,31.5,17.75,9.0,5032,36.2,36.2,30.6,1.2,custom.specifications,44350701895783,7715417292903
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink,DAYT-DCFU2816,Dayton,Undermount Sinks,864.0,1.0,30.5,18.25,8.0,4453,32.0,32.0,29.12,1.1,custom.specifications,44350519509095,7715346808935
dayton-stainless-steel-20-x-20-x-10-1-8-1-hole-single-bowl-drop-in-laundry-sink,DAYT-DPC1202010-1,Dayton,Drop-In Sinks,777.0,1.0,20.0,20.0,10.125,4050,29.1,29.1,26.18,1.1,custom.specifications,44350519607399,7715346907239
dayton-stainless-steel-31-3-4-x-18-1-4-x-8-equal-double-bowl-undermount-sink,DAYT-DXUH3118,Dayton,Undermount Sinks,910.5,16.0,31.75,18.25,8.0,4636,33.3,33.3,30.68,1.1,custom.specifications,44350519967847,7715347267687
dayton-stainless-steel-30-1-2-x-18-1-4-x-8-single-bowl-undermount-sink-dayt-dxuh2816,DAYT-DXUH2816,Dayton,Undermount Sinks,910.5,1.0,30.5,18.25,8.0,4453,32.0,32.0,30.68,1.0,custom.specifications,44350519935079,7715347234919
franke-grande-32-75-in-x-18-7-in-18-gauge-stainless-steel-undermount-single-bowl-kitchen-sink-gdx11031,FRAN-GDX11031,Franke,Undermount Sinks,1135.08,24.0,32.75,18.75,9.0,5527,39.8,39.8,38.25,1.0,custom.specifications,44350702026855,7715417423975
