handle,sku,preco,perfil_atual,free_ship_eligible,L,W,H,ft3_com_folga,nota
wall-union,GROH-26.635GN0,0.00,General profile,nao,90.0,50.0,64.0,182.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-left-seat,MAXV-102676-L-000-001,986.81,THS Freight & Oversize,nao,60.0,36.0,77.38,108.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
ss3660-r-l-acrylx-alcove-center-drain-one-piece-shower-in-white-right-seat,MAXV-102676-R-000-001,986.81,THS Freight & Oversize,nao,60.0,36.0,77.38,108.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3460-afr-acrylx-alcove-left-hand-drain-four-piece-shower-in-white-right-seat,MAXV-145043-000-002-595,1512.12,THS Freight & Oversize,nao,59.75,33.5,82.12,106.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3460-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,MAXV-145043-000-002-594,1512.12,THS Freight & Oversize,nao,59.75,33.5,82.12,106.7,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
ss3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,MAXV-140088-000-002,1010.43,THS Freight & Oversize,nao,60.0,36.0,75.0,105.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3460-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,MAXV-145042-000-002-094,1512.12,THS Freight & Oversize,nao,59.75,33.5,80.12,104.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tsea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,MAXV-140101-L-000-001,1017.71,THS Freight & Oversize,nao,60.0,34.0,77.75,103.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tsea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,MAXV-140101-R-000-001,1017.71,THS Freight & Oversize,nao,60.0,34.0,77.75,103.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kdts-3260-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,MAXV-145013-000-002-594,1383.06,THS Freight & Oversize,nao,59.88,32.0,81.75,102.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kdts-3260-afr-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,MAXV-145013-000-002-595,1383.06,THS Freight & Oversize,nao,59.88,32.0,81.75,102.0,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
sst3660-acrylx-alcove-center-drain-one-piece-shower-in-white-two-seats,MAXV-140093-000-001,1024.98,THS Freight & Oversize,nao,60.0,36.0,72.0,100.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-durawall-wall-door-components-glossy-white-shower-bases-walls-5-piece-rectangle-corner-alcove-51-1-2-x-43-3-4-x-71-1-2,MUST-247WHT,441.06,THS Standard - no free shipping,nao,51.0,43.0,71.0,100.8,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kdts-3260-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,MAXV-145012-000-002-094,1383.06,THS Freight & Oversize,nao,59.88,32.0,79.25,98.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kdts-3260-acrylx-alcove-right-hand-drain-four-piece-tub-shower-in-white,MAXV-145012-000-002-095,1383.06,THS Freight & Oversize,nao,59.88,32.0,79.25,98.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tsea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,MAXV-105674-L-000-002,945.00,THS Freight & Oversize,nao,59.75,32.0,78.0,97.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tsea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,MAXV-105674-R-000-002,945.00,THS Freight & Oversize,nao,59.75,32.0,78.0,97.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea-plus-60-x-32-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,MAXV-105930-L-000-002,945.00,THS Freight & Oversize,nao,59.75,32.0,78.0,97.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea-plus-60-x-32-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,MAXV-105930-R-000-002,945.00,THS Freight & Oversize,nao,59.75,32.0,78.0,97.2,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-tile-pattern-60-x-34-x-73-1-4,MUST-760T-34WHT,1283.24,THS Standard - no free shipping,nao,60.0,34.0,73.0,96.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3060-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-no-seat,MAXV-145037-000-002-593,1390.17,THS Freight & Oversize,nao,59.75,30.0,82.25,96.3,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3060-afr-acrylx-alcove-right-hand-drain-four-piece-shower-in-white-left-seat,MAXV-145037-000-002-594,1390.17,THS Freight & Oversize,nao,59.75,30.0,82.25,96.3,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea63-60-x-34-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,MAXV-140110-L-000-001,1032.25,THS Freight & Oversize,nao,60.0,34.0,72.0,95.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea63-60-x-34-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,MAXV-140110-R-000-001,1032.25,THS Freight & Oversize,nao,60.0,34.0,72.0,95.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kdts-3060-afr-acrylx-alcove-left-hand-drain-four-piece-tub-shower-in-white,MAXV-145007-000-002-594,1321.26,THS Freight & Oversize,nao,59.88,30.12,79.62,93.9,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea62-60-x-31-acrylx-alcove-left-hand-drain-one-piece-tub-shower-in-white,MAXV-140109-L-000-001,923.19,THS Freight & Oversize,nao,60.0,31.0,72.0,87.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
tstea62-60-x-31-acrylx-alcove-right-hand-drain-one-piece-tub-shower-in-white,MAXV-140109-R-000-001,923.19,THS Freight & Oversize,nao,60.0,31.0,72.0,87.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
kds-3448-afr-acrylx-alcove-center-drain-four-piece-shower-in-white-left-seat,MAXV-145031-000-002-594,1256.50,THS Freight & Oversize,nao,47.88,33.62,82.25,86.6,caixa passa do degrau de 10 ft3 da UPS - candidato a Freight & Oversize
