Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
1-1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 25.5, ""unit"": ""in""}","{""value"": 13.5, ""unit"": ""in""}","{""value"": 9.6, ""unit"": ""in""}"
1-1-2-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 17.69, ""unit"": ""in""}","{""value"": 11.25, ""unit"": ""in""}","{""value"": 6.62, ""unit"": ""in""}"
1-1-2-in-npt-connection-supervent-air-eliminator,UPDATE,"{""value"": 11.7, ""unit"": ""in""}","{""value"": 6.3, ""unit"": ""in""}","{""value"": 5.1, ""unit"": ""in""}"
1-1-2-press-supervent-air-eliminator,UPDATE,"{""value"": 11.6, ""unit"": ""in""}","{""value"": 10.3, ""unit"": ""in""}","{""value"": 4.9, ""unit"": ""in""}"
1-1-2-x-8-1-2-vacuum-breaker-backflow-preventer-with-flush-tube-and-nut-in-polished-chrome-finish,UPDATE,"{""value"": 12.0, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,"{""value"": 10.9, ""unit"": ""in""}","{""value"": 10.4, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}"
1-1-4-600xl-pressure-reducing-valve,UPDATE,"{""value"": 9.13, ""unit"": ""in""}","{""value"": 5.8, ""unit"": ""in""}","{""value"": 10.0, ""unit"": ""in""}"
1-1-4-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 17.56, ""unit"": ""in""}","{""value"": 11.25, ""unit"": ""in""}","{""value"": 6.06, ""unit"": ""in""}"
1-1-4-in-npt-connection-supervent-air-eliminator,UPDATE,"{""value"": 10.4, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}"
1-1-4-in-supervent-air-eliminator-with-a-1-in-pro-press-connection,UPDATE,"{""value"": 10.4, ""unit"": ""in""}","{""value"": 6.4, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}"
1-1-4-supervent-air-eliminator-sweat,UPDATE,"{""value"": 10.4, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}"
1-2-1-air-gap-fitting-compatible-with-model-375-375xl,UPDATE,"{""value"": 5.4, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}","{""value"": 5.8, ""unit"": ""in""}"
1-2-3-4-375-375xl-375st-complete-internals-repair-kit,UPDATE,"{""value"": 8.88, ""unit"": ""in""}","{""value"": 6.88, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 14.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}","{""value"": 5.38, ""unit"": ""in""}"
1-2-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 11.31, ""unit"": ""in""}","{""value"": 8.59, ""unit"": ""in""}","{""value"": 4.81, ""unit"": ""in""}"
1-2-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,UPDATE,"{""value"": 7.5, ""unit"": ""in""}","{""value"": 4.8, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
1-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 18.9, ""unit"": ""in""}","{""value"": 11.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}"
1-4-1-2-975xl-xl2-complete-poppets-springs-and-seats-repair-kit,UPDATE,"{""value"": 4.6, ""unit"": ""in""}","{""value"": 7.3, ""unit"": ""in""}","{""value"": 7.6, ""unit"": ""in""}"
1-600xl-pressure-reducing-valve,UPDATE,"{""value"": 8.4, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}","{""value"": 9.25, ""unit"": ""in""}"
1-70xl-pressure-reducing-valve,UPDATE,"{""value"": 8.4, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}"
1-975xl3-reduced-pressure-principle-backflow-preventer,UPDATE,"{""value"": 13.81, ""unit"": ""in""}","{""value"": 8.94, ""unit"": ""in""}","{""value"": 5.47, ""unit"": ""in""}"
1-heat-1-cool-horizontal-thermostat-45-to-95-f,UPDATE,"{""value"": 4.88, ""unit"": ""in""}","{""value"": 6.75, ""unit"": ""in""}","{""value"": 3.38, ""unit"": ""in""}"
1-heat-1-cool-stage-thermostat-for-24-vac-heating-and-cooling,UPDATE,"{""value"": 5.12, ""unit"": ""in""}","{""value"": 5.12, ""unit"": ""in""}","{""value"": 2.88, ""unit"": ""in""}"
1-heat-1-cool-thermostat-45-95-f,UPDATE,"{""value"": 6.75, ""unit"": ""in""}","{""value"": 4.88, ""unit"": ""in""}","{""value"": 3.38, ""unit"": ""in""}"
1-in-npt-connection-supervent-air-eliminator,UPDATE,"{""value"": 10.1, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}","{""value"": 4.1, ""unit"": ""in""}"
1-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,UPDATE,"{""value"": 7.5, ""unit"": ""in""}","{""value"": 4.8, ""unit"": ""in""}","{""value"": 7.5, ""unit"": ""in""}"
1-in-sweat-connection-supervent-air-eliminator,UPDATE,"{""value"": 10.1, ""unit"": ""in""}","{""value"": 5.3, ""unit"": ""in""}","{""value"": 4.1, ""unit"": ""in""}"
1-inch-supervent-air-eliminator-with-a-1-inch-propress-connections-and-22-cv-capacity,UPDATE,"{""value"": 10.1, ""unit"": ""in""}","{""value"": 8.4, ""unit"": ""in""}","{""value"": 4.1, ""unit"": ""in""}"
1-model-375-375xl-complete-internals-repair-kit,UPDATE,"{""value"": 8.88, ""unit"": ""in""}","{""value"": 6.88, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
1-pole-24-vac-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
1-pole-24-vac-deluxe-definite-purpose-contactor,UPDATE,"{""value"": 4.36, ""unit"": ""in""}","{""value"": 5.2, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
1-pole-24-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
1-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp1030a5014-u,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
10-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 12.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
110-massage-hand-shower-3-sprays-2-5-gpm-in-grohe-brushed-nickel,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}","{""value"": 11.0, ""unit"": ""in""}"
112-sxl-1-1-2-sxl-cast-bronze-wye-type-strainer,UPDATE,"{""value"": 8.25, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}"
12-va-general-purpose-relay-with-dpdt-switching,UPDATE,"{""value"": 3.88, ""unit"": ""in""}","{""value"": 4.16, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-v-general-purpose-relay-with-dpdt-switching,UPDATE,"{""value"": 3.88, ""unit"": ""in""}","{""value"": 4.16, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-vac-1-2-in-flare-diverting-quickfit-zone-valve,UPDATE,"{""value"": 7.38, ""unit"": ""in""}","{""value"": 6.69, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-vac-1-2-in-sweat-diverting-quickfit-zone-valve,UPDATE,"{""value"": 6.62, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-vac-2-pole-economy-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}","{""value"": 4.17, ""unit"": ""in""}"
120-vac-3-4-in-sweat-diverting-quickfit-zone-valve,UPDATE,"{""value"": 6.81, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-vac-npt-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
120-vac-sweat-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
150-kbtuh-intermittent-pilot-retrofit-kit,UPDATE,"{""value"": 5.94, ""unit"": ""in""}","{""value"": 7.44, ""unit"": ""in""}","{""value"": 4.62, ""unit"": ""in""}"
16-in-x-25-in-merv-13-charged-media-filter,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 27.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
16-in-x-28-in-x-5-in-popup-replacement-filter-for-space-guard-2400,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 29.12, ""unit"": ""in""}","{""value"": 7.88, ""unit"": ""in""}"
19x16-oval-rimless-undermount-lavatory-white-vitreous-china,UPDATE,"{""value"": 18.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 9.5, ""unit"": ""in""}"
2-1-2-6-air-gap-fitting-compatible-with-model-375-375a-475,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 12.0, ""unit"": ""in""}"
2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,UPDATE,"{""value"": 25.5, ""unit"": ""in""}","{""value"": 13.5, ""unit"": ""in""}","{""value"": 9.6, ""unit"": ""in""}"
2-600xl-pressure-reducing-valve,UPDATE,"{""value"": 12.9, ""unit"": ""in""}","{""value"": 8.5, ""unit"": ""in""}","{""value"": 14.0, ""unit"": ""in""}"
2-baseboard-heater-complete-700-series-3-4-element,UPDATE,"{""value"": 4.0, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}","{""value"": 9.0, ""unit"": ""in""}"
2-pole-120-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
2-pole-208-240-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 4.2, ""unit"": ""in""}","{""value"": 4.5, ""unit"": ""in""}","{""value"": 5.31, ""unit"": ""in""}"
2-pole-24-vac-economy-definite-purpose-contactor,UPDATE,"{""value"": 5.25, ""unit"": ""in""}","{""value"": 5.63, ""unit"": ""in""}","{""value"": 5.8, ""unit"": ""in""}"
2-pole-24-vac-powerpro-definite-purpose-contactor,UPDATE,"{""value"": 5.25, ""unit"": ""in""}","{""value"": 5.63, ""unit"": ""in""}","{""value"": 5.8, ""unit"": ""in""}"
2-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp2040a5004-u,UPDATE,"{""value"": 4.36, ""unit"": ""in""}","{""value"": 5.2, ""unit"": ""in""}","{""value"": 4.0, ""unit"": ""in""}"
2-position-actuator-for-vu52-no-and-vu54-valve-bodies-24-v-50-60-hz,UPDATE,"{""value"": 4.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
2-position-low-volt-actuator-for-vc-series-valve,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc8110zz32-u,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
2-position-low-volt-actuator-for-vc-series-with-end-switch,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
2-position-low-volt-actuator-for-vc-series-with-end-switch-hone-vc8714zz11-u,UPDATE,"{""value"": 4.8, ""unit"": ""in""}","{""value"": 5.7, ""unit"": ""in""}","{""value"": 4.7, ""unit"": ""in""}"
2-x-4-in-wall-carrier-and-tank-for-toilet,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 26.0, ""unit"": ""in""}","{""value"": 50.0, ""unit"": ""in""}"
20-in-x-25-in-merv-13-charged-media-filter,UPDATE,"{""value"": 22.0, ""unit"": ""in""}","{""value"": 27.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}"
20-in-x-25-in-x-5-in-popup-replacement-filter-for-space-guard-2200,UPDATE,"{""value"": 22.25, ""unit"": ""in""}","{""value"": 26.25, ""unit"": ""in""}","{""value"": 7.88, ""unit"": ""in""}"
20-in-x-30-in-x-4-in-return-grille-media-air-filter,UPDATE,"{""value"": 22.0, ""unit"": ""in""}","{""value"": 32.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}"
208-240-vac-general-purpose-relay-with-dpdt-switching,UPDATE,"{""value"": 3.88, ""unit"": ""in""}","{""value"": 4.16, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
20x18-wall-mount-high-back-sink-lavatory-4-centers-white-vitreous-china,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 13.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}"
24-shower-slide-bar-kit-3-sprays-1-75-gpm-in-grohe-brushed-nickel,UPDATE,"{""value"": 7.0, ""unit"": ""in""}","{""value"": 7.0, ""unit"": ""in""}","{""value"": 26.0, ""unit"": ""in""}"
24-v-spst-switching-electric-heater-relay,UPDATE,"{""value"": 5.88, ""unit"": ""in""}","{""value"": 4.81, ""unit"": ""in""}","{""value"": 3.5, ""unit"": ""in""}"
24-v-spst-switching-electric-heater-relay-hone-r841d1036-u,UPDATE,"{""value"": 5.88, ""unit"": ""in""}","{""value"": 4.81, ""unit"": ""in""}","{""value"": 3.5, ""unit"": ""in""}"
24-vac-1-2-in-flare-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 6.69, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-invert-flare-n-c-quickfit-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.62, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-npt-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-npt-nc-quickfit-zone-valve,UPDATE,"{""value"": 6.88, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-sweat-n-c-quickfit-zone-valve,UPDATE,"{""value"": 6.62, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-sweat-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-sweat-n-c-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-2-in-sweat-n-o-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-in-npt-n-c-quickfit-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-in-sweat-n-c-zone-valve,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 6.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-1-in-sweat-n-c-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.69, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-npt-n-c-quickfit-zone-valve,UPDATE,"{""value"": 6.88, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-npt-n-c-quickfit-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-pro-press-zone-valve-with-18-in-lead-wire,UPDATE,"{""value"": 6.0, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}","{""value"": 8.0, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve,UPDATE,"{""value"": 6.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-hone-v8043f5036-u,UPDATE,"{""value"": 6.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-hone-v8044a1044-u,UPDATE,"{""value"": 6.81, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
24-vac-3-4-in-sweat-n-c-quickfit-zone-valve-with-18-in-lead-wires,UPDATE,"{""value"": 6.38, ""unit"": ""in""}","{""value"": 5.5, ""unit"": ""in""}","{""value"": 4.38, ""unit"": ""in""}"
