handle,fonte,produto_L,produto_W,produto_H,caixa_L,caixa_W,caixa_H,volume_in3,ft3,peso_dimensional_lb
1-1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,L/W/H,23.5,11.5,7.6,25.5,13.5,9.6,3304.8,1.91,23.78
1-1-2-975xl3-reduced-pressure-principle-backflow-preventer,L/W/H,15.69,9.25,4.62,17.69,11.25,6.62,1317.5,0.76,9.48
1-1-2-in-npt-connection-supervent-air-eliminator,Dimensions,9.7,4.3,3.1,11.7,6.3,5.1,375.9,0.22,2.7
1-1-2-press-supervent-air-eliminator,Dimensions,9.6,8.3,2.9,11.6,10.3,4.9,585.5,0.34,4.21
1-1-2-x-8-1-2-vacuum-breaker-backflow-preventer-with-flush-tube-and-nut-in-polished-chrome-finish,L/W/H,10.0,6.0,7.0,12.0,8.0,9.0,864.0,0.5,6.22
1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,L/W/H,8.9,8.4,5.3,10.9,10.4,7.3,827.5,0.48,5.95
1-1-4-600xl-pressure-reducing-valve,L/W/H,7.13,3.8,8.0,9.13,5.8,10.0,529.5,0.31,3.81
1-1-4-975xl3-reduced-pressure-principle-backflow-preventer,L/W/H,15.56,9.25,4.06,17.56,11.25,6.06,1197.2,0.69,8.61
1-1-4-in-npt-connection-supervent-air-eliminator,Dimensions,8.4,3.7,2.5,10.4,5.7,4.5,266.8,0.15,1.92
1-1-4-in-supervent-air-eliminator-with-a-1-in-pro-press-connection,Dimensions,8.4,4.4,2.5,10.4,6.4,4.5,299.5,0.17,2.15
1-1-4-supervent-air-eliminator-sweat,Dimensions,8.4,3.7,2.5,10.4,5.7,4.5,266.8,0.15,1.92
1-2-1-air-gap-fitting-compatible-with-model-375-375xl,L/W/H,3.4,6.5,3.8,5.4,8.5,5.8,266.2,0.15,1.92
1-2-3-4-375-375xl-375st-complete-internals-repair-kit,L/W/H,6.88,4.88,2.0,8.88,6.88,4.0,244.4,0.14,1.76
1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,L/W/H,12.0,7.0,3.38,14.0,9.0,5.38,677.9,0.39,4.88
1-2-975xl3-reduced-pressure-principle-backflow-preventer,L/W/H,9.31,6.59,2.81,11.31,8.59,4.81,467.3,0.27,3.36
1-2-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,L/W/H,5.5,2.8,5.5,7.5,4.8,7.5,270.0,0.16,1.94
1-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,L/W/H,16.9,9.0,5.0,18.9,11.0,7.0,1455.3,0.84,10.47
1-4-1-2-975xl-xl2-complete-poppets-springs-and-seats-repair-kit,L/W/H,2.6,5.3,5.6,4.6,7.3,7.6,255.2,0.15,1.84
1-600xl-pressure-reducing-valve,L/W/H,6.4,3.3,7.25,8.4,5.3,9.25,411.8,0.24,2.96
1-70xl-pressure-reducing-valve,L/W/H,6.4,3.3,6.5,8.4,5.3,8.5,378.4,0.22,2.72
1-975xl3-reduced-pressure-principle-backflow-preventer,L/W/H,11.81,6.94,3.47,13.81,8.94,5.47,675.3,0.39,4.86
1-heat-1-cool-horizontal-thermostat-45-to-95-f,Dimensions,2.88,4.75,1.38,4.88,6.75,3.38,111.3,0.06,0.8
1-heat-1-cool-stage-thermostat-for-24-vac-heating-and-cooling,Dimensions,3.12,3.12,0.88,5.12,5.12,2.88,75.5,0.04,0.54
1-heat-1-cool-thermostat-45-95-f,Dimensions,4.75,2.88,1.38,6.75,4.88,3.38,111.3,0.06,0.8
1-in-npt-connection-supervent-air-eliminator,Dimensions,8.1,3.3,2.1,10.1,5.3,4.1,219.5,0.13,1.58
1-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,L/W/H,5.5,2.8,5.5,7.5,4.8,7.5,270.0,0.16,1.94
1-in-sweat-connection-supervent-air-eliminator,Dimensions,8.1,3.3,2.1,10.1,5.3,4.1,219.5,0.13,1.58
1-inch-supervent-air-eliminator-with-a-1-inch-propress-connections-and-22-cv-capacity,Dimensions,8.1,6.4,2.1,10.1,8.4,4.1,347.8,0.2,2.5
1-model-375-375xl-complete-internals-repair-kit,L/W/H,6.88,4.88,2.0,8.88,6.88,4.0,244.4,0.14,1.76
1-pole-24-vac-definite-purpose-contactor,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
1-pole-24-vac-deluxe-definite-purpose-contactor,Dimensions,2.36,3.2,2.0,4.36,5.2,4.0,90.7,0.05,0.65
1-pole-24-vac-powerpro-definite-purpose-contactor,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
1-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp1030a5014-u,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
10-baseboard-heater-complete-700-series-3-4-element,L/W/H,10.0,2.0,7.0,12.0,4.0,9.0,432.0,0.25,3.11
110-massage-hand-shower-3-sprays-2-5-gpm-in-grohe-brushed-nickel,L/W/H,5.0,4.0,9.0,7.0,6.0,11.0,462.0,0.27,3.32
112-sxl-1-1-2-sxl-cast-bronze-wye-type-strainer,L/W/H,6.25,5.0,2.5,8.25,7.0,4.5,259.9,0.15,1.87
12-va-general-purpose-relay-with-dpdt-switching,Dimensions,1.88,2.16,2.38,3.88,4.16,4.38,70.7,0.04,0.51
120-v-general-purpose-relay-with-dpdt-switching,Dimensions,1.88,2.16,2.38,3.88,4.16,4.38,70.7,0.04,0.51
120-vac-1-2-in-flare-diverting-quickfit-zone-valve,Dimensions,5.38,4.69,2.38,7.38,6.69,4.38,216.3,0.13,1.56
120-vac-1-2-in-sweat-diverting-quickfit-zone-valve,Dimensions,4.62,3.5,2.38,6.62,5.5,4.38,159.5,0.09,1.15
120-vac-2-pole-economy-definite-purpose-contactor,Dimensions,2.2,3.31,2.17,4.2,5.31,4.17,93.0,0.05,0.67
120-vac-3-4-in-sweat-diverting-quickfit-zone-valve,Dimensions,4.81,3.5,2.38,6.81,5.5,4.38,164.1,0.09,1.18
120-vac-npt-n-c-zone-valve,Dimensions,4.0,3.0,2.38,6.0,5.0,4.38,131.4,0.08,0.95
120-vac-sweat-n-c-zone-valve,Dimensions,4.0,3.5,2.38,6.0,5.5,4.38,144.5,0.08,1.04
150-kbtuh-intermittent-pilot-retrofit-kit,Dimensions,3.94,5.44,2.62,5.94,7.44,4.62,204.2,0.12,1.47
16-in-x-25-in-merv-13-charged-media-filter,Dimensions,16.0,25.0,4.0,18.0,27.0,6.0,2916.0,1.69,20.98
16-in-x-28-in-x-5-in-popup-replacement-filter-for-space-guard-2400,Dimensions,16.0,27.12,5.88,18.0,29.12,7.88,4130.4,2.39,29.71
19x16-oval-rimless-undermount-lavatory-white-vitreous-china,L/W/H,16.0,19.0,7.5,18.0,21.0,9.5,3591.0,2.08,25.83
2-1-2-6-air-gap-fitting-compatible-with-model-375-375a-475,L/W/H,5.0,5.0,10.0,7.0,7.0,12.0,588.0,0.34,4.23
2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,L/W/H,23.5,11.5,7.6,25.5,13.5,9.6,3304.8,1.91,23.78
2-600xl-pressure-reducing-valve,L/W/H,10.9,6.5,12.0,12.9,8.5,14.0,1535.1,0.89,11.04
2-baseboard-heater-complete-700-series-3-4-element,L/W/H,2.0,2.0,7.0,4.0,4.0,9.0,144.0,0.08,1.04
2-pole-120-vac-powerpro-definite-purpose-contactor,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
2-pole-208-240-vac-powerpro-definite-purpose-contactor,Dimensions,2.2,2.5,3.31,4.2,4.5,5.31,100.4,0.06,0.72
2-pole-24-vac-economy-definite-purpose-contactor,Dimensions,3.25,3.63,3.8,5.25,5.63,5.8,171.4,0.1,1.23
2-pole-24-vac-powerpro-definite-purpose-contactor,Dimensions,3.25,3.63,3.8,5.25,5.63,5.8,171.4,0.1,1.23
2-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp2040a5004-u,Dimensions,2.36,3.2,2.0,4.36,5.2,4.0,90.7,0.05,0.65
2-position-actuator-for-vu52-no-and-vu54-valve-bodies-24-v-50-60-hz,Dimensions,2.38,3.5,2.38,4.38,5.5,4.38,105.5,0.06,0.76
2-position-low-volt-actuator-for-vc-series-valve,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,Dimensions,2.8,3.7,2.7,4.8,5.7,4.7,128.6,0.07,0.93
