Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
16-x-20-bowl-18-gauge-204-stainless-steel-sink,UPDATE,"{""value"": 65.0, ""unit"": ""in""}","{""value"": 16.0, ""unit"": ""in""}","{""value"": 24.0, ""unit"": ""in""}"
liven-dual-mount-laundry-sink-white,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 12.37, ""unit"": ""in""}"
precis-super-single-bowl-kitchen-sink-white,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 19.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 33.5, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-single-bowl-dual-mount-kitchen-sink-metallic-gray,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 10.37, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-caf,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-caf,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-metallic-gray,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-anthracite,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-truffle,UPDATE,"{""value"": 33.5, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
stellar-single-bowl-laundry-sink,UPDATE,"{""value"": 23.0, ""unit"": ""in""}","{""value"": 17.75, ""unit"": ""in""}","{""value"": 12.08, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-cinder,UPDATE,"{""value"": 33.5, ""unit"": ""in""}","{""value"": 22.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 32.07, ""unit"": ""in""}","{""value"": 20.8438, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
valea-super-single-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 19.25, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-super-single-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 33.5, ""unit"": ""in""}","{""value"": 16.5, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
valea-super-single-bowl-kitchen-sink-truffle,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-equal-double-bowl-kitchen-sink-coal-black,UPDATE,"{""value"": 32.0, ""unit"": ""in""}","{""value"": 17.0, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
diamond-super-single-dual-mount-kitchen-sink-coal-black,UPDATE,"{""value"": 33.5, ""unit"": ""in""}","{""value"": 16.5, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
liven-dual-mount-laundry-sink-coal-black,UPDATE,"{""value"": 25.0, ""unit"": ""in""}","{""value"": 16.93, ""unit"": ""in""}","{""value"": 12.37, ""unit"": ""in""}"
diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-volcano-gray,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 18.88, ""unit"": ""in""}","{""value"": 9.87, ""unit"": ""in""}"
quatrus-r15-28-single-bowl-kitchen-sink,UPDATE,"{""value"": 28.0, ""unit"": ""in""}","{""value"": 16.0, ""unit"": ""in""}","{""value"": 9.08, ""unit"": ""in""}"
precis-21-single-bowl-kitchen-sink-white,UPDATE,"{""value"": 20.87, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}","{""value"": 7.87, ""unit"": ""in""}"
precis-equal-double-bowl-kitchen-sink-metallic-gray,UPDATE,"{""value"": 29.75, ""unit"": ""in""}","{""value"": 18.125, ""unit"": ""in""}","{""value"": 8.37, ""unit"": ""in""}"
precis-27-single-bowl-kitchen-sink-cinder,UPDATE,"{""value"": 26.81, ""unit"": ""in""}","{""value"": 15.75, ""unit"": ""in""}","{""value"": 9.03, ""unit"": ""in""}"
cerana-33-apron-single-bowl-farmhouse-sink-white,UPDATE,"{""value"": 33.0, ""unit"": ""in""}","{""value"": 17.63, ""unit"": ""in""}","{""value"": 9.62, ""unit"": ""in""}"
kona-5430-porcelain-enamel-right-hand-alcove-bathtub,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 14.25, ""unit"": ""in""}"
kona-5430-porcelain-enamel-left-hand-alcove-bathtub,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 14.25, ""unit"": ""in""}"
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-right-hand-drain-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 14.25, ""unit"": ""in""}"
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-left-hand-drain-white,UPDATE,"{""value"": 60.0, ""unit"": ""in""}","{""value"": 30.0, ""unit"": ""in""}","{""value"": 14.25, ""unit"": ""in""}"
unassembled-water-heater-stand-21w-x-21d-x-18h-18ga-650-rating,UPDATE,"{""value"": 21.0, ""unit"": ""in""}","{""value"": 21.0, ""unit"": ""in""}","{""value"": 18.0, ""unit"": ""in""}"
