Handle,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
diverter-tub-spout-in-grohe-brushed-nickel-groh-13-611en0,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 2.5, ""unit"": ""in""}","{""value"": 3.0, ""unit"": ""in""}"
24-shower-slide-bar-kit-3-sprays-1-75-gpm-in-grohe-brushed-nickel,UPDATE,"{""value"": 5.5, ""unit"": ""in""}","{""value"": 5.125, ""unit"": ""in""}","{""value"": 24.8125, ""unit"": ""in""}"
wall-union,UPDATE,"{""value"": 90.0, ""unit"": ""in""}","{""value"": 50.0, ""unit"": ""in""}","{""value"": 64.0, ""unit"": ""in""}"
110-massage-hand-shower-3-sprays-2-5-gpm-in-grohe-brushed-nickel,UPDATE,"{""value"": 5.0, ""unit"": ""in""}","{""value"": 4.3125, ""unit"": ""in""}","{""value"": 9.5625, ""unit"": ""in""}"
k7-medium-single-handle-semi-pro-dual-spray-kitchen-faucet-1-75-gpm-in-grohe-supersteel,UPDATE,"{""value"": 11.6875, ""unit"": ""in""}","{""value"": 6.1875, ""unit"": ""in""}","{""value"": 21.25, ""unit"": ""in""}"
single-handle-semi-pro-dual-spray-kitchen-faucet-1-75-gpm-in-grohe-chrome,UPDATE,"{""value"": 11.25, ""unit"": ""in""}","{""value"": 5.8125, ""unit"": ""in""}","{""value"": 21.5625, ""unit"": ""in""}"
pressure-balance-rough-in-valve,UPDATE,"{""value"": 3.8125, ""unit"": ""in""}","{""value"": 6.75, ""unit"": ""in""}","{""value"": 4.3125, ""unit"": ""in""}"
2-x-4-in-wall-carrier-and-tank-for-toilet,UPDATE,"{""value"": 4.0, ""unit"": ""in""}","{""value"": 24.625, ""unit"": ""in""}","{""value"": 48.4375, ""unit"": ""in""}"
contemporary-soap-dispenser-in-grohe-chrome,UPDATE,"{""value"": 3.875, ""unit"": ""in""}","{""value"": 1.75, ""unit"": ""in""}","{""value"": 2.8824, ""unit"": ""in""}"
quick-coupling-in-grohe-chrome,UPDATE,"{""value"": 2.25, ""unit"": ""in""}","{""value"": 1.0, ""unit"": ""in""}","{""value"": 1.0, ""unit"": ""in""}"
lever-adaptor-in-grohe-chrome,UPDATE,"{""value"": 2.9375, ""unit"": ""in""}","{""value"": 2.0, ""unit"": ""in""}","{""value"": 1.0, ""unit"": ""in""}"
pressure-balance-valve-cartridge-in-grohe-chrome-groh-47-678000,UPDATE,"{""value"": 3.375, ""unit"": ""in""}","{""value"": 1.8125, ""unit"": ""in""}","{""value"": 2.25, ""unit"": ""in""}"
