ID,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
7715204956263,UPDATE,"{""value"":31.188,""unit"":""in""}","{""value"":11.5,""unit"":""in""}","{""value"":10.5,""unit"":""in""}"
7715205087335,UPDATE,"{""value"":22,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205185639,UPDATE,"{""value"":20.429,""unit"":""in""}","{""value"":10.75,""unit"":""in""}","{""value"":18.5,""unit"":""in""}"
7715205283943,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205382247,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205447783,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205480551,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205578855,UPDATE,"{""value"":17.875,""unit"":""in""}","{""value"":17.875,""unit"":""in""}","{""value"":8.813,""unit"":""in""}"
7715205677159,UPDATE,"{""value"":26.25,""unit"":""in""}","{""value"":21.125,""unit"":""in""}","{""value"":9.313,""unit"":""in""}"
7715205742695,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":18.125,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205775463,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":17.875,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205840999,UPDATE,"{""value"":21.25,""unit"":""in""}","{""value"":18.25,""unit"":""in""}","{""value"":8.25,""unit"":""in""}"
7715205906535,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":18.125,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205972071,UPDATE,"{""value"":20.5,""unit"":""in""}","{""value"":20,""unit"":""in""}","{""value"":8.75,""unit"":""in""}"
7715206004839,UPDATE,"{""value"":19.5,""unit"":""in""}","{""value"":16.5,""unit"":""in""}","{""value"":9.25,""unit"":""in""}"
7715206070375,UPDATE,"{""value"":19.5,""unit"":""in""}","{""value"":17.25,""unit"":""in""}","{""value"":9.5,""unit"":""in""}"
7715206168679,UPDATE,"{""value"":19.87,""unit"":""in""}","{""value"":17.25,""unit"":""in""}","{""value"":9.62,""unit"":""in""}"
7715206201447,UPDATE,"{""value"":21,""unit"":""in""}","{""value"":20.375,""unit"":""in""}","{""value"":9.938,""unit"":""in""}"
7715206266983,UPDATE,"{""value"":17.5,""unit"":""in""}","{""value"":21,""unit"":""in""}","{""value"":8.875,""unit"":""in""}"
7715206332519,UPDATE,"{""value"":22.375,""unit"":""in""}","{""value"":16.25,""unit"":""in""}","{""value"":9.813,""unit"":""in""}"
7715206955111,UPDATE,"{""value"":25.5,""unit"":""in""}","{""value"":18.5,""unit"":""in""}","{""value"":9.562,""unit"":""in""}"
7715207053415,UPDATE,"{""value"":26.25,""unit"":""in""}","{""value"":21.375,""unit"":""in""}","{""value"":7.938,""unit"":""in""}"
7715207118951,UPDATE,"{""value"":26.25,""unit"":""in""}","{""value"":21.375,""unit"":""in""}","{""value"":7.938,""unit"":""in""}"
7715207381095,UPDATE,"{""value"":22.375,""unit"":""in""}","{""value"":18.875,""unit"":""in""}","{""value"":8.5,""unit"":""in""}"
7715207676007,UPDATE,"{""value"":23.937,""unit"":""in""}","{""value"":10.75,""unit"":""in""}","{""value"":22.375,""unit"":""in""}"
7715207741543,UPDATE,"{""value"":25.438,""unit"":""in""}","{""value"":21.438,""unit"":""in""}","{""value"":7.688,""unit"":""in""}"
7715208364135,UPDATE,"{""value"":29.5,""unit"":""in""}","{""value"":17.437,""unit"":""in""}","{""value"":16.375,""unit"":""in""}"
7715208396903,UPDATE,"{""value"":15.875,""unit"":""in""}","{""value"":14.688,""unit"":""in""}","{""value"":27.063,""unit"":""in""}"
7715208593511,UPDATE,"{""value"":24.938,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":13,""unit"":""in""}"
7715208691815,UPDATE,"{""value"":17.813,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":26.875,""unit"":""in""}"
7715208757351,UPDATE,"{""value"":61,""unit"":""in""}","{""value"":31.5,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715208822887,UPDATE,"{""value"":61,""unit"":""in""}","{""value"":31.5,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715208888423,UPDATE,"{""value"":61,""unit"":""in""}","{""value"":31.5,""unit"":""in""}","{""value"":16,""unit"":""in""}"
7715208953959,UPDATE,"{""value"":62,""unit"":""in""}","{""value"":35,""unit"":""in""}","{""value"":21.5,""unit"":""in""}"
7715208986727,UPDATE,"{""value"":62.563,""unit"":""in""}","{""value"":35.063,""unit"":""in""}","{""value"":21.125,""unit"":""in""}"
7715209216103,UPDATE,"{""value"":62.75,""unit"":""in""}","{""value"":34.75,""unit"":""in""}","{""value"":21.125,""unit"":""in""}"
7715209281639,UPDATE,"{""value"":29.5,""unit"":""in""}","{""value"":14.167,""unit"":""in""}","{""value"":18.875,""unit"":""in""}"
7715209379943,UPDATE,"{""value"":26.125,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":18.688,""unit"":""in""}"
7715209412711,UPDATE,"{""value"":26.125,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":18.688,""unit"":""in""}"
7715209478247,UPDATE,"{""value"":28,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":18.688,""unit"":""in""}"
7715209511015,UPDATE,"{""value"":28,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":18.688,""unit"":""in""}"
7715209642087,UPDATE,"{""value"":24.938,""unit"":""in""}","{""value"":15.5,""unit"":""in""}","{""value"":13,""unit"":""in""}"
7715209674855,UPDATE,"{""value"":29.813,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":19.125,""unit"":""in""}"
7715209740391,UPDATE,"{""value"":27.688,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":19.125,""unit"":""in""}"
7715209773159,UPDATE,"{""value"":29.813,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":17.625,""unit"":""in""}"
7715209838695,UPDATE,"{""value"":29.188,""unit"":""in""}","{""value"":15.875,""unit"":""in""}","{""value"":18.813,""unit"":""in""}"
7715209904231,UPDATE,"{""value"":27.813,""unit"":""in""}","{""value"":16,""unit"":""in""}","{""value"":19.813,""unit"":""in""}"
7715209969767,UPDATE,"{""value"":27.813,""unit"":""in""}","{""value"":16,""unit"":""in""}","{""value"":19.813,""unit"":""in""}"
7715210035303,UPDATE,"{""value"":15.875,""unit"":""in""}","{""value"":14.688,""unit"":""in""}","{""value"":27.063,""unit"":""in""}"
7715210199143,UPDATE,"{""value"":30.5,""unit"":""in""}","{""value"":16,""unit"":""in""}","{""value"":18.563,""unit"":""in""}"
7715210264679,UPDATE,"{""value"":27.938,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":17.563,""unit"":""in""}"
7715210297447,UPDATE,"{""value"":27.938,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715210395751,UPDATE,"{""value"":25.938,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":16.125,""unit"":""in""}"
7715210461287,UPDATE,"{""value"":17.063,""unit"":""in""}","{""value"":15,""unit"":""in""}","{""value"":27.188,""unit"":""in""}"
7715210526823,UPDATE,"{""value"":17.063,""unit"":""in""}","{""value"":15,""unit"":""in""}","{""value"":27.188,""unit"":""in""}"
7715210559591,UPDATE,"{""value"":17.375,""unit"":""in""}","{""value"":15.438,""unit"":""in""}","{""value"":30.625,""unit"":""in""}"
7715210625127,UPDATE,"{""value"":29.5,""unit"":""in""}","{""value"":15.813,""unit"":""in""}","{""value"":17.375,""unit"":""in""}"
7715210690663,UPDATE,"{""value"":29.5,""unit"":""in""}","{""value"":14.167,""unit"":""in""}","{""value"":18.875,""unit"":""in""}"
7715210756199,UPDATE,"{""value"":29.188,""unit"":""in""}","{""value"":15.75,""unit"":""in""}","{""value"":16.25,""unit"":""in""}"
7715210821735,UPDATE,"{""value"":29.188,""unit"":""in""}","{""value"":15.75,""unit"":""in""}","{""value"":17.75,""unit"":""in""}"
7715210887271,UPDATE,"{""value"":28.875,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":18.063,""unit"":""in""}"
7715210952807,UPDATE,"{""value"":28.875,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":18.063,""unit"":""in""}"
7715210985575,UPDATE,"{""value"":28.875,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":18.063,""unit"":""in""}"
7715211051111,UPDATE,"{""value"":26.818,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":18.063,""unit"":""in""}"
7715211083879,UPDATE,"{""value"":28.5,""unit"":""in""}","{""value"":14.938,""unit"":""in""}","{""value"":16.188,""unit"":""in""}"
7715211182183,UPDATE,"{""value"":27.5,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":16.5,""unit"":""in""}"
7715211247719,UPDATE,"{""value"":27.5,""unit"":""in""}","{""value"":15.125,""unit"":""in""}","{""value"":16.5,""unit"":""in""}"
7715211280487,UPDATE,"{""value"":28.875,""unit"":""in""}","{""value"":15.563,""unit"":""in""}","{""value"":18.063,""unit"":""in""}"
7715211346023,UPDATE,"{""value"":28.813,""unit"":""in""}","{""value"":15.25,""unit"":""in""}","{""value"":18.5,""unit"":""in""}"
7715211542631,UPDATE,"{""value"":31.563,""unit"":""in""}","{""value"":15.625,""unit"":""in""}","{""value"":16.313,""unit"":""in""}"
7715211640935,UPDATE,"{""value"":31.188,""unit"":""in""}","{""value"":15.75,""unit"":""in""}","{""value"":17.75,""unit"":""in""}"
7715211706471,UPDATE,"{""value"":28.375,""unit"":""in""}","{""value"":16.375,""unit"":""in""}","{""value"":18.062,""unit"":""in""}"
7715212165223,UPDATE,"{""value"":29.937,""unit"":""in""}","{""value"":16.562,""unit"":""in""}","{""value"":17,""unit"":""in""}"
7715212329063,UPDATE,"{""value"":28.75,""unit"":""in""}","{""value"":19.875,""unit"":""in""}","{""value"":18.5,""unit"":""in""}"
7715212591207,UPDATE,"{""value"":17.438,""unit"":""in""}","{""value"":10,""unit"":""in""}","{""value"":15.563,""unit"":""in""}"
7715212755047,UPDATE,"{""value"":17.438,""unit"":""in""}","{""value"":10,""unit"":""in""}","{""value"":16.563,""unit"":""in""}"
7715212886119,UPDATE,"{""value"":18.25,""unit"":""in""}","{""value"":8.438,""unit"":""in""}","{""value"":17.313,""unit"":""in""}"
7715212984423,UPDATE,"{""value"":16.125,""unit"":""in""}","{""value"":9.375,""unit"":""in""}","{""value"":17.563,""unit"":""in""}"
7715213115495,UPDATE,"{""value"":16.5,""unit"":""in""}","{""value"":9.625,""unit"":""in""}","{""value"":18.875,""unit"":""in""}"
7715213377639,UPDATE,"{""value"":22.188,""unit"":""in""}","{""value"":10.125,""unit"":""in""}","{""value"":18,""unit"":""in""}"
