ID,Command,Metafield: product.length [dimension],Metafield: product.width [dimension],Metafield: product.height [dimension]
7715204956263,UPDATE,"{""value"":31.188,""unit"":""in""}","{""value"":11.5,""unit"":""in""}","{""value"":10.5,""unit"":""in""}"
7715205087335,UPDATE,"{""value"":22,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205185639,UPDATE,"{""value"":20.429,""unit"":""in""}","{""value"":10.75,""unit"":""in""}","{""value"":18.5,""unit"":""in""}"
7715205283943,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205382247,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205447783,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205480551,UPDATE,"{""value"":22.5,""unit"":""in""}","{""value"":14,""unit"":""in""}","{""value"":19.5,""unit"":""in""}"
7715205578855,UPDATE,"{""value"":17.875,""unit"":""in""}","{""value"":17.875,""unit"":""in""}","{""value"":8.813,""unit"":""in""}"
7715205677159,UPDATE,"{""value"":26.25,""unit"":""in""}","{""value"":21.125,""unit"":""in""}","{""value"":9.313,""unit"":""in""}"
7715205742695,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":18.125,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205775463,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":17.875,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205840999,UPDATE,"{""value"":21.25,""unit"":""in""}","{""value"":18.25,""unit"":""in""}","{""value"":8.25,""unit"":""in""}"
7715205906535,UPDATE,"{""value"":21.375,""unit"":""in""}","{""value"":18.125,""unit"":""in""}","{""value"":8.375,""unit"":""in""}"
7715205972071,UPDATE,"{""value"":20.5,""unit"":""in""}","{""value"":20,""unit"":""in""}","{""value"":8.75,""unit"":""in""}"
7715206004839,UPDATE,"{""value"":19.5,""unit"":""in""}","{""value"":16.5,""unit"":""in""}","{""value"":9.25,""unit"":""in""}"
7715206070375,UPDATE,"{""value"":19.5,""unit"":""in""}","{""value"":17.25,""unit"":""in""}","{""value"":9.5,""unit"":""in""}"
7715206168679,UPDATE,"{""value"":19.87,""unit"":""in""}","{""value"":17.25,""unit"":""in""}","{""value"":9.62,""unit"":""in""}"
7715206201447,UPDATE,"{""value"":21,""unit"":""in""}","{""value"":20.375,""unit"":""in""}","{""value"":9.938,""unit"":""in""}"
7715206266983,UPDATE,"{""value"":17.5,""unit"":""in""}","{""value"":21,""unit"":""in""}","{""value"":8.875,""unit"":""in""}"
7715206332519,UPDATE,"{""value"":22.375,""unit"":""in""}","{""value"":16.25,""unit"":""in""}","{""value"":9.813,""unit"":""in""}"
