ID,SKU,length_in,width_in,height_in,volume_in3
7715204956263,AMST-0039.000.020,31.188,11.5,10.5,3765.95
7715205087335,AMST-0124.024.020,22,14,19.5,6006.0
7715205185639,AMST-0321.026.020,20.429,10.75,18.5,4062.82
7715205283943,AMST-0355.012.020,22.5,14,19.5,6142.5
7715205382247,AMST-0355.034.020,22.5,14,19.5,6142.5
7715205447783,AMST-0356.015.020,22.5,14,19.5,6142.5
7715205480551,AMST-0356.421.020,22.5,14,19.5,6142.5
7715205578855,AMST-0426.000.020,17.875,17.875,8.813,2815.89
7715205677159,AMST-0445.001.020,26.25,21.125,9.313,5164.35
7715205742695,AMST-0475.020.020,21.375,18.125,8.375,3244.66
7715205775463,AMST-0475.047.020,21.375,17.875,8.375,3199.9
7715205840999,AMST-0476.028.020,21.25,18.25,8.25,3199.45
7715205906535,AMST-0476.928.020,21.375,18.125,8.375,3244.66
7715205972071,AMST-0491.019.020,20.5,20,8.75,3587.5
7715206004839,AMST-0495.221.020,19.5,16.5,9.25,2976.19
7715206070375,AMST-0496.221.020,19.5,17.25,9.5,3195.56
7715206168679,AMST-0497.300.020,19.87,17.25,9.62,3297.33
7715206201447,AMST-0552.001.020,21,20.375,9.938,4252.22
7715206266983,AMST-0610.000.020,17.5,21,8.875,3261.56
7715206332519,AMST-0614.000.020,22.375,16.25,9.813,3567.95
7715206955111,AMST-0618.000.020,25.5,18.5,9.562,4510.87
7715207053415,AMST-0641.001.020,26.25,21.375,7.938,4453.96
7715207118951,AMST-0641.004.020,26.25,21.375,7.938,4453.96
7715207381095,AMST-0643.001.020,22.375,18.875,8.5,3589.79
7715207676007,AMST-0955.001EC.020,23.937,10.75,22.375,5757.6
7715207741543,AMST-1297.001.020,25.438,21.438,7.688,4192.57
7715208364135,AMST-2234.001.020,29.5,17.437,16.375,8423.16
7715208396903,AMST-2257.101.020,15.875,14.688,27.063,6310.33
7715208593511,AMST-2282.001.020,24.938,15.5,13,5025.01
7715208691815,AMST-2294.011EC.020,17.813,15.125,26.875,7240.71
7715208757351,AMST-2390.202.020,61,31.5,16,30744.0
7715208822887,AMST-2391.202.020,61,31.5,16,30744.0
7715208888423,AMST-2391.202.222,61,31.5,16,30744.0
