handle,fonte,medida_1,medida_2,medida_3,motivo
10-escutcheon-in-grohe-stainless-steel-brushed,L/W/H,270.0,68.0,5.0,medida acima de 120 in - suspeita de mm rotulado como polegada
14-100k-btu-condensing-hydro-furnace-horizontal-unit,Dimensions,34.5,21.0,31.0,"caixa daria 16.0 ft3, acima do degrau de 10 ft3"
14-100k-btu-condensing-hydro-furnace-upflow-unit,Dimensions,21.0,34.5,31.0,"caixa daria 16.0 ft3, acima do degrau de 10 ft3"
16-x-20-bowl-18-gauge-204-stainless-steel-sink,L/W/H,65.0,16.0,24.0,"caixa daria 18.1 ft3, acima do degrau de 10 ft3"
23-durastone-utilatub-laundry-tub-floor,L/W/H,23.5,23.0,33.0,"caixa daria 12.9 ft3, acima do degrau de 10 ft3"
23-durastone-utilatub-laundry-tub-wall,L/W/H,23.5,23.0,33.0,"caixa daria 12.9 ft3, acima do degrau de 10 ft3"
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-left-hand-drain-white,L/W/H,60.0,30.0,14.0,"caixa daria 18.4 ft3, acima do degrau de 10 ft3"
60-x-30-x-14-1-4-porcelain-enameled-alcove-bathtub-right-hand-drain-white,L/W/H,60.0,30.0,14.0,"caixa daria 18.4 ft3, acima do degrau de 10 ft3"
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-left-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,L/W/H,60.0,30.0,15.0,"caixa daria 19.5 ft3, acima do degrau de 10 ft3"
60-x-30-x-15-3-4-11-3-4-water-depth-semi-gloss-white-molded-fiberglass-2-right-hand-drain-rectangle-in-outside-1-piece-alcove-bathtub,L/W/H,60.0,30.0,15.0,"caixa daria 19.5 ft3, acima do degrau de 10 ft3"
9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,Dimensions,17.5,34.5,31.0,"caixa daria 13.6 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-drop-in-sink-white-single-bowl-sinkspolypropylene-18-x-23-1-2-x-33,L/W/H,18.0,23.0,33.0,"caixa daria 10.1 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-durabase-shower-base-white-shower-bases-walls-1-piece-single-threshold-rectangle-60-x-42-x-5-1-2,L/W/H,60.0,42.0,5.0,"caixa daria 11.1 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-durawall-wall-door-components-glossy-white-shower-bases-walls-5-piece-rectangle-corner-alcove-51-1-2-x-43-3-4-x-71-1-2,L/W/H,51.0,43.0,71.0,"caixa daria 100.8 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-60-x-30-x-73-1-4,L/W/H,60.0,30.0,73.0,"caixa daria 86.1 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-durawall-wall-door-components-white-shower-bases-walls-5-piece-rectangular-tile-pattern-60-x-34-x-73-1-4,L/W/H,60.0,34.0,73.0,"caixa daria 96.9 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-40-x-24-x-34,L/W/H,40.0,24.0,34.0,"caixa daria 22.8 ft3, acima do degrau de 10 ft3"
e-l-mustee-sons-utilatwin-laundry-utility-sink-white-double-bowl-sinks-thermoplastic-tub-steel-leg-40-x-24-x-34,L/W/H,40.0,24.0,34.0,"caixa daria 22.8 ft3, acima do degrau de 10 ft3"
