sku,handle,vendor,price,tag,perfil
GVLF-768G-600-PNTD,6-wye-strainer-painted-gr-x-gr,Gruvlok,9686.2,True,THS Standard - no free shipping
GVLF-7060-1000-GALV,10-tee-galvanized-gr-x-gr-x-gr,Gruvlok,7814.1,True,THS Standard - no free shipping
GVLF-7060-1000-PNTD,10-tee-painted-gr-x-gr-x-gr,Gruvlok,6251.7,True,THS Standard - no free shipping
ROHL-RC4019WH,lancaster-40-double-bowl-farmhouse-apron-front-fireclay-kitchen-sink-in-white-wh,Shaws,5526.3,True,THS Standard - no free shipping
RHEE-PROG40-36N-RH62-MH-DVX,rheem-40-gallon-36-000-btu-h-professional-classic-direct-vent-co-axial-for-manufactured-housing-fvir-compliant-natural-gas-water-heater,Rheem Manufacturing,5281.89,True,THS Freight & Oversize
IBCT-SFC199-1,sfc-combi-199-000-btu-input-combination-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,IBC,3722.16,True,THS Freight & Oversize
IBCT-SFC160-1,sfc-combi-160-000-btu-input-combination-boiler-95-efficient-no-pump-included-elevation-range-0-10-000,IBC,3629.68,True,THS Freight & Oversize
DELT-T4767-BLFL,delta-ara-single-handle-floor-mount-tub-filler-trim-with-handshower-matte-black,Delta,2834.19,True,THS Freight & Oversize
MOEN-615BL,moen-cia-matte-black-one-handle-tub-filler-includes-hand-shower,Moen,2636.79,True,THS Freight & Oversize
LIBE-LSG203M,2-hp-grinder-pump-3-ph-208-230v-25-cord-1-1-4-discharge-manual,Liberty Pumps,2576.25,True,THS Standard - no free shipping
MOEN-615BG,moen-cia-brushed-gold-one-handle-tub-filler-includes-hand-shower,Moen,2397.2,True,THS Freight & Oversize
RHEE-PROG40-30N-RH62-MH-DV,rheem-40-gallon-30-000-btu-h-professional-classic-direct-vent-for-manufactured-housing-natural-gas-or-propane-water-heater,Rheem Manufacturing,2378.88,True,THS Freight & Oversize
DELT-T4759-CZFL,delta-trinsic-single-handle-floor-mount-tub-filler-trim-with-handshower-champagne-bronze,Delta,2347.2,True,THS Freight & Oversize
GVLF-7061-500.400-PNTD,5-x-4-tee-reducing-painted-gr-x-gr-x-gr,Gruvlok,2118.16,True,THS Standard - no free shipping
DELT-T4759-SSFL,delta-trinsic-single-handle-floor-mount-tub-filler-trim-with-handshower-stainless,Delta,2025.0,True,THS Freight & Oversize
NHSP-1000,10-x-10-nh-x-nh-gray-cast-iron-soil-pipe-8-per-bundle,Tyler Pipe Company,1527.6,True,THS Freight & Oversize
DELT-T4759-FL,delta-trinsic-single-handle-floor-mount-tub-filler-trim-with-handshower-chrome,Delta,1447.2,True,THS Freight & Oversize
MOEN-T394BN,moen-align-2-handle-deck-mount-roman-tub-faucet-trim-kit-with-hand-shower-in-brushed-nickel-valve-sold-separately,Moen,1388.3,True,THS Freight & Oversize
GVLF-7788-500-PNTD,5-flange-adapter-painted-gr-x-flange,Gruvlok,1222.07,True,THS Standard - no free shipping
TOTO-TEU3UA11-SS,ecoefv-concealed-urinal-0-125g-w-4-x-4-cover-vb13rb-11,Toto,1043.7,True,THS Standard - no free shipping
NHSP-800,8-x-10-nh-x-nh-gray-cast-iron-soil-pipe-15-per-bundle,Tyler Pipe Company,899.1,True,THS Freight & Oversize
MOEN-TS93003,moen-arris-2-handle-deck-mount-high-arc-roman-tub-faucet-trim-kit-in-chrome-valve-sold-separately,Moen,854.6,True,THS Freight & Oversize
MOEN-T394,moen-align-2-handle-deck-mount-roman-tub-faucet-trim-kit-with-hand-shower-in-chrome-valve-sold-separately,Moen,843.29,True,THS Freight & Oversize
TOTO-TEU1LA12-CP,toto-usa-ecopower-urinal-flush-valve-3-4-0-5-gpf,Toto,810.42,True,THS Standard - no free shipping
TOTO-TEU1UA12-CP,toto-usa-ecopower-urinal-flush-valve-3-4-0-125-gpf,Toto,762.53,True,THS Standard - no free shipping
MOEN-T393BN,moen-align-2-handle-deck-mount-roman-tub-faucet-trim-kit-in-brushed-nickel-valve-sold-separately,Moen,756.62,True,THS Freight & Oversize
MOEN-T653BN,moen-wynford-2-handle-deck-mount-high-arc-roman-tub-faucet-with-lever-handles-in-brushed-nickel-valve-sold-separately,Moen,756.62,True,THS Freight & Oversize
MILW-2950-20,m18-jobsite-radio-charger-w-packout-compatibility,Milwaukee Tools,708.4,True,THS Standard - no free shipping
BRIZ-65067LFPCECO,brizo-allaria-single-handle-lavatory-faucet-chrome,Brizo,686.76,True,THS Standard - no free shipping
GROH-35.027000,grohe-eurocube-starlight-chrome-tub-shower-trim-sets-wall-mount,Grohe,618.88,True,THS Freight & Oversize
NHSP-600,6-x-10-nh-x-nh-gray-cast-iron-soil-pipe-21-per-bundle,Tyler Pipe Company,578.2,True,THS Freight & Oversize
DELT-T14467-SS,delta-ara-monitor-14-series-h2okinetic-tub-shower-trim-stainless,Delta,577.8,True,THS Freight & Oversize
DELT-T4738,delta-lahara-roman-tub-with-handshower-trim-chrome,Delta,566.19,True,THS Freight & Oversize
DELT-T2751,delta-dryden-roman-tub-trim-chrome,Delta,565.2,True,THS Freight & Oversize
