sku,ven,price,lb_loja,lb_fornecedor,cube_in3,lb_dimensional,lb_efetivo,lambda,excesso_x,title
GERB-29-842,Gerber,58.12,1.0,26,1.4,0.01,26,0.4474,13.3,Gerber G0029842 Maxwell Pedestal White
AMST-0355.012.020,American Standard,100.69,1.0,43.9,6142.5,44.19,44.19,0.4389,13.0,American Standard 0355012.020 Lucerne Wall-Hung Sink With 4-Inch Centerset White
AMST-0356.015.020,American Standard,100.69,1.0,43.9,6142.5,44.19,44.19,0.4389,13.0,American Standard 0356015.020 Lucerne Wall-Hung Sink With 8-Inch Widespread White
AMST-0356.421.020,American Standard,100.69,1.0,43.9,6142.5,44.19,44.19,0.4389,13.0,American Standard 0356421.020 Lucerne Wall-Hung Sink With Center Hole Only White
AMST-0321.026.020,American Standard,93.21,1.0,38,4062.8173,29.23,38,0.4077,12.1,"American Standard 0321026.020 Declyn® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger In"
AMST-0355.034.020,American Standard,134.82,1.0,43.9,6142.5,44.19,44.19,0.3278,9.7,American Standard 0355034.020 Lucerne Wall-Hung Sink With 4-Inch Centerset and Extra Right
AMST-0491.019.020,American Standard,87.38,1.0,22.8,3587.5,25.81,25.81,0.2954,8.8,American Standard 0491019.020 Rondalyn® Drop-In Sink With 4-Inch Centerset White
MILW-48-22-2881,Milwaukee Tools,33.67,0.74,9.84,0.2,0.0,9.84,0.2922,8.7,Milwaukee Tools 48-22-2881 13in1 Cushion Grip Screwdriver with Schrader Bit
AMST-0124.024.020,American Standard,150.63,1.0,40,6006,43.21,43.21,0.2869,8.5,"American Standard 0124024.020 Comrade® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger I"
GERB-12-504,Gerber,118.12,1.0,33,2.2,0.02,33,0.2794,8.3,"Gerber G0012504 Maxwell Petite Ped Top 20.5""x17.75"" 4""CC White"
AMST-6590.001.020,American Standard,306.25,1.0,71,11667.5781,83.94,83.94,0.2741,8.1,American Standard 6590001.020 Washbrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal 
AMST-0475.047.020,American Standard,86.55,1.0,23.34,3199.9042,23.02,23.34,0.2697,8.0,American Standard 0475047.020 Aqualyn® Drop-In Sink With Center Hole Only White
GERB-12-514,Gerber,148.12,1.0,40,3,0.02,40,0.2701,8.0,"Gerber G0012514 Maxwell Ped Top 25.2""X20.5"" 4""CC White"
GERB-12-518,Gerber,148.12,1.0,40,3,0.02,40,0.2701,8.0,"Gerber G0012518 Maxwell Ped Top 25.2""X20.5"" 8""CC White"
AMST-0475.020.020,American Standard,87.38,1.0,23.34,3244.6582,23.34,23.34,0.2671,7.9,American Standard 0475020.020 Aqualyn® Drop-In Sink With 8-Inch Widespread White
AMST-0496.221.020,American Standard,89.04,1.0,22.94,3195.5625,22.99,22.99,0.2582,7.7,American Standard 0496221.020 Ovalyn Medium Under Counter Sink White
AMST-0495.221.020,American Standard,89.04,1.0,19,2976.1875,21.41,21.41,0.2405,7.1,American Standard 0495221.020 Ovalyn Small Under Counter Sink White
GERB-29-847,Gerber,117.19,1.0,27,,,27,0.2304,6.8,Gerber G0029847 Logan Square Pedestal White
AMST-0476.928.020,American Standard,103.2,1.0,23.34,3244.6582,23.34,23.34,0.2262,6.7,American Standard 0476928.020 Aqualyn® Drop-In Sink With 4-Inch Centerset Less Overflow Wh
AMST-0641.001.020,American Standard,236.35,1.0,53.3,4453.9621,32.04,53.3,0.2255,6.7,American Standard 0641001.020 Boulevard® Center Hole Only Pedestal Sink Top White
AMST-0641.004.020,American Standard,236.35,1.0,53.3,4453.9621,32.04,53.3,0.2255,6.7,American Standard 0641004.020 Boulevard® 4-Inch Centerset Pedestal Sink Top White
AMST-0445.001.020,American Standard,210.56,1.0,45.9,5164.3495,37.15,45.9,0.218,6.5,American Standard 0445001.020 Edgemere® Center Hole Only Pedestal Sink Top White
AMST-6515.001.020,American Standard,382.81,1.0,71,11667.5781,83.94,83.94,0.2193,6.5,American Standard 6515001.020 Washbrook 0.125 -1.0 gpf (0.47 - 3.8 Lpf) Back Spud Urinal W
AMST-0955.001EC.020,American Standard,217.22,1.0,46.1,5757.5965,41.42,46.1,0.2122,6.3,American Standard 0955001EC.020 Murro® Wall-Hung EverClean® Sink With Center Hole Only Whi
MUST-17FK,E. L Mustee & Sons,143.97,1.0,28.8333,2.1167,0.02,28.83,0.2003,5.9,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Floor"
AMST-6550.001.020,American Standard,203.9,1.0,32.2,5338.2656,38.4,38.4,0.1884,5.6,American Standard 6550001.020 Allbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Siphon Jet 
GERB-12-512,Gerber,280.32,1.0,53,,,53,0.1891,5.6,"Gerber G0012512 Burr Ridge 24"" Ped Top Single Hole White"
TOTO-PT530N-01,Toto,159.9,1.0,30,3803.756,27.37,30,0.1876,5.6,Toto PT530N#01 PROMENADE PEDESTAL FOOT COTTON
MUST-17WK,E. L Mustee & Sons,143.97,1.0,26.6667,2.1167,0.02,26.67,0.1852,5.5,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Wall"
TOTO-UT445U-01,Toto,356.46,1.0,66,8193.276,58.94,66,0.1852,5.5,"Toto USA UT445U#01 - Cotton White, High-Efficiency, Full Size, Washout Flush Action 3/4"" I"
AMST-6561.017.020,American Standard,410.28,1.0,73,9444.7027,67.95,73,0.1779,5.3,American Standard 6561017.020 Trimbrook® 1.0 gpf/3.8 Lpf Top Spud Siphon Jet Urinal White
AMST-9960.403.020,American Standard,252.99,1.0,45,5435.9922,39.11,45,0.1779,5.3,American Standard 9960403.020 Mezzo® Semi-Countertop Sink With 4-Inch Centerset White
TOTO-UT447E-01,Toto,333.06,1.0,60,8200.738,59.0,60,0.1801,5.3,Toto UT447E#01 COMMERCIAL WASHOUT URINAL W/ TOP SPUD--COTTON
