sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
BOSC-BP048-1-VTC-FRT-TDBD,Bosch,Wall Mount Head Units,17245.5,2.0,581.17,4-ton-water-to-air-unit,44350356029543,7715252797543
MILW-49-16-2697X,Milwaukee Tools,Press Jaw Kits,6000.12,0.73,202.2,1-2-2-ips-p-pivoting-press-ring-kit-for-m18-force-logic-press-tools,44350938677351,7715555672167
MILW-MXF301-2CP,Milwaukee Tools,Core Drills (MX),5562.51,0.73,187.46,mx-fuel-handheld-core-drill-kit,44350948081767,7715561865319
MILW-49-16-2690X,Milwaukee Tools,Press XL Jaw Kits,5000.13,0.73,168.5,2-1-2-4-cts-v-pivoting-press-ring-kit-for-m18-force-logic-press-tools,44350938611815,7715555606631
MILW-49-16-2683,Milwaukee Tools,Press Jaw Kits,5000.1,0.73,168.5,1-2-2-ips-p-jaw-and-pivoting-ring-kit-for-m18-force-logic-press-tools,44350938546279,7715555573863
MILW-49-16-2692X,Milwaukee Tools,Press Jaw Kits,4571.58,0.73,154.06,1-2-2-cts-v-pivoting-press-ring-kit-for-m18-force-logic-press-tools,44350938644583,7715555639399
ELKA-LZSTL8WSLP,Elkay,Bottle Fillers & Fountains,3817.65,2.0,128.65,elkay-enhanced-ezh2o-bottle-filling-station-versatile-bi-level-ada-cooler-filtered-refrigerated-light-gray,44350692098151,7715410477159
FRAN-CUX16021-W,Franke,Undermount Sinks,3249.35,1.0,109.5,franke-culinary-center-35-in-x-21-in-19-gauge-stainless-steel-undermount-double-bowl-kitchen-sink-workstation-cux16021-w,44350701928551,7715417325671
MILW-49-16-2490X,Milwaukee Tools,Press Jaw Kits,2857.32,0.73,96.29,1-2-1-1-4-cts-v-pivoting-press-ring-kit-for-m12-force-logic-press-tool,44350937137255,7715554492519
ELKA-LZS8WSLP,Elkay,Bottle Fillers & Fountains,2777.72,2.0,93.61,elkay-enhanced-ezh2o-bottle-filling-station-single-ada-cooler-filtered-refrigerated-light-gray,44350692032615,7715410411623
HGRO-26548001,Hansgrohe,Exposed Shower Sets,2731.5,1.0,92.05,hansgrohe-showerpipe-280-with-select-shower-controls-1-75-gpm-in-chrome,44350763925607,7715456286823
GVLF-AE7721-3-300,Gruvlok,Gruvlok Fittings,2672.43,2.0,90.06,3-grvd-bfv-e-grade-disc-epoxy-coated,44350753570919,7715451830375
MILW-49-16-2496X,Milwaukee Tools,Press Jaw Kits,2571.49,0.73,86.66,1-2-1-ips-p-pivoting-press-ring-kit-for-m12-force-logic-press-tool,44350937432167,7715554623591
DURA-2350120000,Duravit,Wall-Mount Sinks,2383.88,1.0,80.34,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684725351,7715403563111
MILW-3154-20,Milwaukee Tools,Camera System,2141.12,0.73,72.16,m12-75-drain-camera-w-packout-compatibility,44350916264039,7715537322087
DURA-0454120024,Duravit,Wall-Mount Sinks,2110.88,1.0,71.14,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-two-sets-of-single-faucet-holes-and-with-overflow,44350672666727,7715400974439
GVLF-AE7721-3-200,Gruvlok,Gruvlok Fittings,2081.53,2.0,70.15,2-grvd-bfv-e-grade-disc-epoxy-coated,44350753439847,7715451732071
GROH-23.792001,Grohe,Tub-Shower Trim Sets,2075.37,1.0,69.94,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-23-792001,44350722015335,7715429417063
MILW-3697-27,Milwaukee Tools,Combo Kits (M18),1939.21,0.73,65.35,m18-fuel-7-tool-combo-kit,44350916788327,7715537846375
BOSC-BMS500-AAU018-1AHCXD,Bosch,Wall Mount Head Units,1881.07,2.0,63.39,1-1-2-ton-ductless-mini-split-indoor-universal-cassette-unit-18-000-btu-r454b-208-230v,44350355439719,7715252600935
ELKA-LFGR33221,Elkay,Drop-In Sinks,1869.15,1.0,62.99,elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,44350690787431,7715409330279
BOSC-BMS500-AAU036-1AHWXD,Bosch,Wall Mount Head Units,1849.23,2.0,62.32,3-ton-ductless-mini-split-indoor-wall-mounted-unit-36-000-btu-r454b-208-230v,44350355996775,7715252764775
BOSC-BMS500-AAU030-1AHWXD,Bosch,Wall Mount Head Units,1748.84,2.0,58.94,2-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-30-000-btu-r454b-208-230v,44350355964007,7715252732007
DURA-0329100000,Duravit,Wall-Mount Sinks,1735.5,1.0,58.49,duravit-vero-41-3-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672404583,7715400745063
BOSC-BMS500-AAU024-1AHWXD,Bosch,Wall Mount Head Units,1643.6,2.0,55.39,2-ton-ductless-mini-split-indoor-wall-mounted-unit-24-000-btu-r454b-208-230v,44350355931239,7715252699239
DURA-2350800027,Duravit,Vessel Sinks,1540.5,1.0,51.91,duravit-vero-31-1-2-rectangular-vessel-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684758119,7715403595879
BOSC-BMS500-AAU012-1AHCXD,Bosch,Wall Mount Head Units,1537.68,2.0,51.82,1-ton-ductless-mini-split-indoor-universal-cassette-unit-12-000-btu-r454b-208-230v,44350355374183,7715252535399
DURA-0329850000,Duravit,Wall-Mount Sinks,1413.75,1.0,47.64,duravit-vero-33-1-2-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672437351,7715400777831
BOSC-BMS500-AAU018-1AHWXD,Bosch,Wall Mount Head Units,1399.2,2.0,47.15,1-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-18-000-btu-r454b-208-230v,44350355505255,7715252666471
MILW-3697-25,Milwaukee Tools,Combo Kits (M18),1363.35,0.73,45.94,m18-fuel-5-tool-combo-kit,44350916755559,7715537813607
ELKA-LRAD-3122-65-3,Elkay,Drop-In Sinks,1311.3,1.0,44.19,elkay-lustertone-classic-stainless-steel-31-x-22-x-6-1-2-3-hole-single-bowl-drop-in-ada-sink,44350691868775,7715410247783
MILW-MXFXC608,Milwaukee Tools,MX Batteries,1251.78,0.73,42.18,mx-fuel-redlithium-forge-xc8-0-battery-pack,44350948180071,7715561930855
MILW-2823-20,Milwaukee Tools,Lawn Mowers,1191.09,0.73,40.14,m18-fuel-21-self-propelled-dual-battery-mower,44350915149927,7715536207975
MOEN-S664NL,Moen,Pot Fillers,1182.6,1.0,39.85,moen-traditional-wall-mounted-swing-arm-potfiller-in-nickel,44350985338983,7715583950951
MOEN-S665BL,Moen,Pot Fillers,1138.75,1.0,38.38,moen-modern-wall-mounted-swing-arm-potfiller-in-matte-black,44350985371751,7715583983719
BOSC-BMS500-AAU012-1AHWXD,Bosch,Wall Mount Head Units,1107.74,2.0,37.33,1-ton-ductless-mini-split-indoor-wall-mounted-unit-12-000-btu-r454b-208-230v,44350355406951,7715252568167
MILW-2929-22,Milwaukee Tools,Band Saws (M18),1106.22,0.73,37.28,m18-fuel-deep-cut-band-saw-kit,44350915772519,7715536830567
TACO-008-CT,Taco Comfort Solutions,Hot Water Recirculating Pumps,1104.42,2.0,37.22,tacogenie-hot-water-recirc-system-stainless-steel-1-2-male-npt-taco-008-ct,44353378549863,7716734599271
GROH-26.420000,Grohe,Thermostatic Valve Trims,1085.14,1.0,36.57,thermostatic-shower-system-in-grohe-chrome,44350722605159,7715429941351
BOSC-BMS500-AAS012-0AHWXD,Bosch,Wall Mount Head Units,1050.27,2.0,35.39,1-ton-ductless-mini-split-indoor-universal-wall-unit-12-000-btu-r454b-115v,44350354620519,7715252240487
ELKA-DLR-2219-10-1,Elkay,Drop-In Sinks,1046.07,1.0,35.25,elkay-lustertone-classic-stainless-steel-22-x-19-1-2-x-10-1-8-1-hole-single-bowl-drop-in-sink,44350690164839,7715408707687
GROH-26.490000,Grohe,Thermostatic Valve Trims,1038.82,1.0,35.01,thermostatic-tub-shower-system-in-grohe-chrome,44350722867303,7715430137959
GROH-29.138A00,Grohe,Thermostatic Valve Trims,1016.81,1.0,34.27,triple-function-thermostatic-valve-trim-in-grohe-hard-graphite,44350725292135,7715432235111
DURA-2346830000,Duravit,Wall-Mount Sinks,1014.0,1.0,34.17,duravit-me-by-starck-32-5-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684627047,7715403464807
GROH-26.128002,Grohe,Thermostatic Valve Trims,997.82,1.0,33.63,260-cooltouch-thermostatic-shower-system-1-75-gpm-in-grohe-chrome,44350722474087,7715429810279
MILW-49-16-2659X4,Milwaukee Tools,Press XL Jaws,971.49,0.73,32.74,x4-ring-jaw-for-m18-force-logic-press-tools,44350938480743,7715555508327
BOSC-BMS500-AAU009-1AHWXD,Bosch,Wall Mount Head Units,965.81,2.0,32.55,3-4-ton-ductless-mini-split-indoor-wall-mounted-unit-9-000-btu-r454b-208-230v,44350355341415,7715252502631
