sku,titulo,preco_usd,peso_cadastrado_lb,peso_critico_lb,peso_critico_g,lambda_atual,risco
MPEX-4601250,"MrPEX Systems 4601250 1-1/4"" PEX Expansion Ring -",1.67,0.05,0.0563,25.5,0.0299,margem apertada
SIOU-644XG2,"Sioux Chief 644XG2 1/2"" PEX F1807 Male Sweat Adapter Brass",1.69,0.05,0.057,25.8,0.0296,margem apertada
MPEX-4615050,"MrPEX Systems 4615050 1/2"" PEX Coupling (Expansion(F1960)) - Composite",1.72,0.05,0.058,26.3,0.0291,margem apertada
PASC-1234,Pasco 1-1/4 IP - 1-1/2 CTW Box Flange - Chrome,1.81,0.05,0.061,27.7,0.0276,margem apertada
SIOU-641PX322,"Sioux Chief 641PX322 3/4"" x 1/2"" x 1/2"" PEX F2159 Reducing Tee Composite",1.86,0.05,0.0627,28.4,0.0269,margem apertada
SIOU-555-23PK2,"Sioux Chief 555-23PK2 1/2"" & 3/4"" Twin Tube Talon",1.95,0.05,0.0657,29.8,0.0256,margem apertada
PASC-2877,"Pasco 2877 1-1/2""CWT Chrome Split-One Floor & Ceili",2.0,0.05,0.0674,30.6,0.025,margem apertada
HLNK-EX24241,"HeatLink EX24241 1-1/2"" PEX Expansion Ring - HeatLink",2.06,0.05,0.0694,31.5,0.0243,margem apertada
HLNK-EX19005,"HeatLink EX19005 1/2"" PEX Coupling (Expansion(F1960)) - Composite",2.06,0.05,0.0694,31.5,0.0243,margem apertada
PASC-1406,Pasco 1406 Bulk Air Valve - Each,2.07,0.05,0.0698,31.6,0.0242,margem apertada
SIOU-645XG32,"Sioux Chief 645XG32 3/4"" X 1/2"" PEX F1807 Coupling",2.13,0.06,0.0718,32.6,0.0282,margem apertada
SIOU-642XG2,"Sioux Chief 642XG2 1/2"" PEX F1807 90 Elbow",2.13,0.06,0.0718,32.6,0.0282,margem apertada
PASC-2876,"Pasco 2876 1-1/4""CWT Chrome Split-One Floor & Ceili",2.22,0.05,0.0748,33.9,0.0225,margem apertada
MPEX-4601500,"MrPEX Systems 4601500 1-1/2"" PEX Expansion Ring -",2.22,0.05,0.0748,33.9,0.0225,margem apertada
META-THPS-400G,"C&S THPS-400G 4"" 2-Hole Galv Pipe Strap",2.27,0.05,0.0765,34.7,0.022,margem apertada
MPEX-4115050,"MrPEX Systems 4115050 1/2"" PEX Coupling (Crimp(F1807)) - Brass",2.27,0.06,0.0765,34.7,0.0264,margem apertada
MPEX-4665050,"MrPEX Systems 4665050 1/2"" PEX 90° Elbow (Expansion(F1960)) - Composite",2.28,0.05,0.0768,34.9,0.0219,margem apertada
MPEX-4640750,"MrPEX Systems 4640750 3/4"" PEX Plug (Expansion(F1960)) - Composite",2.28,0.05,0.0768,34.9,0.0219,margem apertada
SIOU-551-2PK2,"Sioux Chief 551-2PK2 1/2"" CTS with nail 10/bag Tube Talon",2.31,0.05,0.0778,35.3,0.0216,margem apertada
