sku,pid,vid,status,preco,peso_lb,peso_dim_lb,peso_efetivo_lb,lam,fonte_dim,titulo
BURN-208EN-G0,7716786176103,44353436123239,ACTIVE,5555.25,502.0,,502.0,0.09036,,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney "
BURN-207EN-G0,7716786143335,44353436090471,ACTIVE,5064.69,458.0,,458.0,0.09043,,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney "
RHEE-ES120-12-G-208-3,7715753295975,44351342149735,DRAFT,0.0,430,,430,,,Rheem® ES120-12-G-208-3 120 Gal 12.3 kW 208V 3PH Heavy Duty Commercial Electric 
BURN-206EN-G0,7716786110567,44353436057703,ACTIVE,4495.82,414.0,,414.0,0.09209,,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney "
BURN-205EN-G0,7716786077799,44353436024935,ACTIVE,3905.49,354.0,,354.0,0.09064,,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney "
BURN-203EN-G0,7716785979495,44353435926631,ACTIVE,3235.2,300.0,,300.0,0.09273,,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney V"
BURN-X-PV4P-T02,7716786634855,44353436581991,ACTIVE,5865.28,294.0,,294.0,0.05013,,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power V"
BURN-204EN-G0,7716786045031,44353435992167,ACTIVE,3472.65,292.0,,292.0,0.08409,,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney "
LIBE-2448LSG202,7715517792359,44350883725415,ACTIVE,6046.88,220,,220,0.03638,,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Dis"
BURN-202EN-G0,7716785946727,44353435893863,ACTIVE,2888.1,202.0,,202.0,0.06994,,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney V"
S&DT-BURN-202EN-GO,7716786667623,44353436614759,ACTIVE,1648.08,202.0,,202.0,0.12257,,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign"
MPEX-1680010,7715597942887,44351001722983,ACTIVE,1322.61,13.14,174.8,174.81,0.13217,cube,"MrPEX Systems 1680010 2"" x 100' White Potable PEX-a Tubing"
FUJI-AGU15RLF,7715418407015,44350703435879,DRAFT,0.0,140,,140,,,"Fujitsu General AGU15RLF - 15,000 BTU/h, Single Zone - Floor Unit Airstage Mini-"
ZOEL-915-0005,7716845191271,44353499234407,ACTIVE,2024.89,60.0,125.4,125.35,0.06191,LWH,Zoeller Pump 915-0005 915 SIMPLEX GRINDER PACKAGE SYSTEM WITH AN BN801 with Alar
MPEX-1670010,7715597877351,44351001657447,ACTIVE,772.86,13.14,95.4,95.4,0.12343,cube,"MrPEX Systems 1670010 1-1/2"" x 100' White Potable PEX-a Tubing"
LIBE-LSG202M,7715519037543,44350884970599,ACTIVE,2445.95,84,6.0,84,0.03434,cube,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Disch"
DURA-700438000000090,7715404021863,44350685184103,DRAFT,0.0,78,,78,,,"Duravit 700438000000090 Architec 60"" x 32"" Rectangular Alcove Bathtub in White A"
MUST-557,7715406774375,44350687936615,ACTIVE,565.78,60,,60,0.10605,,E. L Mustee & Sons 557WHT E.L. Mustee & Sons - DURAWALL® (Wall & Door Components
GERB-12-512,7715420930151,44350709661799,ACTIVE,280.32,53,,53,0.18907,,"Gerber G0012512 Burr Ridge 24"" Ped Top Single Hole White"
FIAT-E88AA-24,7715412934759,44350697177191,DRAFT,0.0,50,,50,,,"Fiat Products E88AA24000 24"" Stainless Steel Bumper Guard"
GERB-12-555,7715421028455,44350709792871,ACTIVE,320.62,45,,45,0.14035,,"Gerber G0012555 Logan Square Petite Ped Top 24.25:x20.13"" 4""CC White"
GERB-12-559,7715421061223,44350709825639,ACTIVE,320.62,45,,45,0.14035,,"Gerber G0012559 Logan Square Petite Ped Top 24.25""x20.13"" 8""CC White"
MUST-265-WHT,7715406119015,44350687281255,ACTIVE,609.4,43,0.1,43,0.07056,cube,E. L Mustee & Sons E.L. Mustee & Sons - DURAWALL® (Wall & Door Components) White
FRAN-PKG160LD-ONY,7715417882727,44350702551143,ACTIVE,910.46,40,,40,0.04393,,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Double Bowl Kitchen Sink
GERB-12-514,7715420962919,44350709727335,ACTIVE,148.12,40,0.0,40,0.27005,cube,"Gerber G0012514 Maxwell Ped Top 25.2""X20.5"" 4""CC White"
GERB-12-518,7715420995687,44350709760103,ACTIVE,148.12,40,0.0,40,0.27005,cube,"Gerber G0012518 Maxwell Ped Top 25.2""X20.5"" 8""CC White"
FRAN-PKG11031ONY,7715417751655,44350702387303,ACTIVE,919.25,38,,38,0.04134,,Franke Peak 32.0-in. x 18.8-in. Onyx Granite Undermount Single Bowl Kitchen Sink
GERB-12-504,7715420864615,44350709596263,ACTIVE,118.12,33,0.0,33,0.27938,cube,"Gerber G0012504 Maxwell Petite Ped Top 20.5""x17.75"" 4""CC White"
