Handle,Command,Title,Vendor,SEO Title,SEO Description
t10-pro-smart-with-redlink-thermostat-kit-with-sensor,UPDATE,Honeywell Home THX321WFS2001W/U T10 Pro Smart with RedLINK thermostat kit with sensor,Honeywell Home,Honeywell Home T10 Pro Smart with RedLINK thermostat kit,Honeywell Home T10 Pro Smart with RedLINK thermostat kit with sensor. MPN THX321WFS2001W/U. Connected thermostat with remote setup from a phone or tablet.
prestige-2-wire-iaq-kit-with-high-definition-color-touchscreen-white-front-white-sides-thermostat-with-redlink-technology-and-sensors,UPDATE,Honeywell Home YTHX9421R7001WW/U Prestige® 2-Wire IAQ Kit with high definition color touchscreen white front/white sides thermostat with RedLINK® technology and sensors,Honeywell Home,Honeywell Home YTHX9421R7001WW Prestige 2-Wire IAQ Kit,"Honeywell Home YTHX9421R7001WW/U Prestige 2-Wire IAQ kit with high definition color touchscreen thermostat, RedLINK technology and sensors."
prestige-iaq-kit-plus-wireless-outdoor-sensor,UPDATE,Honeywell Home YTHX9421R5101WW/U Prestige® IAQ Kit plus wireless outdoor sensor,Honeywell Home,Honeywell Home YTHX9421R5101WW/U IAQ Kit plus wireless outdoor sensor,Honeywell Home Prestige® IAQ Kit plus wireless outdoor sensor. MPN YTHX9421R5101WW/U. Part of the Honeywell Home connected lineup from Resideo.
prestige-2-wire-iaq-equipment-interface-module-kit-with-two-duct-sensors,UPDATE,Honeywell Home YTHM5421R1010/U Prestige® 2-Wire IAQ Equipment Interface Module Kit With Two Duct Sensors,Honeywell Home,Honeywell Home YTHM5421R1010/U 2-Wire IAQ Equipment Interface Module Kit,Honeywell Home Prestige® 2-Wire IAQ Equipment Interface Module Kit With Two Duct Sensors. MPN YTHM5421R1010/U.
redlink-equipment-interface-module-for-3-heat-2-cool-pump-system,UPDATE,"Honeywell Home YTH5320R1000/U FocusPRO Kit for TrueZONE Panels, Up to 3 Heat/2 Cool",Honeywell Home,Honeywell Home YTH5320R1000/U FocusPRO Kit for TrueZONE Panels,"Honeywell Home FocusPRO kit for TrueZONE zone panels, up to 3 heat and 2 cool. MPN YTH5320R1000/U. The thermostat on its own is sold as TH5320R1002/U."
redlink-equipment-remote-module-kit,UPDATE,Honeywell Home YERM5220RVPEIM/U RedLINK® Equipment Remote Module Kit,Honeywell Home,Honeywell Home YERM5220RVPEIM/U RedLINK® Equipment Remote Module Kit,Honeywell Home RedLINK® Equipment Remote Module Kit. MPN YERM5220RVPEIM/U. RedLINK devices pair wirelessly with a compatible Resideo thermostat.
cable-sensor-for-l1-wifi-water-leak-and-freeze-detector,UPDATE,Honeywell Home WLD3CABLE Cable Sensor for L1 WiFi Water Leak and Freeze Detector,Honeywell Home,Honeywell Home Cable Sensor for L1 WiFi Water Leak and Freeze,"Honeywell Home Cable Sensor for L1 WiFi Water Leak and Freeze Detector. MPN WLD3CABLE. Leak and freeze sensing for a basement, laundry or mechanical room."
l5-wifi-actuator-with-3-4-in-npt-ball-valve,UPDATE,Honeywell Home VWS02Y-3/4 L5 WiFi Actuator with 3/4 in NPT Ball Valve,Honeywell Home,Honeywell Home VWS02Y-3/4 L5 WiFi Actuator with 3/4 in NPT Ball Valve,Honeywell Home L5 WiFi Actuator with 3/4 in NPT Ball Valve. MPN VWS02Y-3/4. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-actuator-with-1-1-4-in-npt-ball-valve,UPDATE,Honeywell Home VWS02Y-11/4 L5 WiFi Actuator with 1 1/4 in NPT Ball Valve,Honeywell Home,Honeywell Home VWS02Y-11/4 L5 WiFi Actuator with 1 1/4 in NPT Ball Valve,Honeywell Home L5 WiFi Actuator with 1 1/4 in NPT Ball Valve. MPN VWS02Y-11/4. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-actuator-with-1-2-in-npt-ball-valve,UPDATE,Honeywell Home VWS02Y-1/2 L5 WiFi Actuator with 1/2 in NPT Ball Valve,Honeywell Home,Honeywell Home VWS02Y-1/2 L5 WiFi Actuator with 1/2 in NPT Ball Valve,Honeywell Home L5 WiFi Actuator with 1/2 in NPT Ball Valve. MPN VWS02Y-1/2. Motorized shutoff closes the supply when a leak is reported.
