Handle,Command,Title,Vendor,SEO Title,SEO Description
t10-pro-smart-with-redlink-thermostat-kit-with-sensor,UPDATE,Resideo THX321WFS2001W/U T10 Pro Smart with RedLINK thermostat kit with sensor,Resideo,Resideo T10 Pro Smart with RedLINK thermostat kit,Resideo T10 Pro Smart with RedLINK thermostat kit with sensor. MPN THX321WFS2001W/U. Connected thermostat with remote setup from a phone or tablet.
prestige-2-wire-iaq-kit-with-high-definition-color-touchscreen-white-front-white-sides-thermostat-with-redlink-technology-and-sensors,UPDATE,Resideo YTHX9421R7001WW/U Prestige® 2-Wire IAQ Kit with high definition color touchscreen white front/white sides thermostat with RedLINK® technology and sensors,Resideo,Resideo YTHX9421R7001WW Prestige 2-Wire IAQ Kit,"Resideo YTHX9421R7001WW/U Prestige 2-Wire IAQ kit with high definition color touchscreen thermostat, RedLINK technology and sensors."
prestige-iaq-kit-plus-wireless-outdoor-sensor,UPDATE,Resideo YTHX9421R5101WW/U Prestige® IAQ Kit plus wireless outdoor sensor,Resideo,Resideo YTHX9421R5101WW/U IAQ Kit plus wireless outdoor sensor,Resideo Prestige® IAQ Kit plus wireless outdoor sensor. MPN YTHX9421R5101WW/U. Part of the Honeywell Home connected lineup from Resideo.
prestige-2-wire-iaq-equipment-interface-module-kit-with-two-duct-sensors,UPDATE,Resideo YTHM5421R1010/U Prestige® 2-Wire IAQ Equipment Interface Module Kit With Two Duct Sensors,Resideo,Resideo YTHM5421R1010/U 2-Wire IAQ Equipment Interface Module Kit,Resideo Prestige® 2-Wire IAQ Equipment Interface Module Kit With Two Duct Sensors. MPN YTHM5421R1010/U.
redlink-equipment-interface-module-for-3-heat-2-cool-pump-system,UPDATE,"Resideo YTH5320R1000/U FocusPRO Kit for TrueZONE Panels, Up to 3 Heat/2 Cool",Resideo,Resideo YTH5320R1000/U FocusPRO Kit for TrueZONE Panels,"Resideo FocusPRO kit for TrueZONE zone panels, up to 3 heat and 2 cool. MPN YTH5320R1000/U. The thermostat on its own is sold as TH5320R1002/U."
redlink-equipment-remote-module-kit,UPDATE,Resideo YERM5220RVPEIM/U RedLINK® Equipment Remote Module Kit,Resideo,Resideo YERM5220RVPEIM/U RedLINK® Equipment Remote Module Kit,Resideo RedLINK® Equipment Remote Module Kit. MPN YERM5220RVPEIM/U. RedLINK devices pair wirelessly with a compatible Resideo thermostat.
cable-sensor-for-l1-wifi-water-leak-and-freeze-detector,UPDATE,Resideo WLD3CABLE Cable Sensor for L1 WiFi Water Leak and Freeze Detector,Resideo,Resideo Cable Sensor for L1 WiFi Water Leak and Freeze,"Resideo Cable Sensor for L1 WiFi Water Leak and Freeze Detector. MPN WLD3CABLE. Leak and freeze sensing for a basement, laundry or mechanical room."
l5-wifi-actuator-with-3-4-in-npt-ball-valve,UPDATE,Resideo VWS02Y-3/4 L5 WiFi Actuator with 3/4 in NPT Ball Valve,Resideo,Resideo VWS02Y-3/4 L5 WiFi Actuator with 3/4 in NPT Ball Valve,Resideo L5 WiFi Actuator with 3/4 in NPT Ball Valve. MPN VWS02Y-3/4. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-actuator-with-1-1-4-in-npt-ball-valve,UPDATE,Resideo VWS02Y-11/4 L5 WiFi Actuator with 1 1/4 in NPT Ball Valve,Resideo,Resideo VWS02Y-11/4 L5 WiFi Actuator with 1 1/4 in NPT Ball Valve,Resideo L5 WiFi Actuator with 1 1/4 in NPT Ball Valve. MPN VWS02Y-11/4. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-actuator-with-1-2-in-npt-ball-valve,UPDATE,Resideo VWS02Y-1/2 L5 WiFi Actuator with 1/2 in NPT Ball Valve,Resideo,Resideo VWS02Y-1/2 L5 WiFi Actuator with 1/2 in NPT Ball Valve,Resideo L5 WiFi Actuator with 1/2 in NPT Ball Valve. MPN VWS02Y-1/2. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-actuator-with-1-in-npt-ball-valve,UPDATE,Resideo VWS02Y-1 L5 WiFi Actuator with 1 in NPT Ball Valve,Resideo,Resideo VWS02Y-1 L5 WiFi Actuator with 1 in NPT Ball Valve,Resideo L5 WiFi Actuator with 1 in NPT Ball Valve. MPN VWS02Y-1. Motorized shutoff closes the supply when a leak is reported.
l5-wifi-power-adapter-for-north-america,UPDATE,Resideo VB-SP02Y-003 L5 WiFi Power Adapter for North America,Resideo,Resideo VB-SP02Y-003 L5 WiFi Power Adapter for North America,Resideo L5 WiFi Power Adapter for North America. MPN VB-SP02Y-003. Powers an L5 WiFi shutoff device on a North American supply.
l5-wifi-replacement-actuator,UPDATE,Resideo VB-SP02Y-002 L5 WiFi Replacement Actuator,Resideo,Resideo VB-SP02Y-002 L5 WiFi Replacement Actuator,Resideo L5 WiFi Replacement Actuator. MPN VB-SP02Y-002. Replaces the actuator on an L5 WiFi shutoff already in the line.
2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology,UPDATE,Resideo THX9421R5021WW/U 2-Wire IAQ high definition color touchscreen white front/white side thermostat with RedLINK® technology,Resideo,Resideo THX9421R5021WW/U thermostat,Resideo 2-Wire IAQ high definition color touchscreen white front/white side thermostat. MPN THX9421R5021WW/U.
wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models,UPDATE,"Resideo THP9045A1023/U WireSaver, a C-Wire Adapter for Wi-Fi thermostats or RedLINK 8000 series models",Resideo,Resideo THP9045A1023/U a C-Wire Adapter,"Resideo WireSaver, a C-Wire Adapter for Wi-Fi thermostats or RedLINK 8000 series models. MPN THP9045A1023/U."
white-coverplate-assembly-for-use-with-the-prestige-2-wire-iaq-thermostat,UPDATE,Resideo THP2400A1027W/U White Coverplate assembly for use with the Prestige® 2-Wire IAQ Thermostat,Resideo,Resideo THP2400A1027W/U White Coverplate assembly,Resideo White Coverplate assembly for use with the Prestige® 2-Wire IAQ Thermostat. MPN THP2400A1027W/U.
