Handle,Command,Tags,Tags Command
t10-pro-smart-with-redlink-thermostat-kit-with-sensor,UPDATE,honeywell-home,MERGE
prestige-2-wire-iaq-kit-with-high-definition-color-touchscreen-white-front-white-sides-thermostat-with-redlink-technology-and-sensors,UPDATE,honeywell-home,MERGE
prestige-iaq-kit-plus-wireless-outdoor-sensor,UPDATE,honeywell-home,MERGE
prestige-2-wire-iaq-equipment-interface-module-kit-with-two-duct-sensors,UPDATE,honeywell-home,MERGE
redlink-equipment-interface-module-for-3-heat-2-cool-pump-system,UPDATE,honeywell-home,MERGE
redlink-equipment-remote-module-kit,UPDATE,honeywell-home,MERGE
cable-sensor-for-l1-wifi-water-leak-and-freeze-detector,UPDATE,honeywell-home,MERGE
l5-wifi-actuator-with-3-4-in-npt-ball-valve,UPDATE,honeywell-home,MERGE
l5-wifi-actuator-with-1-1-4-in-npt-ball-valve,UPDATE,honeywell-home,MERGE
l5-wifi-actuator-with-1-2-in-npt-ball-valve,UPDATE,honeywell-home,MERGE
l5-wifi-actuator-with-1-in-npt-ball-valve,UPDATE,honeywell-home,MERGE
l5-wifi-power-adapter-for-north-america,UPDATE,honeywell-home,MERGE
l5-wifi-replacement-actuator,UPDATE,honeywell-home,MERGE
2-wire-iaq-high-definition-color-touchscreen-white-front-white-side-thermostat-with-redlink-technology,UPDATE,honeywell-home,MERGE
wiresaver-a-c-wire-adapter-for-wi-fi-thermostats-or-redlink-8000-series-models,UPDATE,honeywell-home,MERGE
white-coverplate-assembly-for-use-with-the-prestige-2-wire-iaq-thermostat,UPDATE,honeywell-home,MERGE
coverplate-assembly-for-use-with-the-redlink-visionpro,UPDATE,honeywell-home,MERGE
prestige-2-wire-iaq-equipment-interface-module,UPDATE,honeywell-home,MERGE
wireless-adapter-for-use-with-redlink-enabled-thermostats-and-truezone-system,UPDATE,honeywell-home,MERGE
wifi-9000-color-touchscreen-thermostat,UPDATE,honeywell-home,MERGE
wi-fi-visionpro-8000-for-residential-or-commercial-use-stages-up-to-up-to-3-heat-2-cool,UPDATE,honeywell-home,MERGE
visionpro-8000-with-redlink-technology-for-residential-or-commercial-use-stages-up-to-1-heat-1-cool,UPDATE,honeywell-home,MERGE
focuspro-6000-5-1-1-programmable-wireless-thermostat,UPDATE,honeywell-home,MERGE
t6-pro-smart-thermostat-multi-stage-2-heat-2-cool,UPDATE,honeywell-home,MERGE
redlink-equipment-remote-module,UPDATE,honeywell-home,MERGE
l1-wifi-water-leak-and-freeze-detector-and-sensor-cable,UPDATE,honeywell-home,MERGE
return-duct-backup-control-of-non-zoned-redlink-enabled,UPDATE,honeywell-home,MERGE
redlink-enabled-wireless-indoor-air-sensor,UPDATE,honeywell-home,MERGE
c7089r1013-redlink-outdoor-temperature-and-humidity-sensor,UPDATE,honeywell-home,MERGE
