media_id,alt_anterior
gid://shopify/MediaImage/46169179816039,Resideo THM5320R1000/U RedLINK Equipment Interface Module for Wireless FocusPRO
gid://shopify/MediaImage/46169157599335,"Resideo M847A1031/U Damper Replacement Part, 38 in Linkage Chain, Extended Bracket"
gid://shopify/MediaImage/46169157632103,"Resideo M847A1049/U Damper Actuator, 24 VAC, 1.9 lb-in, 24 Sec Timing, 3.8 in Linkage Arm"
gid://shopify/MediaImage/46169157664871,"Resideo M847A1080/U Damper Replacement Part, 38 in Linkage Chain, Extended Bracket"
gid://shopify/MediaImage/46169157697639,"Resideo M847A1080/U Damper Replacement Part, 38 in Linkage Chain, Extended Bracket"
gid://shopify/MediaImage/46169158516839,"Resideo M847D-VENT/U Two-Position Spring-Closed Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158615143,"Resideo M847D-VENT/U Two-Position Spring-Closed Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158582375,"Resideo M847D-VENT/U Two-Position Spring-Closed Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158549607,"Resideo M847D-VENT/U Two-Position Spring-Closed Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158680679,"Resideo M847D-ZONE/U Two-Position Spring-Open Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158746215,"Resideo M847D-ZONE/U Two-Position Spring-Open Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158713447,"Resideo M847D-ZONE/U Two-Position Spring-Open Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169158647911,"Resideo M847D-ZONE/U Two-Position Spring-Open Replacement Damper Actuator, 24V"
gid://shopify/MediaImage/46169110839399,"Resideo ARD16TZ/U TrueZONE Automatic Round Damper, 16 in, Normally Open"
gid://shopify/MediaImage/46169110741095,"Resideo ARD16TZ/U TrueZONE Automatic Round Damper, 16 in, Normally Open"
gid://shopify/MediaImage/46169110773863,"Resideo ARD16TZ/U TrueZONE Automatic Round Damper, 16 in, Normally Open"
