Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
1-8-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-018-CAP-C,0.003,lb,W 07002,0.05,0.003,16.67,2.59,0.0193,0.0012,"Mueller Streamline W 07002 1/8"" Copper Sweat Fittings - Cap C"
1-8-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-018-CPL/RS-C,0.005,lb,W 01003,0.05,0.005,10.0,1.62,0.0309,0.0031,"Mueller Streamline W 01003 1/8"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-050-3,0.214,lb,583-030,2.04,0.214,9.53,1.74,1.1724,0.123,"Mueller Streamline 583-030 1/2"" x 3"" - Black Iron Nipple"
1-4-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-025-CAP-C,0.006,lb,W 07004,0.05,0.006,8.33,1.62,0.0309,0.0037,"Mueller Streamline W 07004 1/4"" Copper Sweat Fittings - Cap C"
1-8-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-018-90EL-C,0.008,lb,W 02003,0.05,0.008,6.25,5.29,0.0095,0.0015,"Mueller Streamline W 02003 1/8"" Copper Sweat Fittings - 90 Degree Elbow C x C"
1-1-4-copper-fittings-dwv-test-cap-c,UPDATE,UPDATE,COPF-DWV-125-TCAP-C,0.008,lb,W 07637,0.05,0.008,6.25,3.25,0.0154,0.0025,"Mueller Streamline W 07637 1-1/4"" Copper Fittings - DWV - Test Cap C"
3-8-black-iron-plug,UPDATE,UPDATE,BLIF-038-PLG,0.052,lb,521-802,0.32,0.052,6.15,1.54,0.2078,0.0338,"Mueller Streamline 521-802 3/8"" Black Iron Plug"
1-2-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-050-MA-G,0.181,lb,CP01131G,0.95,0.181,5.25,34.21,0.0278,0.0053,"Mueller Streamline CP01131G 1/2"" Carbon Steel Press Fittings - Gas - Male Adapter P x MPT"
1-2-carbon-steel-press-fittings-mechanical-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-050-MA,0.181,lb,CP01131,0.9,0.181,4.98,32.59,0.0276,0.0055,"Mueller Streamline CP01131 1/2"" Carbon Steel Press Fittings - Mechanical - Male Adapter P x MPT"
3-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-300-3.5,2.213,lb,570-035,10.0,2.213,4.52,30.02,0.3331,0.0737,"Mueller Streamline 570-035 3"" x 3-1/2"" - Galvanized Nipple"
