Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
1-8-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-018-CAP-C,0.003,lb
1-8-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-018-CPL/RS-C,0.005,lb
1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-050-3,0.214,lb
1-4-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-025-CAP-C,0.006,lb
1-8-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-018-90EL-C,0.008,lb
1-1-4-copper-fittings-dwv-test-cap-c,UPDATE,UPDATE,COPF-DWV-125-TCAP-C,0.008,lb
3-8-black-iron-plug,UPDATE,UPDATE,BLIF-038-PLG,0.052,lb
1-2-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-050-MA-G,0.181,lb
1-2-carbon-steel-press-fittings-mechanical-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-050-MA,0.181,lb
3-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-300-3.5,2.213,lb
3-4-x-3-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.038-BSH,0.125,lb
5-8-copper-sweat-fittings-90-degree-long-turn-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-058-LTST90-C,0.094,lb
1-2-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-050.100-TEE,0.529,lb
1-4-copper-sweat-fittings-45-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-025-45EL-C,0.013,lb
3-8-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-038-CAP-C,0.013,lb
3-4-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-075.025-BSH,0.126,lb
3-4-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.018-BSH,0.143,lb
3-8-black-iron-cap,UPDATE,UPDATE,BLIF-038-CAP,0.08,lb
3-4-carbon-steel-press-fittings-gas-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-075-MA-G,0.262,lb
3-8-x-1-4-copper-sweat-fittings-flush-bushing-ftg-x-c,UPDATE,UPDATE,COPF-038.025-FLB-C,0.014,lb
3-4-carbon-steel-press-fittings-mechanical-male-adapter-p-x-mpt,UPDATE,UPDATE,CRBN-075-MA,0.262,lb
3-8-x-1-4-copper-sweat-fittings-fitting-reducer-ftg-x-c,UPDATE,UPDATE,COPF-038.025-FTR-C,0.015,lb
3-8-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-038.025-CPL,0.11,lb
3-8-black-iron-elbow-45,UPDATE,UPDATE,BLIF-038-45EL,0.136,lb
1-8-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-018-MA-C,0.016,lb
3-4-black-iron-plug,UPDATE,UPDATE,BLIF-075-PLG,0.101,lb
3-4-galvanized-plug,UPDATE,UPDATE,GAIF-075-PLG-G,0.101,lb
3-8-black-iron-union,UPDATE,UPDATE,BLIF-038-UNI,0.32,lb
1-4-black-iron-tee,UPDATE,UPDATE,BLIF-025-TEE,0.143,lb
1-4-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-025-90EL,0.017,lb
1-4-galvanized-tee,UPDATE,UPDATE,GAIF-025-TEE-G,0.143,lb
3-8-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-038-ST90,0.15,lb
3-8-galvanized-street-elbow-90,UPDATE,UPDATE,GAIF-038-ST90-G,0.15,lb
1-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-025-90EL,0.11,lb
1-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-025-90EL-G,0.11,lb
1-2-black-iron-plug,UPDATE,UPDATE,BLIF-050-PLG,0.084,lb
1-x-3-4-black-iron-bushing,UPDATE,UPDATE,BLIF-100.075-BSH,0.167,lb
1-x-3-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-100.075-BSH-G,0.167,lb
1-8-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-018-CLS,0.018,lb
3-4-black-iron-elbow-45-street,UPDATE,UPDATE,BLIF-075-ST45,0.284,lb
2-copper-fittings-dwv-double-wye-c-x-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200-DBLY-C,0.823,lb
3-4-galvanized-street-elbow-45,UPDATE,UPDATE,GAIF-075-ST45-G,0.284,lb
1-2-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-050.018-CPL,0.143,lb
3-8-black-iron-coupling,UPDATE,UPDATE,BLIF-038-CPL,0.137,lb
2-copper-press-fittings-union-pxm-p-x-mpt,UPDATE,UPDATE,CPPF-200-UMA,1.974,lb
1-x-3-4-carbon-steel-press-fittings-gas-coupling-p-x-p,UPDATE,UPDATE,CRBN-100.075-CPL-G,0.355,lb
