Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
1-4-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-025.018-BSH,0.022,lb,521-910,0.45,0.022,20.45,"Mueller Streamline 521-910 1/4"" x 1/8"" Black Iron Bushing"
1-8-black-iron-plug,UPDATE,UPDATE,BLIF-018-PLG,0.019,lb,521-800,0.32,0.019,16.84,"Mueller Streamline 521-800 1/8"" Black Iron Plug"
3-8-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-038.025-BSH,0.038,lb,521-921,0.45,0.038,11.84,"Mueller Streamline 521-921 3/8"" x 1/4"" Black Iron Bushing"
1-4-x-1-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-025-1.5,0.053,lb,581-015,0.55,0.053,10.38,"Mueller Streamline 581-015 1/4"" x 1-1/2"" - Black Iron Nipple"
1-4-black-iron-plug,UPDATE,UPDATE,BLIF-025-PLG,0.033,lb,521-801,0.32,0.033,9.7,"Mueller Streamline 521-801 1/4"" Black Iron Plug"
1-4-galvanized-plug,UPDATE,UPDATE,GAIF-025-PLG-G,0.033,lb,511-801,0.32,0.033,9.7,"Mueller Streamline 511-801 1/4"" - Galvanized Plug"
1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-050-3,0.214,lb,583-030,2.04,0.214,9.53,"Mueller Streamline 583-030 1/2"" x 3"" - Black Iron Nipple"
3-8-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-038.018-BSH,0.049,lb,521-920,0.45,0.049,9.18,"Mueller Streamline 521-920 3/8"" x 1/8"" Black Iron Bushing"
1-8-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-018-ST90,0.058,lb,520-300,0.46,0.058,7.93,"Mueller Streamline 520-300 1/8"" Black Iron Elbow - 90° (Street)"
1-8-black-iron-elbow-45,UPDATE,UPDATE,BLIF-018-45EL,0.066,lb,520-200,0.48,0.066,7.27,"Mueller Streamline 520-200 1/8"" Black Iron Elbow - 45°"
1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-018-CPL,0.055,lb,521-200,0.4,0.055,7.27,"Mueller Streamline 521-200 1/8"" Black Iron Coupling"
1-8-black-iron-cap,UPDATE,UPDATE,BLIF-018-CAP,0.033,lb,521-400,0.23,0.033,6.97,"Mueller Streamline 521-400 1/8"" Black Iron Cap"
1-4-galvanized-union,UPDATE,UPDATE,GAIF-025-UNI-G,0.218,lb,511-701,1.45,0.218,6.65,"Mueller Streamline 511-701 1/4"" - Galvanized Union"
1-2-x-3-8-black-iron-bushing,UPDATE,UPDATE,BLIF-050.038-BSH,0.069,lb,521-932,0.45,0.069,6.52,"Mueller Streamline 521-932 1/2"" x 3/8"" Black Iron Bushing"
1-2-x-3-8-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-050.038-BSH-G,0.069,lb,511-932,0.45,0.069,6.52,"Mueller Streamline 511-932 1/2"" x 3/8"" - Galvanized Bushing - MPT x FPT"
3-8-black-iron-plug,UPDATE,UPDATE,BLIF-038-PLG,0.052,lb,521-802,0.32,0.052,6.15,"Mueller Streamline 521-802 3/8"" Black Iron Plug"
1-2-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-050.025-BSH,0.078,lb,521-931,0.45,0.078,5.77,"Mueller Streamline 521-931 1/2"" x 1/4"" Black Iron Bushing"
1-2-x-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-050.025-BSH-G,0.078,lb,511-931,0.45,0.078,5.77,"Mueller Streamline 511-931 1/2"" x 1/4"" - Galvanized Bushing - MPT x FPT"
1-2-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-050.018-BSH,0.084,lb,521-930,0.45,0.084,5.36,"Mueller Streamline 521-930 1/2"" x 1/8"" Black Iron Bushing"
1-4-black-iron-cap,UPDATE,UPDATE,BLIF-025-CAP,0.055,lb,521-401,0.29,0.055,5.27,"Mueller Streamline 521-401 1/4"" Black Iron Cap"
1-8-black-iron-elbow-90,UPDATE,UPDATE,BLIF-018-90EL,0.069,lb,520-000,0.34,0.069,4.93,"Mueller Streamline 520-000 1/8"" Black Iron Elbow - 90°"
1-4-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-025.018-CPL,0.071,lb,521-310,0.35,0.071,4.93,"Mueller Streamline 521-310 1/4"" x 1/8"" Black Iron Coupling"
1-8-galvanized-elbow-90,UPDATE,UPDATE,GAIF-018-90EL-G,0.069,lb,510-000,0.34,0.069,4.93,"Mueller Streamline 510-000 1/8"" - Galvanized Elbow - 90°"
1-4-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-025-ST90,0.092,lb,520-301,0.44,0.092,4.78,"Mueller Streamline 520-301 1/4"" Black Iron Elbow - 90° (Street)"
1-8-black-iron-tee,UPDATE,UPDATE,BLIF-018-TEE,0.102,lb,520-600,0.48,0.102,4.71,"Mueller Streamline 520-600 1/8"" Black Iron Tee"
3-x-3-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-300-3.5,2.213,lb,570-035,10.0,2.213,4.52,"Mueller Streamline 570-035 3"" x 3-1/2"" - Galvanized Nipple"
3-4-x-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-075.050-BSH,0.096,lb,521-943,0.42,0.096,4.38,"Mueller Streamline 521-943 3/4"" x 1/2"" Black Iron Bushing"
1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-025-CPL,0.087,lb,521-201,0.37,0.087,4.25,"Mueller Streamline 521-201 1/4"" Black Iron Coupling"
1-4-black-iron-elbow-45,UPDATE,UPDATE,BLIF-025-45EL,0.103,lb,520-201,0.43,0.103,4.17,"Mueller Streamline 520-201 1/4"" Black Iron Elbow - 45°"
3-4-x-3-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.038-BSH,0.125,lb,521-942,0.52,0.125,4.16,"Mueller Streamline 521-942 3/4"" x 3/8"" Black Iron Bushing"
1-2-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-050.100-TEE,0.529,lb,520-335,2.04,0.529,3.86,"Mueller Streamline 520-335 1/2"" x 1/2"" x 1"" Black Iron Tee"
3-4-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-075.025-BSH,0.126,lb,521-941,0.47,0.126,3.73,"Mueller Streamline 521-941 3/4"" x 1/4"" Black Iron Bushing"
3-8-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-038.018-CPL,0.094,lb,521-320,0.35,0.094,3.72,"Mueller Streamline 521-320 3/8"" x 1/8"" Black Iron Coupling"
3-4-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-075.018-BSH,0.143,lb,521-940,0.52,0.143,3.64,"Mueller Streamline 521-940 3/4"" x 1/8"" Black Iron Bushing"
3-8-black-iron-cap,UPDATE,UPDATE,BLIF-038-CAP,0.08,lb,521-402,0.29,0.08,3.62,"Mueller Streamline 521-402 3/8"" Black Iron Cap"
3-8-x-1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-038.025-CPL,0.11,lb,521-321,0.35,0.11,3.18,"Mueller Streamline 521-321 3/8"" x 1/4"" Black Iron Coupling"
3-8-black-iron-elbow-45,UPDATE,UPDATE,BLIF-038-45EL,0.136,lb,520-202,0.43,0.136,3.16,"Mueller Streamline 520-202 3/8"" Black Iron Elbow - 45°"
3-4-black-iron-plug,UPDATE,UPDATE,BLIF-075-PLG,0.101,lb,521-804,0.31,0.101,3.07,"Mueller Streamline 521-804 3/4"" Black Iron Plug"
3-4-galvanized-plug,UPDATE,UPDATE,GAIF-075-PLG-G,0.101,lb,511-804,0.31,0.101,3.07,"Mueller Streamline 511-804 3/4"" - Galvanized Plug"
