Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-600.200-TEE-C,9.536,lb,W 40505,0.39,9.536,0.04,1991.7,0.0002,0.0048,"Mueller Streamline W 40505 6"" x 6"" x 2"" Copper Sweat Fittings - Tee C x C x C"
3-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-300-12,7.586,lb,570-120,0.51,7.586,0.07,292.44,0.0017,0.0259,"Mueller Streamline 570-120 3"" x 12"" - Galvanized Nipple"
3-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-300-6,3.792,lb,570-060,0.51,3.792,0.13,37.01,0.0138,0.1025,"Mueller Streamline 570-060 3"" x 6"" - Galvanized Nipple"
4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-400-4,3.6,lb,571-040,0.51,3.6,0.14,40.28,0.0127,0.0894,"Mueller Streamline 571-040 4"" x 4"" - Galvanized Nipple"
2-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-250-6,2.899,lb,569-060,0.51,2.899,0.18,27.7,0.0184,0.1047,"Mueller Streamline 569-060 2-1/2"" x 6"" - Galvanized Nipple"
4-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-400-CPL/RS-C,2.105,lb,W 10107,0.39,2.105,0.19,136.83,0.0029,0.0154,"Mueller Streamline W 10107 4"" Copper Sweat Fittings - Coupling - Rolled Stop C x C"
2-1-2-black-iron-union,UPDATE,UPDATE,BLIF-250-UNI,4.567,lb,521-709,0.96,4.567,0.21,72.99,0.0132,0.0626,"Mueller Streamline 521-709 2-1/2"" Black Iron Union"
3-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-300.200-CPL-G,3.252,lb,511-308,0.84,3.252,0.26,48.48,0.0173,0.0671,"Mueller Streamline 511-308 3"" x 2"" - Galvanized Reducing Coupling"
2-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-250-4,1.933,lb,569-040,0.51,1.933,0.26,22.62,0.0225,0.0855,"Mueller Streamline 569-040 2-1/2"" x 4"" - Galvanized Nipple"
4-x-2-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-400.250-BSH,3.349,lb,521-919,0.96,3.349,0.29,26.71,0.0359,0.1254,"Mueller Streamline 521-919 4"" x 2-1/2"" Black Iron Bushing"
