Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-600.200-TEE-C,9.536,lb
3-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-300-12,7.586,lb
3-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-300-6,3.792,lb
4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-400-4,3.6,lb
2-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-250-6,2.899,lb
4-copper-sweat-fittings-coupling-rolled-stop-c-x-c,UPDATE,UPDATE,COPF-400-CPL/RS-C,2.105,lb
2-1-2-black-iron-union,UPDATE,UPDATE,BLIF-250-UNI,4.567,lb
3-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-300.200-CPL-G,3.252,lb
2-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-250-4,1.933,lb
4-x-2-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-400.250-BSH,3.349,lb
3-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-300-CLS,1.66,lb
2-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-250-3,1.451,lb
3-8-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-038-ST45,0.027,lb
2-1-2-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-250.200-CPL-G,2.26,lb
3-4-x-1-2-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-075.050-CPL,0.079,lb
1-1-4-carbon-steel-press-fittings-mechanical-union-p-x-p,UPDATE,UPDATE,CRBN-125-UNI,2.119,lb
2-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-250-CLS,1.208,lb
2-carbon-steel-press-fittings-mechanical-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-200-TEE,2.002,lb
3-4-x-3-4-x-1-copper-press-fittings-tee-p-x-p-x-p,UPDATE,UPDATE,CPPF-075.100-TEE,0.765,lb
3-copper-fittings-dwv-coupling-c-x-c,UPDATE,UPDATE,COPF-DWV-300-CPL-C,0.468,lb
1-2-x-1-4-copper-sweat-fittings-fitting-female-adapter-ftg-x-fpt,UPDATE,UPDATE,COPF-050.025-FTGFA-C,0.105,lb
2-copper-fittings-dwv-22-1-2-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-200-22EL-C,0.486,lb
1-x-1-x-1-1-8-black-iron-tee,UPDATE,UPDATE,BLIF-100.125-TEE,1.025,lb
1-1-2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-150-WYE-C,0.941,lb
2-x-2-x-1-1-2-x-1-1-2-copper-fittings-dwv-double-wye-c-x-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-DBLY-C,1.2,lb
5-8-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-058-TEE,0.116,lb
3-x-2-1-2-x-2-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-300.250.250-TEE-C,4.516,lb
1-1-2-copper-fittings-dwv-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-DWV-150-FA-C,0.479,lb
1-1-4-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-125-8,1.519,lb
3-4-x-1-2-copper-fittings-cleaned-bagged-fitting-reducer-ftg-x-c,UPDATE,UPDATE,CFCB-075.050-FTR,0.057,lb
2-1-2-x-2-1-2-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.050-TEE-C,2.048,lb
2-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-200-90EL-G,1.756,lb
1-2-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2,0.143,lb
1-2-copper-fittings-cleaned-bagged-45-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-050-45EL,0.036,lb
5-8-copper-fittings-cleaned-bagged-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-058-ST90,0.09,lb
1-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.100-TEE,0.753,lb
1-2-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-050-ST45,0.035,lb
1-1-2-copper-fittings-dwv-22-1-2-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-150-22EL-C,0.265,lb
2-x-2-x-3-4-carbon-steel-press-fittings-gas-tee-p-x-p-x-p,UPDATE,UPDATE,CRBN-200.075-TEE-G,1.656,lb
1-x-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.100-TEE-G,0.753,lb
1-4-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-025-90EL-C,0.017,lb
1-4-copper-sweat-fittings-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-025-ST90-C,0.017,lb
3-copper-fittings-dwv-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-DWV-300-ST90-C,1.703,lb
3-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-075.100-TEE,0.713,lb
3-copper-fittings-dwv-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-300-90EL-C,1.658,lb
3-8-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-038-MA-C,0.066,lb
2-1-2-x-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.075-TEE-C,2.059,lb
4-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-400-MA-C,3.711,lb
1-2-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-050-90EL,0.048,lb
3-4-copper-fittings-cleaned-bagged-90-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-90EL,0.112,lb
3-4-copper-sweat-fittings-p-trap-suction-line-c-x-c,UPDATE,UPDATE,COPF-075-PTR-C,0.626,lb
2-1-2-x-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.125-TEE-C,2.116,lb
2-copper-fittings-dwv-repair-coupling-no-stop-c-x-c,UPDATE,UPDATE,COPF-DWV-200-CPL/LS-C,0.19,lb
1-2-copper-fittings-cleaned-bagged-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-050-ST90,0.047,lb
3-4-x-3-4-x-1-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-075.100-TEE,0.22,lb
2-1-2-x-2-x-1-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.200.100-TEE-C,2.1,lb
3-4-copper-fittings-cleaned-bagged-45-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,CFCB-075-ST45,0.091,lb
3-4-copper-press-fittings-drop-ear-90-degree-elbow-p-x-fpt,UPDATE,UPDATE,CPPF-075-DE90,0.441,lb
3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075-90EL,0.36,lb
4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-400-CLS,2.372,lb
3-4-copper-fittings-cleaned-bagged-45-degree-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-45EL,0.09,lb
3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075-90EL-G,0.36,lb
1-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-100-CLS,0.209,lb
2-copper-fittings-dwv-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-200-90EL-C,0.705,lb
2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200-WYE-C,1.26,lb
1-2-x-1-4-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-050.025-CPL,0.029,lb
1-2-x-3-8-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-050.038-CPL,0.029,lb
3-4-copper-fittings-cleaned-bagged-coupling-dimple-stop-c-x-c,UPDATE,UPDATE,CFCB-075-CPL/DS,0.058,lb
1-2-x-3-8-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-050.038-CPL-C,0.029,lb
1-1-4-x-1-copper-sweat-fittings-90-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-125.100-90EL-C,0.333,lb
1-1-2-x-1-1-2-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-150.050-TEE-C,0.421,lb
2-1-2-x-2-1-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.075-TEE-C,1.827,lb
2-x-1-1-2-x-1-1-2-copper-fittings-dwv-sanitary-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150.150-SANT-C,0.874,lb
3-8-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-038-TEE,0.043,lb
3-4-copper-fittings-cleaned-bagged-cap-c,UPDATE,UPDATE,CFCB-075-CAP,0.043,lb
3-4-copper-fittings-cleaned-bagged-repair-coupling-no-stop-c-x-c,UPDATE,UPDATE,CFCB-075-CPL/LS,0.057,lb
3-4-copper-fittings-cleaned-bagged-90-degree-long-turn-elbow-c-x-c,UPDATE,UPDATE,CFCB-075-LT90,0.129,lb
1-2-x-3-8-copper-sweat-fittings-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-050.038-FA-C,0.071,lb
1-1-2-x-1-1-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-150.075-TEE-C,0.472,lb
1-1-2-copper-fittings-dwv-trap-adapter-c-x-sj,UPDATE,UPDATE,COPF-DWV-150-FTA-C,0.328,lb
2-x-2-x-1-1-2-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-WYE-C,1.146,lb
1-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.075-TEE,0.606,lb
1-8-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2,0.042,lb
3-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3,1.896,lb
1-1-4-x-1-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-125.050.125-TEE-C,0.574,lb
3-x-2-copper-fittings-dwv-coupling-c-x-c,UPDATE,UPDATE,COPF-DWV-300.200-CPL-C,0.523,lb
1-1-4-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-125-12,2.277,lb
1-copper-fittings-cleaned-bagged-male-adapter-c-x-mpt,UPDATE,UPDATE,CFCB-100-MA,0.236,lb
1-1-4-x-3-4-copper-fittings-cleaned-bagged-fitting-reducer-ftg-x-c,UPDATE,UPDATE,CFCB-125.075-FTR,0.167,lb
1-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-100-MA-C,0.236,lb
1-1-4-x-3-4-copper-sweat-fittings-fitting-reducer-ftg-x-c,UPDATE,UPDATE,COPF-125.075-FTR-C,0.167,lb
2-1-2-x-2-1-2-x-1-1-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.125-TEE-C,1.874,lb
1-1-2-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-150-90EL-G,1.322,lb
1-x-3-4-x-3-4-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-100.075.075-TEE,0.301,lb
1-x-3-4-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-100.075.075-TEE-C,0.301,lb
1-1-2-copper-fittings-dwv-90-degree-street-elbow-ftg-x-c,UPDATE,UPDATE,COPF-DWV-150-ST90-C,0.383,lb
2-x-2-x-1-1-2-copper-fittings-dwv-sanitary-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-SANT-C,0.753,lb
1-2-x-3-8-copper-fittings-cleaned-bagged-fitting-reducer-ftg-x-c,UPDATE,UPDATE,CFCB-050.038-FTR,0.027,lb
1-2-x-3-8-copper-sweat-fittings-fitting-reducer-ftg-x-c,UPDATE,UPDATE,COPF-050.038-FTR-C,0.027,lb
1-x-3-4-copper-sweat-fittings-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-100.075-FA-C,0.216,lb
2-1-2-x-2-1-2-x-1-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-250.100-TEE-C,1.832,lb
3-4-x-1-2-copper-press-fittings-fitting-reducer-ftg-x-p,UPDATE,UPDATE,CPPF-075.050-FTR,0.108,lb
2-1-2-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-250-CLS,1.208,lb
1-2-x-3-4-copper-sweat-fittings-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-050.075-FA-C,0.159,lb
1-1-2-copper-sweat-fittings-female-adapter-c-x-fpt,UPDATE,UPDATE,COPF-150-FA-C,0.533,lb
2-x-2-x-3-4-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-200.075-TEE-C,0.832,lb
2-x-2-x-1-1-2-copper-fittings-dwv-combination-tee-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200.150-LTTY-C,1.418,lb
3-copper-fittings-dwv-45-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-DWV-300-45EL-C,0.842,lb
3-copper-fittings-dwv-wye-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-300-WYE-C,3.1,lb
1-2-x-1-2-x-3-4-copper-press-fittings-tee-p-x-p-x-p,UPDATE,UPDATE,CPPF-050.075-TEE,0.318,lb
1-2-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-1.5,0.106,lb
2-1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3,1.451,lb
1-1-4-x-3-4-copper-fittings-cleaned-bagged-coupling-c-x-c,UPDATE,UPDATE,CFCB-125.075-CPL,0.17,lb
1-2-x-3-8-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-050.038-MA-C,0.066,lb
3-4-x-1-2-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-075.050-CPL-C,0.079,lb
1-x-3-4-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-100.075.050-TEE-C,0.236,lb
1-1-4-x-3-4-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-125.075-CPL-C,0.17,lb
1-1-4-x-1-x-1-2-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-125.100.050-TEE-C,0.356,lb
2-x-2-x-1-copper-sweat-fittings-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-200.100-TEE-C,0.881,lb
1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-050-CLS,0.079,lb
2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-200-CLS,0.609,lb
3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-075-CPL,0.271,lb
3-4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-075-CLS,0.13,lb
2-1-2-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-4.5,2.174,lb
3-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3.5,2.213,lb
3-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-4.5,2.844,lb
1-copper-fittings-cleaned-bagged-cap-c,UPDATE,UPDATE,CFCB-100-CAP,0.078,lb
3-8-copper-sweat-fittings-two-hole-strap,UPDATE,UPDATE,COPF-038-2HSTR-C,0.013,lb
3-8-copper-sweat-fittings-45-degree-elbow-c-x-c,UPDATE,UPDATE,COPF-038-45EL-C,0.026,lb
1-copper-sweat-fittings-cap-c,UPDATE,UPDATE,COPF-100-CAP-C,0.078,lb
1-1-4-x-1-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-125.100-CPL-C,0.195,lb
1-1-2-copper-fittings-dwv-sanitary-tee-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-150-SANT-C,0.518,lb
2-copper-fittings-dwv-double-combination-tee-wye-c-x-c-x-c-x-c,UPDATE,UPDATE,COPF-DWV-200-DBLTTY-C,3.67,lb
1-2-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-2,0.143,lb
3-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-075-CLS,0.13,lb
1-8-x-2-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2.5,0.051,lb
3-4-copper-fittings-cleaned-bagged-tee-c-x-c-x-c,UPDATE,UPDATE,CFCB-075-TEE,0.141,lb
3-4-x-1-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-075.100-MA-C,0.293,lb
1-copper-sweat-fittings-90-degree-elbow-w-drain-c-x-c,UPDATE,UPDATE,COPF-100-DREL-C,0.397,lb
1-1-4-copper-sweat-fittings-male-adapter-c-x-mpt,UPDATE,UPDATE,COPF-125-MA-C,0.411,lb
