Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,titulo
3-4-x-48-galvanized-nipple,UPDATE,UPDATE,GAPN-075-48,4.52,lb,564-480HC,0.12,4.52,0.03,"Mueller Streamline 564-480HC 3/4"" x 48"" - Galvanized Nipple"
3-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-300-12,7.586,lb,570-120,0.51,7.586,0.07,"Mueller Streamline 570-120 3"" x 12"" - Galvanized Nipple"
3-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-300-6,3.792,lb,570-060,0.51,3.792,0.13,"Mueller Streamline 570-060 3"" x 6"" - Galvanized Nipple"
4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-400-4,3.6,lb,571-040,0.51,3.6,0.14,"Mueller Streamline 571-040 4"" x 4"" - Galvanized Nipple"
2-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-250-6,2.899,lb,569-060,0.51,2.899,0.18,"Mueller Streamline 569-060 2-1/2"" x 6"" - Galvanized Nipple"
2-1-2-black-iron-union,UPDATE,UPDATE,BLIF-250-UNI,4.567,lb,521-709,0.96,4.567,0.21,"Mueller Streamline 521-709 2-1/2"" Black Iron Union"
3-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-300.200-CPL-G,3.252,lb,511-308,0.84,3.252,0.26,"Mueller Streamline 511-308 3"" x 2"" - Galvanized Reducing Coupling"
2-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-250-4,1.933,lb,569-040,0.51,1.933,0.26,"Mueller Streamline 569-040 2-1/2"" x 4"" - Galvanized Nipple"
4-x-2-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-400.250-BSH,3.349,lb,521-919,0.96,3.349,0.29,"Mueller Streamline 521-919 4"" x 2-1/2"" Black Iron Bushing"
3-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-300-CLS,1.66,lb,570-001,0.51,1.66,0.31,"Mueller Streamline 570-001 3"" x Close - Galvanized Nipple"
2-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-250-3,1.451,lb,569-030,0.51,1.451,0.35,"Mueller Streamline 569-030 2-1/2"" x 3"" - Galvanized Nipple"
2-1-2-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-250.200-CPL-G,2.26,lb,511-398,0.84,2.26,0.37,"Mueller Streamline 511-398 2-1/2"" x 2"" - Galvanized Reducing Coupling"
