Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
3-4-x-48-galvanized-nipple,UPDATE,UPDATE,GAPN-075-48,4.52,lb
3-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-300-12,7.586,lb
3-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-300-6,3.792,lb
4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-400-4,3.6,lb
2-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-250-6,2.899,lb
2-1-2-black-iron-union,UPDATE,UPDATE,BLIF-250-UNI,4.567,lb
3-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-300.200-CPL-G,3.252,lb
2-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-250-4,1.933,lb
4-x-2-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-400.250-BSH,3.349,lb
3-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-300-CLS,1.66,lb
2-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-250-3,1.451,lb
2-1-2-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-250.200-CPL-G,2.26,lb
2-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-250-CLS,1.208,lb
1-x-1-x-1-1-8-black-iron-tee,UPDATE,UPDATE,BLIF-100.125-TEE,1.025,lb
1-1-4-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-125-8,1.519,lb
1-2-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2,0.143,lb
1-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.100-TEE,0.753,lb
1-x-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.100-TEE-G,0.753,lb
3-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-075.100-TEE,0.713,lb
3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075-90EL,0.36,lb
4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-400-CLS,2.372,lb
3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075-90EL-G,0.36,lb
1-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-100-CLS,0.209,lb
1-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.075-TEE,0.606,lb
1-8-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2,0.042,lb
3-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3,1.896,lb
1-1-4-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-125-12,2.277,lb
2-1-2-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-250-CLS,1.208,lb
1-2-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-1.5,0.106,lb
2-1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3,1.451,lb
1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-050-CLS,0.079,lb
2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-200-CLS,0.609,lb
3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-075-CPL,0.271,lb
3-4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-075-CLS,0.13,lb
2-1-2-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-4.5,2.174,lb
3-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3.5,2.213,lb
3-x-4-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-300-4.5,2.844,lb
1-2-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-2,0.143,lb
3-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-075-CLS,0.13,lb
1-8-x-2-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2.5,0.051,lb
1-2-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-2.5,0.179,lb
3-4-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-075-1.5,0.141,lb
1-1-4-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-125-CLS,0.309,lb
1-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-150-CLS,0.397,lb
2-1-2-x-3-1-2-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3.5,1.691,lb
1-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-2,0.28,lb
1-1-4-x-2-galvanized-nipple,UPDATE,UPDATE,GAPN-125-2,0.379,lb
1-x-2-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-100-2.5,0.351,lb
