Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
3-4-x-48-galvanized-nipple,UPDATE,UPDATE,GAPN-075-48,0.12,lb
3-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-300-12,0.51,lb
3-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-300-6,0.51,lb
4-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-400-4,0.51,lb
2-1-2-x-6-galvanized-nipple,UPDATE,UPDATE,GAPN-250-6,0.51,lb
2-1-2-black-iron-union,UPDATE,UPDATE,BLIF-250-UNI,0.96,lb
3-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-300.200-CPL-G,0.84,lb
2-1-2-x-4-galvanized-nipple,UPDATE,UPDATE,GAPN-250-4,0.51,lb
4-x-2-1-2-black-iron-bushing,UPDATE,UPDATE,BLIF-400.250-BSH,0.96,lb
3-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-300-CLS,0.51,lb
2-1-2-x-3-galvanized-nipple,UPDATE,UPDATE,GAPN-250-3,0.51,lb
2-1-2-x-2-galvanized-reducing-coupling,UPDATE,UPDATE,GAIF-250.200-CPL-G,0.84,lb
2-1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-250-CLS,0.51,lb
1-x-1-x-1-1-8-black-iron-tee,UPDATE,UPDATE,BLIF-100.125-TEE,0.51,lb
1-1-4-x-8-galvanized-nipple,UPDATE,UPDATE,GAPN-125-8,0.79,lb
1-2-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-050-2,0.08,lb
1-x-1-2-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.100-TEE,0.43,lb
1-x-1-2-x-1-galvanized-tee,UPDATE,UPDATE,GAIF-100.050.100-TEE-G,0.43,lb
3-4-x-3-4-x-1-black-iron-tee,UPDATE,UPDATE,BLIF-075.100-TEE,0.43,lb
3-4-black-iron-elbow-90,UPDATE,UPDATE,BLIF-075-90EL,0.24,lb
4-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-400-CLS,1.6,lb
3-4-galvanized-elbow-90,UPDATE,UPDATE,GAIF-075-90EL-G,0.24,lb
1-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-100-CLS,0.14,lb
1-x-1-2-x-3-4-black-iron-tee,UPDATE,UPDATE,BLIF-100.050.075-TEE,0.43,lb
1-8-x-2-black-iron-nipple,UPDATE,UPDATE,BLPN-018-2,0.03,lb
3-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-300-3,1.34,lb
1-1-4-x-12-galvanized-nipple,UPDATE,UPDATE,GAPN-125-12,1.62,lb
2-1-2-x-close-black-iron-nipple,UPDATE,UPDATE,BLPN-250-CLS,0.9,lb
1-2-x-1-1-2-galvanized-nipple,UPDATE,UPDATE,GAPN-050-1.5,0.08,lb
2-1-2-x-3-black-iron-nipple,UPDATE,UPDATE,BLPN-250-3,1.1,lb
1-2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-050-CLS,0.06,lb
2-x-close-galvanized-nipple,UPDATE,UPDATE,GAPN-200-CLS,0.46,lb
3-4-black-iron-coupling,UPDATE,UPDATE,BLIF-075-CPL,0.21,lb
