Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit,part_number,peso_loja_lb,peso_fabricante_lb,razao,preco,lambda_antes,lambda_depois,titulo
1-2-carbon-steel-press-fittings-gas-90-degree-street-elbow-ftg-x-p,UPDATE,UPDATE,CRBN-050-ST90-G,0.264,lb,CP02822G,0.95,0.264,3.6,27.26,0.0348,0.0097,"Mueller Streamline CP02822G 1/2"" Carbon Steel Press Fittings - Gas - 90 Degree Street Elbow Ftg x P"
1-2-carbon-steel-press-fittings-gas-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-050-90EL-G,0.264,lb,CP02722G,0.95,0.264,3.6,26.7,0.0356,0.0099,"Mueller Streamline CP02722G 1/2"" Carbon Steel Press Fittings - Gas - 90 Degree Elbow P x P"
1-2-carbon-steel-press-fittings-mechanical-90-degree-elbow-p-x-p,UPDATE,UPDATE,CRBN-050-90EL,0.264,lb,CP02722,0.9,0.264,3.41,25.79,0.0349,0.0102,"Mueller Streamline CP02722 1/2"" Carbon Steel Press Fittings - Mechanical - 90 Degree Elbow P x P"
1-4-galvanized-union,UPDATE,UPDATE,GAIF-025-UNI-G,0.218,lb,511-701,1.45,0.218,6.65,13.83,0.1048,0.0158,"Mueller Streamline 511-701 1/4"" - Galvanized Union"
3-4-x-1-2-copper-press-male-adapter-p-x-mpt,UPDATE,UPDATE,CPPF-075.050-MA,0.167,lb,PF 01147,0.5,0.167,2.99,12.25,0.0408,0.0136,"Mueller Streamline PF 01147 3/4"" x 1/2"" Copper Press - Male Adapter P x MPT"
3-8-x-7-black-iron-nipple,UPDATE,UPDATE,BLPN-038-7,0.329,lb,582-070,0.94,0.329,2.86,11.22,0.0838,0.0293,"Mueller Streamline 582-070 3/8"" x 7"" - Black Iron Nipple"
1-4-x-1-8-copper-sweat-fittings-coupling-c-x-c,UPDATE,UPDATE,COPF-025.018-CPL-C,0.007,lb,W 01011,0.39,0.007,55.71,8.73,0.0447,0.0008,"Mueller Streamline W 01011 1/4"" x 1/8"" Copper Sweat Fittings - Coupling C x C"
1-2-x-1-4-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-050.025-BSH-G,0.078,lb,511-931,0.45,0.078,5.77,4.32,0.1042,0.0181,"Mueller Streamline 511-931 1/2"" x 1/4"" - Galvanized Bushing - MPT x FPT"
1-2-x-3-8-galvanized-bushing-mpt-x-fpt,UPDATE,UPDATE,GAIF-050.038-BSH-G,0.069,lb,511-932,0.45,0.069,6.52,4.32,0.1042,0.016,"Mueller Streamline 511-932 1/2"" x 3/8"" - Galvanized Bushing - MPT x FPT"
1-8-black-iron-tee,UPDATE,UPDATE,BLIF-018-TEE,0.102,lb,520-600,0.48,0.102,4.71,3.84,0.125,0.0266,"Mueller Streamline 520-600 1/8"" Black Iron Tee"
1-4-black-iron-elbow-45,UPDATE,UPDATE,BLIF-025-45EL,0.103,lb,520-201,0.43,0.103,4.17,3.72,0.1156,0.0277,"Mueller Streamline 520-201 1/4"" Black Iron Elbow - 45°"
1-8-black-iron-elbow-45,UPDATE,UPDATE,BLIF-018-45EL,0.066,lb,520-200,0.48,0.066,7.27,3.65,0.1315,0.0181,"Mueller Streamline 520-200 1/8"" Black Iron Elbow - 45°"
1-8-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-018-ST90,0.058,lb,520-300,0.46,0.058,7.93,3.63,0.1267,0.016,"Mueller Streamline 520-300 1/8"" Black Iron Elbow - 90° (Street)"
1-4-black-iron-elbow-90-street,UPDATE,UPDATE,BLIF-025-ST90,0.092,lb,520-301,0.44,0.092,4.78,3.63,0.1212,0.0253,"Mueller Streamline 520-301 1/4"" Black Iron Elbow - 90° (Street)"
1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-018-CPL,0.055,lb,521-200,0.4,0.055,7.27,3.54,0.113,0.0155,"Mueller Streamline 521-200 1/8"" Black Iron Coupling"
1-4-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-025.018-BSH,0.022,lb,521-910,0.45,0.022,20.45,3.21,0.1402,0.0069,"Mueller Streamline 521-910 1/4"" x 1/8"" Black Iron Bushing"
3-8-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-038.018-BSH,0.049,lb,521-920,0.45,0.049,9.18,3.21,0.1402,0.0153,"Mueller Streamline 521-920 3/8"" x 1/8"" Black Iron Bushing"
3-8-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-038.025-BSH,0.038,lb,521-921,0.45,0.038,11.84,3.21,0.1402,0.0118,"Mueller Streamline 521-921 3/8"" x 1/4"" Black Iron Bushing"
1-2-x-1-8-black-iron-bushing,UPDATE,UPDATE,BLIF-050.018-BSH,0.084,lb,521-930,0.45,0.084,5.36,3.21,0.1402,0.0262,"Mueller Streamline 521-930 1/2"" x 1/8"" Black Iron Bushing"
1-2-x-1-4-black-iron-bushing,UPDATE,UPDATE,BLIF-050.025-BSH,0.078,lb,521-931,0.45,0.078,5.77,3.21,0.1402,0.0243,"Mueller Streamline 521-931 1/2"" x 1/4"" Black Iron Bushing"
1-2-x-3-8-black-iron-bushing,UPDATE,UPDATE,BLIF-050.038-BSH,0.069,lb,521-932,0.45,0.069,6.52,3.21,0.1402,0.0215,"Mueller Streamline 521-932 1/2"" x 3/8"" Black Iron Bushing"
1-8-galvanized-elbow-90,UPDATE,UPDATE,GAIF-018-90EL-G,0.069,lb,510-000,0.34,0.069,4.93,3.07,0.1107,0.0225,"Mueller Streamline 510-000 1/8"" - Galvanized Elbow - 90°"
1-4-black-iron-coupling,UPDATE,UPDATE,BLIF-025-CPL,0.087,lb,521-201,0.37,0.087,4.25,3.0,0.1233,0.029,"Mueller Streamline 521-201 1/4"" Black Iron Coupling"
1-2-galvanized-plug,UPDATE,UPDATE,GAIF-050-PLG-G,0.084,lb,511-803,0.24,0.084,2.86,2.96,0.0811,0.0284,"Mueller Streamline 511-803 1/2"" - Galvanized Plug"
1-4-x-1-8-black-iron-coupling,UPDATE,UPDATE,BLIF-025.018-CPL,0.071,lb,521-310,0.35,0.071,4.93,2.91,0.1203,0.0244,"Mueller Streamline 521-310 1/4"" x 1/8"" Black Iron Coupling"
