sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
ABSF-150-MA-A,44350398627943,7715286581351,ACTIVE,2.0,9.78,4.88751,General profile,Standard,"Charlotte Pipe ABS-00109-0800 1-1/2"" ABS DWV Male Adapter - H x MPT"
ABSF-150-PLG-A,44350398693479,7715286646887,ACTIVE,1.94,7.89,4.06848,General profile,Standard,"Charlotte Pipe ABS-00106-0600 1-1/2"" ABS DWV Cleanout Plug - MPT"
ABSF-200-PLG-A,44350401904743,7715289071719,ACTIVE,2.11,10.38,4.9214,General profile,Standard,"Charlotte Pipe ABS-00106-0800 2"" ABS DWV Cleanout Plug - MPT"
BRAS-1-12DLC,44350356127847,7715252895847,ACTIVE,10.37,3.88,0.37462,General profile,Standard,"BrassCraft 1-12DL C 3/8"" Toilet Supply - Chrome, 12"""
BRAS-CR1900DVX-C,44350356226151,7715252994151,ACTIVE,63.3,3.87,0.06118,General profile,Standard,"BrassCraft CR1900DVX C 1/2"" x 3/8"" x 1/4"" Dual Angle Stop - Comp, Chrome"
BRAS-CSSB21-36,44350356389991,7715253157991,ACTIVE,53.88,8.75,0.16235,General profile,Standard,"BrassCraft CSSB21-36 3/4"" x 3/4"" Gas Supply - 36"", FIP x MIP"
BRAS-CSSC21-24,44350356422759,7715253190759,ACTIVE,24.21,9.57,0.39543,General profile,Standard,"BrassCraft CSSC21-24 3/4"" x 3/4"" Gas Supply - 24"", FIP x MIP"
BRAS-CSSC21-36,44350356455527,7715253223527,ACTIVE,28.76,13.69,0.47617,General profile,Standard,"BrassCraft CSSC21-36 3/4"" x 3/4"" Gas Supply - 36"", FIP x MIP"
BRAS-CSSD54-36,44350356619367,7715253387367,ACTIVE,23.87,8.75,0.36645,General profile,Standard,"BrassCraft CSSD54-36 1/2"" x 1/2"" Gas Supply - 36"", FIP x MIP"
BRAS-CT2-664XP,44350358650983,7715253944423,ACTIVE,11.69,1.28,0.10942,General profile,Standard,"BrassCraft CT2-664X P 3/8"" x 3/8"" x 1/4"" Tee - Comp, Rough Brass"
