sku,vid,pid,status,peso_lb,titulo
ANVI-2400353039,44350276894823,7715226157159,DRAFT,0.12,Anvil Safety End Cap
BURN-X-PV3N-T02,44353436516455,7716786569319,DRAFT,2.19,"US Boiler (Burnham) X-PV Series - 70,000 BTU Input - Cast Iron Sectional Power V"
CAMC-20830,44350386503783,7715276423271,DRAFT,1.62,"Camco 20830 24"" Aluminum Water Heater Drain Pan Short w/PVC Fitting (E/F) 20810"
CMPF-078.075-MA-NL,44350367793255,7715259973735,DRAFT,0.23,"BrassCraft 68-14-12X 7/8"" x 3/4"" Compression Male Adapter"
DURA-700438000000090,44350685184103,7715404021863,DRAFT,78,"Duravit 700438000000090 Architec 60"" x 32"" Rectangular Alcove Bathtub in White A"
ELKA-LRAD-1716-65-2,44350691606631,7715410149479,DRAFT,1,"Elkay LRAD1716652 Lustertone Classic Stainless Steel 17"" x 16"" x 6-1/2"" 2-Hole S"
ELKA-LZSTL8WSSK,44350692130919,7715410509927,DRAFT,2,Elkay LZSTL8WSSK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Fi
FIAT-E88AA-24,44350697177191,7715412934759,DRAFT,50,"Fiat Products E88AA24000 24"" Stainless Steel Bumper Guard"
FUJI-AGU15RLF,44350703435879,7715418407015,DRAFT,140,"Fujitsu General AGU15RLF - 15,000 BTU/h, Single Zone - Floor Unit Airstage Mini-"
GROH-26.635GN0,44350723260519,7715430498407,DRAFT,0.5,Grohe 26635GN0 Wall Union
GROH-32.226003,44350726242407,7715433087079,DRAFT,5,Grohe 32226003 Single-Handle Pull Down Kitchen Faucet Dual Spray 1.75 GPM in GRO
GVLF-7081F-200-6-BLK,44350745477223,7715448029287,DRAFT,0.5,"Gruvlok 2"" Nipple - Black Iron - PE x MPT GVLF-7081F-200-6-BLK"
GVLF-7081F-400-6-BLK,44350745641063,7715448193127,DRAFT,0.52,"Gruvlok 4"" Nipple - Black Iron - PE x MPT GVLF-7081F-400-6-BLK"
GVLF-A7076SS-250.200-MA-1004,44350753276007,7715451568231,DRAFT,0.52,"Gruvlok 2-1/2"" x 2"" Male Adapter - 304 Stainless Steel - GR x MPT"
HONE-50028399-001/U,44351300829287,7715730882663,DRAFT,0.72,"Resideo 50028399-001/U Cover Plate, Prestige"
PASC-962,44351279562855,7715718070375,DRAFT,0.41,"Pasco 1-1/4"" x 3/4"" Urinal Spud w/Brass Nut"
PDWV-800SANT-P,44350458527847,7715323412583,DRAFT,0.81,"Charlotte Pipe PVC-00400-1800 8"" PVC DWV Sanitary Tee - All H"
RHEE-ES120-12-G-208-3,44351342149735,7715753295975,DRAFT,430,Rheem® ES120-12-G-208-3 120 Gal 12.3 kW 208V 3PH Heavy Duty Commercial Electric 
RHEE-SP8371B,44351358206055,7715762471015,DRAFT,1,"Rheem SP8371B 0.84"" x 54"", 1-1/16"" Hex Head, Magnesium, Flexible, Anode Rod for "
ROHL-R1040R,44351361384551,7715764404327,DRAFT,0.9,"Rohl R1040R 3/4"" Counterclockwise Volume Control Rough-In Valve - NPT or Sweat C"
ROHL-R1062BO,44351361417319,7715764437095,DRAFT,3,"Rohl R1062BO 4-Port, 3-Way Dedicated Diverter Rough-In Valve - NPT or Sweat Conn"
SCHI-4070-001-04,44351364890727,7715766304871,DRAFT,1.5,"Schier 4070-001-04 GB-3 50/75 GPM Hydromechanical Grease Interceptor 4"" Female P"
SSTF-250-CPLG,44350881038439,7715515269223,DRAFT,0.3,"Legend Valve 404-089 2-1/2"" - 304 Stainless Steel Coupling - FNPT x FNPT"
TACO-0014-SF1,44353377665127,7716733714535,DRAFT,18.5,"Taco Comfort Solutions 0014-SF1 0014 Series - Stainless Steel, Flanged, Rotated,"
TACO-006-BC4,44353378189415,7716734238823,DRAFT,6.0,"Taco Comfort Solutions 006-BC4 006 Series - Bronze, 1/2"" Sweat, 115V/60/1"
TACO-SFL-100P,44353381236839,7716736696423,DRAFT,0.88,"Taco Comfort Solutions Freedom Flange Set - Brass Shut-off, Swivel w/Lever Handl"
VEGA-79030,44353476919399,7716824612967,DRAFT,0.8,"Viega 79030 2""x2"" - (P-P) - Coupling (No Stop), ProPress®"
VEGA-90125,44353480982631,7716828119143,DRAFT,0.34,"Viega 90125 2""x2""x2"" - (P-P-P) - Tee, MegaPress® 316"
VEGA-90330,44353481244775,7716828381287,DRAFT,0.34,"Viega 90330 2""x2"" - (P-P) - Coupling, MegaPress® 316"
WATC-615-PP-ABS-CP,44353485963367,7716833099879,DRAFT,1.45,"Watco 615-PP-ABS-CP 1-1/2"" ABS Push Pull Bath Waste and Overflow Half Kit with H"
WATT-0556036,44353488945255,7716835491943,DRAFT,2.32,"Watts 0556036 3/4"" Lead Free Brass Calibrated Poppet Type Pressure Relief Valve,"
WEBS-H-44443WPR,44353490780263,7716837326951,DRAFT,4.5,"Webstone H-44443WPR 3/4"" FIP Union x FIP Tankless Valve Kit with PRV"
WEBS-H-81416WHV,44353492975719,7716839489639,DRAFT,0.88,"Webstone H-81416WHV 1-1/2"" Press Rotating Isolation Flange with Hose Drain for H"
WILK-112-SXL,44353501462631,7716847353959,DRAFT,2.76,"Zurn Wilkins 112-SXL 1-1/2"" SXL Cast Bronze Wye Type Strainer"
WILK-3-FSC,44353501790311,7716847681639,DRAFT,2.76,"Zurn Wilkins 3-FSC 3"" Ductile Iron Wye Type Strainer"
WILK-AG-4,44353502019687,7716847911015,DRAFT,11.1,"Zurn Wilkins AG-4 3/4"" - 1"" Fitting compatible with Model 975LX/975XL2"
