sku,handle,categoria,preco,peso_lb,lambda,perfil_atual,nota
BOSC-BP048-1-VTC-FRT-TDBD,4-ton-water-to-air-unit,Wall Mount Head Units,17245.50,2.0,0.0001,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
INTG-I250-GENII,i250-iseries-genii-wall-hung-tankless-water-heater,Tankless Water Heaters - Gas,11887.78,70.0,0.0059,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
GVLF-768G-600-PNTD,6-wye-strainer-painted-gr-x-gr,Gruvlok Fittings,9686.20,72.4,0.0075,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-MS8341CUMFG-01,neorest-rs-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8341cumfg-01,Toilet-Bidet Combinations,8318.40,64.0,0.0077,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SL26-260G3-NG,sl-series-260-000-btu-input-fire-tube-boiler-95-efficient-no-pump-included-elevation-range-0-12-000,Condensing Boilers,8185.42,80.0,0.0098,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
MIDE-MHA-V16WD2MN8-B2,midea-m-thermal-split-air-to-water-heat-pump-outdoor-unit,Heat Pumps,8164.41,2.19,0.0003,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
GVLF-7060-1000-GALV,10-tee-galvanized-gr-x-gr-x-gr,Gruvlok Fittings,7814.10,72.0,0.0092,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
IBCT-SL30-199G3-NG,sl-series-199-000-btu-input-fire-tube-boiler-95-efficient-no-pump-included-elevation-range-0-12-000,Condensing Boilers,7595.03,80.0,0.0105,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G50-100P-RH-HE-EC3,rheem-50-gallon-100-000-btu-h-professional-prestige-maximus-propane-water-heater,Residential Tank Heaters - Gas,7576.07,150.0,0.0198,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
RHEE-PROP-G50-100U-RH-HE-EC3,rheem-50-gallon-100-000-btu-h-professional-prestige-maximus-natural-gas-water-heater,Residential Tank Heaters - Gas,7505.47,150.0,0.0200,THS Freight & Oversize,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-MS988CUMFG-01,toto-usa-neorest-rh-cotton-1-piece-elongated-toilet-0-8-1-gpf,One-Piece Toilets,7299.60,40.0,0.0055,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
TOTO-MS8551CUMFG-01,neorest-as-dual-flush-1-0-or-0-8-gpf-toilet-with-intergeated-bidet-seat-and-ewater-cotton-white-ms8551cumfg-01,Toilet-Bidet Combinations,7053.54,63.9,0.0091,THS Standard - no free shipping,"lambda aprova e cabe na UPS, mas esta fora do General"
