sku,variant_id,product_id,titulo,preco_usd,peso_lb,perfil_ANTES,perfil_DEPOIS
BURN-208EN-G0,44353436123239,7716786176103,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",5555.25,502.0,General profile,THS Freight & Oversize
BURN-207EN-G0,44353436090471,7716786143335,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",5064.69,458.0,General profile,THS Freight & Oversize
BURN-206EN-G0,44353436057703,7716786110567,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",4495.82,414.0,General profile,THS Freight & Oversize
BURN-205EN-G0,44353436024935,7716786077799,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3905.49,354.0,General profile,THS Freight & Oversize
BURN-203EN-G0,44353435926631,7716785979495,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3235.2,300.0,General profile,THS Freight & Oversize
BURN-X-PV4P-T02,44353436581991,7716786634855,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2,000'",5865.28,294.0,General profile,THS Freight & Oversize
BURN-204EN-G0,44353435992167,7716786045031,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3472.65,292.0,General profile,THS Freight & Oversize
LIBE-2448LSG202,44350883725415,7715517792359,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Discharge with 24"" x 48"" basin and standard alarm",6046.88,220.0,General profile,THS Freight & Oversize
BURN-202EN-G0,44353435893863,7716785946727,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",2888.1,202.0,General profile,THS Freight & Oversize
S&DT-BURN-202EN-GO,44353436614759,7716786667623,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign",1648.08,202.0,General profile,THS Freight & Oversize
AMST-6400.001.020,44350255661159,7715216719975,American Standard 6400001.020 Stallbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Urinal White,749.82,112.0,General profile,THS Standard - no free shipping
AMST-7695.008.020,44350257266791,7715217342567,American Standard 7695008.020 Akron® Wall-Hung Cast Iron Service Sink With 8-inch Faucet Holes and Rim Guard White,1073.55,109.0,General profile,THS Standard - no free shipping
ELKA-LZSTL8WSLK,44350692065383,7715410444391,Elkay LZSTL8WSLK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Filtered Refrigerated Light Gray,3676.8,104.0,General profile,THS Standard - no free shipping
ELKA-LZS8WSLK,44350691999847,7715410378855,Elkay LZS8WSLK ezH2O Bottle Filling Station with Single ADA Cooler Filtered Refrigerated Light Gray,2636.87,85.0,General profile,THS Standard - no free shipping
LIBE-LSG202M,44350884970599,7715519037543,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Discharge, Manual",2445.95,84.0,General profile,THS Standard - no free shipping
LIBE-LSG203M,44350885003367,7715519070311,"Liberty Pumps LSG203M 2 HP, Grinder Pump, 3 PH, 208/230V, 25' Cord, 1-1/4"" Discharge, Manual",2576.25,84.0,General profile,THS Standard - no free shipping
ELKA-EZSTL8LC,44350690721895,7715409264743,Elkay EZSTL8LC Versatile Wall Mount Bi-level ADA Cooler Non-filtered Refrigerated Light Gray Granite,1706.68,83.0,General profile,THS Standard - no free shipping
AMST-6601.012.020,44350256808039,7715217277031,American Standard 6601012.020 Lynbrook® 1.0 gpf/3.8 Lpf Top Spud Blowout Urinal White,455.22,75.0,General profile,THS Standard - no free shipping
GVLF-7060-1000-PNTD,44350742331495,7715445538919,"Gruvlok 10"" Tee - Painted - GR x GR x GR",6251.7,74.47,General profile,THS Standard - no free shipping
AMST-9512.999.020,44350261592167,7715218915431,American Standard 9512999.020 Wall-Hung Clinic Service Sink White,1101.86,73.6,General profile,THS Standard - no free shipping
AMST-6561.017.020,44350256349287,7715217014887,American Standard 6561017.020 Trimbrook® 1.0 gpf/3.8 Lpf Top Spud Siphon Jet Urinal White,410.28,73.0,General profile,THS Standard - no free shipping
GVLF-768G-600-PNTD,44350747672679,7715449208935,"Gruvlok 6"" Wye Strainer - Painted - GR x GR",9686.2,72.4,General profile,THS Standard - no free shipping
GVLF-7060-1000-GALV,44350742265959,7715445473383,"Gruvlok 10"" Tee - Galvanized - GR x GR x GR",7814.1,72.0,General profile,THS Standard - no free shipping
AMST-6515.001.020,44350255693927,7715216752743,American Standard 6515001.020 Washbrook 0.125 -1.0 gpf (0.47 - 3.8 Lpf) Back Spud Urinal White,382.81,71.0,General profile,THS Standard - no free shipping
AMST-6590.001.020,44350256480359,7715217145959,American Standard 6590001.020 Washbrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,306.25,71.0,General profile,THS Standard - no free shipping
