sku,handle,categoria,preco,peso_efetivo_lb,lambda,perfil_atual,perfil_sugerido
BOSC-BP048-1-VTC-FRT-TDBD,4-ton-water-to-air-unit,Wall Mount Head Units,17245.50,2.00,0.0001,THS Freight & Oversize,General profile
GVLF-768G-600-PNTD,6-wye-strainer-painted-gr-x-gr,Gruvlok Fittings,9686.20,72.40,0.0075,THS Standard - no free shipping,General profile
GVLF-7060-1000-GALV,10-tee-galvanized-gr-x-gr-x-gr,Gruvlok Fittings,7814.10,72.00,0.0092,THS Standard - no free shipping,General profile
DXVF-D29030CS416-415,at200ls-dual-flush-elongated-spalet-bidet-toilet-in-canvas-white,Toilet-Bidet Combinations,7447.20,125.14,0.0168,General profile,THS Freight & Oversize
TOTO-MS988CUMFG-01,toto-usa-neorest-rh-cotton-1-piece-elongated-toilet-0-8-1-gpf,One-Piece Toilets,7299.60,40.00,0.0055,THS Standard - no free shipping,General profile
GVLF-7060-1000-PNTD,10-tee-painted-gr-x-gr-x-gr,Gruvlok Fittings,6251.70,74.47,0.0119,THS Standard - no free shipping,General profile
WILK-3-375AST,3-375ast-reduced-pressure-principle-backflow-preventer,Backflow Preventers,6159.73,119.00,0.0193,THS Freight & Oversize,General profile
RHEE-EGSP30-277V-6KW,rheem-30-gallon-6-kw-277-v-point-of-use-commercial-electric-water-heater,Point of Use Heaters,3536.33,115.00,0.0325,THS Freight & Oversize,General profile
NAVI-NPE-240A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-240a2,Tankless Water Heaters - Gas,2910.00,77.00,0.0265,THS Freight & Oversize,General profile
NORI-NRCP111DVNG,199900-natural-gas-tankless-gas-water-heater-with-recirculation-pump,Tankless Water Heaters - Gas,2847.63,85.00,0.0298,THS Freight & Oversize,General profile
NORI-NRC111DVNG,199900-natural-gas-tankless-gas-water-heater-nori-nrc111dvng,Tankless Water Heaters - Gas,2668.34,74.00,0.0277,THS Freight & Oversize,General profile
NAVI-NPE-210A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-210a2,Tankless Water Heaters - Gas,2617.50,77.00,0.0294,THS Freight & Oversize,General profile
NORI-NRCP98DVNG,180000-natural-gas-tankless-gas-water-heater-with-recirculation-pump,Tankless Water Heaters - Gas,2615.14,85.00,0.0325,THS Freight & Oversize,General profile
LIBE-LSG203M,2-hp-grinder-pump-3-ph-208-230v-25-cord-1-1-4-discharge-manual,Sewage Pumps,2576.25,84.00,0.0326,THS Standard - no free shipping,General profile
RHEE-RTGH-SR11I,rheem-199-900-btu-h-ikonic-super-high-efficiency-condensing-tankless-natural-gas-or-propane-water-heater-with-recirculation-pump-for-indoor-installation,Tankless Water Heaters - Gas,2505.00,86.00,0.0343,THS Freight & Oversize,THS Standard - no free shipping
