sku,handle,preco,peso_registrado,peso_metafield,diferenca,fonte,lambda_reg,lambda_metafield
RHEE-PROG40-30N-RH62-MH-DV,rheem-40-gallon-30-000-btu-h-professional-classic-direct-vent-for-manufactured-housing-natural-gas-or-propane-water-heater,2378.88,12.0,125.0,113.0,Weight,0.0050,0.0525
RHEE-GHE100SU-200ANG,rheem-100-gallon-200-000-btu-h-triton-su-heavy-duty-commercial-natural-gas-water-heater-asme-construction,18922.71,775.0,810.0,35.0,Weight,0.0410,0.0428
RHEE-GHE100SU-300ALP,rheem-100-gallon-300-000-btu-h-triton-su-heavy-duty-commercial-propane-water-heater-asme-construction,19664.58,775.0,810.0,35.0,Weight,0.0394,0.0412
RHEE-GHE100SU-300ANG,rheem-100-gallon-300-000-btu-h-triton-su-heavy-duty-commercial-natural-gas-water-heater-asme-construction,23446.23,775.0,810.0,35.0,Weight,0.0331,0.0345
RHEE-GHE100SU-400ANG,rheem-100-gallon-400-000-btu-h-triton-su-heavy-duty-commercial-natural-gas-water-heater-asme-construction,25208.58,775.0,810.0,35.0,Weight,0.0307,0.0321
RHEE-RTGH-68DVLN-3,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation-rhee-rtgh-68dvln-3,1487.18,52.9,82.0,29.1,Weight,0.0356,0.0551
RHEE-RTGH-68DVLP-3,rheem-120-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,1487.18,52.9,82.0,29.1,Weight,0.0356,0.0551
RHEE-RTGH-84DVLN-3,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation-rhee-rtgh-84dvln-3,1442.70,52.9,82.0,29.1,Weight,0.0367,0.0568
RHEE-RTGH-84DVLP-3,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,1442.70,52.9,82.0,29.1,Weight,0.0367,0.0568
RHEE-RTGH-90DVLN-3,rheem-180-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,1477.85,52.9,82.0,29.1,Weight,0.0358,0.0555
RHEE-RTGH-90DVLP-3,rheem-180-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,1477.85,52.9,82.0,29.1,Weight,0.0358,0.0555
RHEE-RTGH-95DVLN-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,1664.16,52.9,82.0,29.1,Weight,0.0318,0.0493
RHEE-RTGH-95DVLP-3,rheem-199-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-propane-water-heater-for-indoor-installation,1664.16,52.9,82.0,29.1,Weight,0.0318,0.0493
GERB-21-187,burr-ridge-1-28gpf-ada-elongated-bowl-white,345.94,37.0,62.4,25.4,Weight,0.1070,0.1804
RHEE-RTG-70XLN-3,rheem-160-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-natural-gas-water-heater-for-outdoor-installation,921.99,42.0,54.0,12.0,Weight,0.0456,0.0586
RHEE-RTG-70XLP-3,rheem-160-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-outdoor-installation,921.99,42.0,54.0,12.0,Weight,0.0456,0.0586
RHEE-RTG-84XLP-3,rheem-180-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-outdoor-installation,1173.15,42.0,54.0,12.0,Weight,0.0358,0.0460
RHEE-RTG-95XLN-3,rheem-199-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-natural-gas-water-heater-for-outdoor-installation,1419.74,42.0,54.0,12.0,Weight,0.0296,0.0380
RHEE-RTG-95XLP-3,rheem-199-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-propane-water-heater-for-outdoor-installation,1419.74,42.0,54.0,12.0,Weight,0.0296,0.0380
ZILM-ZFT18R,4-8-gallon-expansion-tank-rectangular,276.44,9.0,20.0,11.0,Weight,0.0326,0.0723
GERB-12-844,luxoval-s-rim-lav-20x17-4cc-white,112.50,10.0,20.0,10.0,Weight,0.0889,0.1778
RHEE-PROG40-34N-RH62-MH,rheem-40-gallon-34-000-btu-h-professional-classic-atmospheric-for-manufactured-housing-natural-gas-water-heater,1988.88,115.0,125.0,10.0,Weight,0.0578,0.0628
RHEE-RTG-70DVLN-3,rheem-160-000-btu-h-rtg-series-high-efficiency-non-condensing-tankless-natural-gas-water-heater-for-indoor-installation,921.99,46.5,54.0,7.5,Weight,0.0504,0.0586
