sku,handle,preco,peso_registrado,peso_seco_metafield,nota
NAVI-NHW700-180AI-NG,navien-nhw-ae-180-000-btu-compact-tankless-water-heaters-indoor-installation-built-in-recirculation-pump-buffer-tank-natural-gas,1455.00,60.0,65.0,registrado ABAIXO do peso seco: erro certo
NAVI-NHW700-180SU-NG,navien-nhw-su-180-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,1260.00,60.0,65.0,registrado ABAIXO do peso seco: erro certo
NAVI-NHW700-199AI-NG,navien-nhw-ae-199-000-btu-compact-tankless-water-heaters-indoor-installation-built-in-recirculation-pump-buffer-tank-natural-gas,1695.00,60.0,65.0,registrado ABAIXO do peso seco: erro certo
NAVI-NHW700-199SU-LP,navien-nhw-su-199-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-propane,1507.50,60.0,65.0,registrado ABAIXO do peso seco: erro certo
NAVI-NHW700-199SU-NG,navien-nhw-su-199-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,1507.50,60.0,65.0,registrado ABAIXO do peso seco: erro certo
NAVI-NCB-240/110H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h,4027.50,96.0,96.0,registrado acima do seco: nao conclui
NAVI-NCB-240/110H-RAL,navien-high-efficiency-condensing-combi-boiler-max-htg-input-110-000-btu-h-max-dhw-input-199-900-btu-h-indoor-wall-hung-residential-ncb-240-110h-navi-ncb-240-110h-ral,4027.50,96.0,96.0,registrado acima do seco: nao conclui
NAVI-NFB-175H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-175-000-btu-h-indoor-wall-hung-residential-commercial-nfb-175h,3810.00,121.0,121.0,registrado acima do seco: nao conclui
NAVI-NFB-200H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-200-000-btu-h-indoor-wall-hung-residential-commercial-nfb-200h,4095.00,121.0,121.0,registrado acima do seco: nao conclui
NAVI-NFB-301C,navien-high-efficiency-condensing-heating-boiler-max-htg-input-301-000-btu-h-indoor-wall-hung-residential-commercial-nfb-301c,10162.50,243.0,243.0,registrado acima do seco: nao conclui
NAVI-NFB-399C,navien-high-efficiency-condensing-heating-boiler-max-htg-input-399-000-btu-h-indoor-wall-hung-residential-commercial-nfb-399c,12300.00,278.0,278.0,registrado acima do seco: nao conclui
NAVI-NFC-250/175H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-175-000-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-175h,4725.00,141.0,141.0,registrado acima do seco: nao conclui
NAVI-NFC-250/200H,navien-high-efficiency-condensing-combi-boiler-max-htg-input-199-900-btu-h-max-dhw-input-210-000-btu-h-indoor-wall-hung-residential-commercial-nfc-250-200h,4957.50,141.0,141.0,registrado acima do seco: nao conclui
NAVI-NHB-110H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-110-000-btu-h-indoor-wall-hung-residential-commercial,3277.50,80.0,80.0,registrado acima do seco: nao conclui
NAVI-NHB-150H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-150-000-btu-h-indoor-wall-hung-residential-commercial-nhb-150,3540.00,80.0,80.0,registrado acima do seco: nao conclui
NAVI-NHW700-160SU-NG,navien-nhw-su-160-000-btu-compact-tankless-water-heaters-work-great-inside-and-outside-natural-gas,1087.50,60.0,60.0,registrado acima do seco: nao conclui
NAVI-NPE-150S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-120-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-150s2,1740.00,62.0,62.0,registrado acima do seco: nao conclui
NAVI-NPE-180A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-180a2,2325.00,73.0,73.0,registrado acima do seco: nao conclui
NAVI-NPE-180S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-180s2,1972.50,68.0,68.0,registrado acima do seco: nao conclui
NAVI-NPE-210A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-210a2,2617.50,77.0,77.0,registrado acima do seco: nao conclui
NAVI-NPE-210S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-150-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-210s2,2167.50,73.0,73.0,registrado acima do seco: nao conclui
NAVI-NPE-240A2,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-comfortflow-technology-npe-240a2,2910.00,77.0,77.0,registrado acima do seco: nao conclui
NAVI-NPE-240S2-NG/LP,navien-high-efficiency-condensing-tankless-water-heater-max-input-199-900-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npe-240s2,2385.00,73.0,73.0,registrado acima do seco: nao conclui
NAVI-NPN-160U-LP,navien-mid-efficiency-tankless-water-heater-max-dhw-input-160-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npn-160u-lp,1005.00,55.0,55.0,registrado acima do seco: nao conclui
NAVI-NPN-180E-LP,navien-mid-efficiency-tankless-water-heater-max-dhw-input-180-000-btu-h-exterior-only-wall-hung-residential-commercial-npn-180e-lp,1155.00,60.0,60.0,registrado acima do seco: nao conclui
NAVI-NPN-180U-LP,navien-mid-efficiency-tankless-water-heater-max-dhw-input-180-000-btu-h-indoor-or-outdoor-wall-hung-residential-commercial-npn-180u-lp,1155.00,60.0,60.0,registrado acima do seco: nao conclui
NAVI-NHB-55H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-55-000-btu-h-indoor-wall-hung-residential-commercial,2767.50,80.0,73.0,registrado acima do seco: nao conclui
NAVI-NHB-80H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-80-000-btu-h-indoor-wall-hung,3030.00,80.0,73.0,registrado acima do seco: nao conclui
