ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
Charlotte Pipe,0.52,132,9,124,473.33,13478.57,CHEM-200-TRANS-CPL | CHEM-800-ST45 | CHEM-600-LTTY | PVCF-400-MA-SCH80
Viega,0.17,116,6,110,262.74,3164.69,VEGA-98203 | VEGA-98202 | VEGA-98201 | VEGA-49286
Milwaukee Tools,0.73,117,15,103,6000.12,59677.89,MILW-49-16-2697X | MILW-MXF301-2CP | MILW-49-16-2690X | MILW-49-16-2683
Viega,0.8,113,13,96,713.69,12014.84,VEGA-20795 | VEGA-20863 | VEGA-20829 | VEGA-20798
MrPEX Systems,0.05,95,5,91,258.33,2893.73,MPEX-4822020 | MPEX-4832020 | MPEX-4852020 | MPEX-4842020
Legend Valve,0.6,183,10,88,260.2,4704.5,LEGE-301-120NL | LEGE-301-119NL | LEGE-314-255NL | BRIF-250-UNI-NL
HeatLink,0.05,92,5,87,192.56,1954.62,HLNK-EX27554NL | HLNK-EX27641NL | HLNK-EX16666 | HLNK-EX16664
Tyler Pipe Company,0.34,85,5,85,2163.06,52932.74,GVLF-485-200-E-316 | GVLF-469-200-E-316 | GVLF-485-150-E-316 | GVLF-478-200-E-316
MaxiPro,0.52,72,8,72,75.99,3075.06,MAXI-118-TEE | MAXI-MPA5285G0060601 | MAXI-118.078-CPL | MAXI-100-TEE
SharkBite,0.33,80,8,71,523.34,2817.37,SHAR-PVA35M-DUSB-60 | SHAR-PVA20M-DSB-60 | SHAR-UXLBV35 | SHAR-PROD3810
Viega,0.95,61,7,61,792.38,23076.35,VEGA-28720 | VEGA-28710 | VEGA-28670 | VEGA-28690
Moen,1.0,57,4,55,1182.6,16882.26,MOEN-S664NL | MOEN-S665BL | MOEN-UT3693EPBN | MOEN-UTS344301BN
Diablo,0.73,66,18,50,149.09,2695.48,DIAB-D1484X | DIAB-DHS4625CTR | DIAB-D1280X | DIAB-DOS5S
Hansgrohe,5.0,57,4,49,1006.2,24297.3,HGRO-04824670 | HGRO-72800251 | HGRO-72800671 | HGRO-72800801
Resideo,0.5,46,4,46,795.16,4921.49,HONE-DS06-105-DUT-LF/U | HONE-DS06-104-DUT-LF/U | HONE-YTH5320R1000/U | HONE-TH8321WF1001/U
Resideo,0.2,48,14,44,340.89,3265.63,HONE-Y8610U4001/U | HONE-S87C1030/U | HONE-S8910U3000/U | HONE-Q3400A1032/U
Diablo,0.35,42,8,42,231.87,3011.37,DIAB-DS0910CF10 | DIAB-DS0908CF10 | DIAB-DS0610CF10 | DIAB-DS0909CGP10
Pasco,0.33,58,18,42,116.01,1603.43,PASC-4819 | PASC-4654 | PASC-8AH | PASC-4818
Legend Valve,0.3,44,8,42,96.85,965.28,SSTF-150-UNI-316 | SSTF-150-TEE-316 | SSTF-075-CRS-316 | LEGE-312-008NL
Legend Valve,0.06,41,8,41,112.84,573.43,LEGE-450-868P | LEGE-450-867P | LEGE-450-866P | LEGE-460-806NL
Grohe,5.0,48,9,38,1132.23,17408.54,GROH-30.295GN0 | GROH-30.2952430 | GROH-29.1362430 | GROH-30.271GN0
Moen,5.0,44,7,36,919.28,14725.31,MOEN-7565EWSRS | MOEN-3887EPBL | MOEN-TS93003 | MOEN-S43001BL
