sku,titulo,perfil,preco_usd,peso_real_lb,volume_pol3,peso_dimensional_lb,lb_extra_faturado,razao_dim_real,acao
IBCT-IWT119-MAX,IBC 030-026 IWT-119 - 113 Gallon Stainless Steel Indirect Water Maker,Standard,5277.77,290.0,202752,1458.65,1168.65,5.0,revisar cotacao
ELKA-LZWS-LRPBM8K,Elkay LZWS-LRPBM8K ezH2O Bottle Filling Station with Integral SwirlFlo Fountain Refrigerated Filtered Refrigerated Stainless,General,8178.57,2.0,144781.0,1041.59,1039.59,520.8,mover p/ Freight ou Standard
ROHL-AL3220AF100,"Rohl AL3220AF100 Allia™ 32"" Fireclay Single Bowl Farmhouse Apron Front Kitchen Sink in White",Standard,1704.3,22.0,138656.0,997.53,975.53,45.3,revisar cotacao
NHSF-400-LTTY,"Tyler Pipe 008835 4"" x 4"" x 4"", NH x NH x NH, Gray, Cast Iron, Straight, Combination",Standard,118.26,14.5,45555.0,327.74,313.24,22.6,revisar cotacao
ELKA-LRPBD28WSC,Elkay LRPBD28WSC Fountain/Bottle Filler Only for LZWS-LRPBM28K,General,8166.69,2.0,43381.0,312.09,310.09,156.0,mover p/ Freight ou Standard
NHSF-400-LS1/4,"Tyler Pipe 007210 4"" x 4"", NH x NH, Gray, Cast Iron DWV, Sanitary, Long Sweep, Straight, 1/4 Bend",Standard,112.32,13.4,43501.0,312.95,299.55,23.4,revisar cotacao
LIBE-SP1822B,"Liberty Pumps SP1822B Sump Pit, 18"" x 22"" injection molded with 4"" rubber grommet",Standard,64.7,13.0,38880.0,279.71,266.71,21.5,revisar cotacao
NHSF-400.300-LTTY,"Tyler Pipe 008828 4"" x 4"" x 3"", NH x NH x NH, Gray, Cast Iron, Reducing, Combination",Standard,90.18,10.6,34857.0,250.77,240.17,23.7,revisar cotacao
NHSF-400-SANT,"Tyler Pipe 007630 4"" x 4"" x 4"", NH x NH x NH, Gray, Cast Iron, Sanitary, Straight, Tee",Standard,86.11,9.6,33157.0,238.54,228.94,24.8,revisar cotacao
NHSF-300-PTR,"Tyler Pipe 010135 3"" x 3"", NH x NH, Cast Iron DWV, Straight, P-Trap",Standard,85.34,9.7,32944.0,237.01,227.31,24.4,revisar cotacao
