Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
1-2-wall-mount-expansion-tank-bracket-hydronic,UPDATE,UPDATE,DUTC-97975,1.0,lb
mid-town-12-5-showerarm-w-escutcheon-brushed-nickel,UPDATE,UPDATE,GERB-D481162BN,1.0,lb
parma-deck-mount-soap-lotion-dispenser-brushed-bronze,UPDATE,UPDATE,GERB-D495958BB,1.0,lb
amalfi-1h-trim-kit-for-diverter-valves-chrome,UPDATE,UPDATE,GERB-D560930T,1.0,lb
9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,UPDATE,UPDATE,NAVI-NPF700-060U3BH,2.19,lb
14-100k-btu-condensing-hydro-furnace-horizontal-unit,UPDATE,UPDATE,NAVI-NPF700-100H5CH,2.19,lb
14-100k-btu-condensing-hydro-furnace-upflow-unit,UPDATE,UPDATE,NAVI-NPF700-100U5CH,2.19,lb
aquatrol-zoning-panel-for-4-zone-2-wire-valves-24-vac-used-for-hydronic-zoning-systems,UPDATE,UPDATE,HONE-AQ25742B/U,3.63,lb
3-4-in-water-filter,UPDATE,UPDATE,HONE-F76S1015,1.44,lb
1-1-4-in-npt-mixing-valve-lf,UPDATE,UPDATE,HONE-MX128LF/U,6.0,lb
combination-boiler-feed-valve-with-union-press-fitting-connections,UPDATE,UPDATE,HONE-NK300S-100UP,3.5,lb
3-4-in-npt-connection-supervent-air-eliminator,UPDATE,UPDATE,HONE-PV075/U,1.9,lb
1-in-npt-connection-supervent-air-eliminator,UPDATE,UPDATE,HONE-PV100/U,2.0,lb
1-inch-supervent-air-eliminator-with-a-1-inch-propress-connections-and-22-cv-capacity,UPDATE,UPDATE,HONE-PV100P/U,2.5,lb
1-in-sweat-connection-supervent-air-eliminator,UPDATE,UPDATE,HONE-PV100S/U,2.5,lb
1-1-4-in-supervent-air-eliminator-with-a-1-in-pro-press-connection,UPDATE,UPDATE,HONE-PV125P/U,2.5,lb
1-1-2-press-supervent-air-eliminator,UPDATE,UPDATE,HONE-PV150P/U,2.5,lb
tk30-boiler-trim-kit-with-1-press-supervent-press-nk300s-combo,UPDATE,UPDATE,HONE-TK30PV100PNKP/U,2.19,lb
tk30-boiler-trim-kit-with-1-sweat-supervent-fm911-combo,UPDATE,UPDATE,HONE-TK30PV100SFM/U,2.19,lb
tk30-boiler-trim-kit-with-1-sweat-supervent-nk300s-combo,UPDATE,UPDATE,HONE-TK30PV100SNK/U,2.19,lb
tk30-boiler-trim-kit-with-1-25-npt-supervent-fm911-combo,UPDATE,UPDATE,HONE-TK30PV125FM/U,2.19,lb
tk30-boiler-trim-kit-with-1-25-press-supervent-press-nk300s-combo,UPDATE,UPDATE,HONE-TK30PV125PNKP/U,2.19,lb
tk30-boiler-trim-kit-with-1-25-sweat-supervent-fm911-combo,UPDATE,UPDATE,HONE-TK30PV125SFM/U,2.19,lb
tk30-boiler-trim-kit-with-1-25-sweat-supervent-nk300s-combo,UPDATE,UPDATE,HONE-TK30PV125SNK/U,2.19,lb
2-position-low-volt-actuator-for-vc-series-valve,UPDATE,UPDATE,HONE-VC2114ZZ11/U,0.6,lb
2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,UPDATE,UPDATE,HONE-VC2714ZZ11/U,0.6,lb
vc-actuator-2-position-spst-100-130-vac,UPDATE,UPDATE,HONE-VC4011ZZ11/U,0.6,lb
vc-modulating-actuator-0-2-10-vdc-24-vac,UPDATE,UPDATE,HONE-VC7934ZZ11/U,0.6,lb
2-position-low-volt-actuator-for-vc-series-with-end-switch,UPDATE,UPDATE,HONE-VC8711ZZ11/U,0.6,lb
2-position-low-volt-actuator-for-vc-series-with-end-switch-hone-vc8714zz11-u,UPDATE,UPDATE,HONE-VC8714ZZ11/U,0.6,lb
