sku,handle,inventory_item_id,peso_ANTES_lb,peso_DEPOIS_lb
DUTC-97975,1-2-wall-mount-expansion-tank-bracket-hydronic,gid://shopify/InventoryItem/46462754750567,1,2.0
GERB-D481162BN,mid-town-12-5-showerarm-w-escutcheon-brushed-nickel,gid://shopify/InventoryItem/46462774345831,1,1.5
GERB-D495958BB,parma-deck-mount-soap-lotion-dispenser-brushed-bronze,gid://shopify/InventoryItem/46462774771815,1,1.1
GERB-D560930T,amalfi-1h-trim-kit-for-diverter-valves-chrome,gid://shopify/InventoryItem/46462775099495,1,1.3
NAVI-NPF700-060U3BH,9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,gid://shopify/InventoryItem/46463253381223,2.19,145.0
NAVI-NPF700-100H5CH,14-100k-btu-condensing-hydro-furnace-horizontal-unit,gid://shopify/InventoryItem/46463253413991,2.19,167.6
NAVI-NPF700-100U5CH,14-100k-btu-condensing-hydro-furnace-upflow-unit,gid://shopify/InventoryItem/46463253446759,2.19,167.6
HONE-AQ25742B/U,aquatrol-zoning-panel-for-4-zone-2-wire-valves-24-vac-used-for-hydronic-zoning-systems,gid://shopify/InventoryItem/46463364694119,3.63,3.9
HONE-F76S1015,3-4-in-water-filter,gid://shopify/InventoryItem/46463373213799,1.44,6.4
HONE-MX128LF/U,1-1-4-in-npt-mixing-valve-lf,gid://shopify/InventoryItem/46463380619367,6,6.4
HONE-VC2114ZZ11/U,2-position-low-volt-actuator-for-vc-series-valve,gid://shopify/InventoryItem/46463392874599,0.6,0.75
HONE-VC2714ZZ11/U,2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,gid://shopify/InventoryItem/46463392907367,0.6,0.84
HONE-VC4011ZZ11/U,vc-actuator-2-position-spst-100-130-vac,gid://shopify/InventoryItem/46463392940135,0.6,0.73
HONE-VC7934ZZ11/U,vc-modulating-actuator-0-2-10-vdc-24-vac,gid://shopify/InventoryItem/46463393005671,0.6,0.77
HONE-VC8711ZZ11/U,2-position-low-volt-actuator-for-vc-series-with-end-switch,gid://shopify/InventoryItem/46463393136743,0.6,0.84
HONE-VC8714ZZ11/U,2-position-low-volt-actuator-for-vc-series-with-end-switch-hone-vc8714zz11-u,gid://shopify/InventoryItem/46463393169511,0.6,0.84
