sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
BOSC-BP048-1-VTC-FRT-TDBD,Bosch,Wall Mount Head Units,17245.5,2.0,8622.8,581.17,4-ton-water-to-air-unit,44350356029543,7715252797543
GVLF-AE7722-3-1000,Gruvlok,Gruvlok Fittings,12536.91,0.52,24109.4,422.49,10-grvd-bfv-e-grade-disc-expy-ctd-g-o,44350753669223,7715451928679
GVLF-AE7722-3-800,Gruvlok,Gruvlok Fittings,9451.77,0.52,18176.5,318.52,8-grvd-bfv-e-grade-disc-expy-ctd-g-o,44350753701991,7715451961447
GVLF-A7072SS-600.250-304,Gruvlok,Gruvlok Fittings,8982.48,0.52,17274.0,302.71,6-x-2-1-2-concentric-reducer-304-stainless-steel-gr-x-gr,44350752850023,7715451207783
MIDE-MHA-V16WD2MN8-B2,Midea,Heat Pumps,8164.41,2.19,3728.0,275.14,midea-m-thermal-split-air-to-water-heat-pump-outdoor-unit,44350908596327,7715530506343
MIDE-HB-A160CMDM30GN8-B2,Midea,Heat Pumps,6835.32,2.19,3121.2,230.35,midea-m-thermal-split-air-to-water-heat-pump-indoor-unit,44350908563559,7715530473575
GVLF-AE7721-3-600,Gruvlok,Gruvlok Fittings,6004.12,0.52,11546.4,202.34,6-grvd-bfv-e-grade-disc-epoxy-coated,44350753636455,7715451895911
MILW-49-16-2697X,Milwaukee Tools,Press Jaw Kits,6000.12,0.73,8219.3,202.2,1-2-2-ips-p-pivoting-press-ring-kit-for-m18-force-logic-press-tools,44350938677351,7715555672167
BURN-X-PV4N-T02,US Boiler,Cast Iron Gas Boilers,5865.28,2.19,2678.2,197.66,x-pv-series-105-000-btu-input-cast-iron-sectonal-power-vented-boiler-84-efficient-includes-grundfos-pump-elevation-range-0-2-000,44353436549223,7716786602087
MILW-MXF301-2CP,Milwaukee Tools,Core Drills (MX),5562.51,0.73,7619.9,187.46,mx-fuel-handheld-core-drill-kit,44350948081767,7715561865319
ENVI-EWS-SPECTRUM-V2,Environmental Water Systems,Water Filters,5029.02,1.44,3492.4,169.48,whole-home-filter-system,44350696685671,7715412443239
MILW-49-16-2690X,Milwaukee Tools,Press XL Jaw Kits,5000.13,0.73,6849.5,168.5,2-1-2-4-cts-v-pivoting-press-ring-kit-for-m18-force-logic-press-tools,44350938611815,7715555606631
MILW-49-16-2683,Milwaukee Tools,Press Jaw Kits,5000.1,0.73,6849.5,168.5,1-2-2-ips-p-jaw-and-pivoting-ring-kit-for-m18-force-logic-press-tools,44350938546279,7715555573863
