sku,title,ven,price,lb,free,motivo,pid
MILW-3154-20,Milwaukee Tools 3154-20 M12™ 75' Drain Camera w/ PACKOUT™ Compatibility,Milwaukee Tools,2141.12,0.73,True,75 ft a 0.73 lb,gid://shopify/Product/7715537322087
POLY-200-250/300,"Centennial Plastics FL472000200-200 2"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,1467.0,0.94,True,300 ft a 0.94 lb,gid://shopify/Product/7715279994983
WATT-0792024,"Watts 0792024 1/2"" Lead Free Spill-Resistant Anti-Siphon Vacuum Breaker Backflow Preventer, Quarter Turn Shutoff, Polymer Coating",Watts,1405.9,0.48,True,quart a 0.48 lb,gid://shopify/Product/7716835786855
HDPE-GASH0110200250,"Centennial Plastics GASH01102000250 2"" x 250' Gas Pipe - HDPE 4710 - SDR 11 CenGas",Centennial Plastics,1275.0,0.63,True,250 ft a 0.63 lb,gid://shopify/Product/7715279470695
MDPE-1002278,"Centennial Plastics GASM0110200-250 2"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,1070.0,0.63,True,250 ft a 0.63 lb,gid://shopify/Product/7715279568999
CALA-GMP4,Calefactio GMP4 Glycol Make-Up Package 4-Gallon,CALEFACTIO,959.61,3.5,True,gallon a 3.5 lb,gid://shopify/Product/7715270230119
MPEX-1330040,"MrPEX Systems ® 5/8"" x 400' PEX-AL-PEX Tubing Silver 1330040",MrPEX Systems,937.85,0.94,True,400 ft a 0.94 lb,gid://shopify/Product/7715597451367
POLY-150-250/300,"Centennial Plastics FL472000150-300 1-1/2"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,891.0,0.57,True,300 ft a 0.57 lb,gid://shopify/Product/7715279929447
ELKA-ELGDULB3322WH0,"Elkay ELGDULB3322WH0 Quartz Classic 33"" x 19"" x 10"" Equal Double Bowl Undermount Sink with Aqua Divide White",Elkay,726.03,1.0,True,quart a 1.0 lb,gid://shopify/Product/7715408969831
POLY-125-250/300,"Centennial Plastics FL472000125-300 1-1/4"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,651.0,0.42,True,300 ft a 0.42 lb,gid://shopify/Product/7715279863911
HDPE-600,"Centennial Plastics FS470170600-20 6"" x 20' HDPE Geothermal Pipe - 160 PSI - SDR 17 CenFuse",Centennial Plastics,626.0,0.22,False,20 ft a 0.22 lb,gid://shopify/Product/7715279405159
MDPE-GASM01001250250,"Centennial Plastics GASM0100125-250 1-1/4"" x 250' Poly Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,592.5,0.33,True,250 ft a 0.33 lb,gid://shopify/Product/7715279634535
RHEE-SP9051B,"Rheem SP9051B Convertible, Single Gas Control Thermostat for Direct Vent 30/40/50 Gallon Residential Water Heater",Rheem Manufacturing,509.12,3.0,True,gallon a 3.0 lb,gid://shopify/Product/7715762503783
POLY-200-250/100,"Centennial Plastics FL472000200-100 2"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,489.0,0.94,True,100 ft a 0.94 lb,gid://shopify/Product/7715279962215
GNES-10700108,Southwire 10700108 14/4 Stranded THHN 600V Wire 250' Black,Southwire,487.39,2.19,True,250 ft a 2.19 lb,gid://shopify/Product/7716726308967
POLY-100-250/300,"Centennial Plastics FL472500100-300 1"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,378.0,0.24,True,300 ft a 0.24 lb,gid://shopify/Product/7715279765607
MDPE-1031252,"Centennial Plastics GASM0110100-250 1"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,337.5,0.19,True,250 ft a 0.19 lb,gid://shopify/Product/7715279601767
POLY-150-250/100,"Centennial Plastics FL472000150-100 1-1/2"" x 100' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,297.0,0.57,True,100 ft a 0.57 lb,gid://shopify/Product/7715279896679
HDPE-400,"Centennial Plastics FS470170400-20 4"" x 20' HDPE Geothermal Pipe - 160 PSI - SDR 17 CenFuse",Centennial Plastics,289.0,0.22,False,20 ft a 0.22 lb,gid://shopify/Product/7715279306855
