sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
BOSC-BP048-1-VTC-FRT-TDBD,Bosch,Wall Mount Head Units,17245.5,2.0,8622.8,581.17,4-ton-water-to-air-unit,44350356029543,7715252797543
GVLF-AE7722-3-1000,Gruvlok,Gruvlok Fittings,12536.91,0.52,24109.4,422.49,10-grvd-bfv-e-grade-disc-expy-ctd-g-o,44350753669223,7715451928679
GVLF-AE7722-3-800,Gruvlok,Gruvlok Fittings,9451.77,0.52,18176.5,318.52,8-grvd-bfv-e-grade-disc-expy-ctd-g-o,44350753701991,7715451961447
GVLF-A7072SS-600.250-304,Gruvlok,Gruvlok Fittings,8982.48,0.52,17274.0,302.71,6-x-2-1-2-concentric-reducer-304-stainless-steel-gr-x-gr,44350752850023,7715451207783
GVLF-621-600.250,Gruvlok,Gruvlok Copper Fittings,8867.03,11.5,771.0,298.82,6-x-2-1-2-tee-reducing-copper-gr,44350734565479,7715439968359
MIDE-MHA-V16WD2MN8-B2,Midea,Heat Pumps,8164.41,2.19,3728.0,275.14,midea-m-thermal-split-air-to-water-heat-pump-outdoor-unit,44350908596327,7715530506343
BOSC-BMS500-AAM048-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),8051.15,7.0,1150.2,271.32,4-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-48-000-btu-r454b-208-230v,44350354489447,7715252109415
BOSC-BMS500-AAM036-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),7165.65,7.0,1023.7,241.48,3-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-36-000-btu-r454b-208-230v,44350353440871,7715251945575
MIDE-HB-A160CMDM30GN8-B2,Midea,Heat Pumps,6835.32,2.19,3121.2,230.35,midea-m-thermal-split-air-to-water-heat-pump-indoor-unit,44350908563559,7715530473575
MILW-2922-22M,Milwaukee Tools,Press Tools and Kits,6712.99,6.31,1063.9,226.23,m18-force-logic-press-tool-kit-w-one-key-with-1-4-7-8-streamline-acr-jaws,44350915706983,7715536765031
GVLF-619-600,Gruvlok,Gruvlok Copper Fittings,6261.72,24.8,252.5,211.02,6-tee-copper-gr-x-gr-x-gr,44350734172263,7715439640679
BOSC-BMS500-AAM048-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),6170.78,7.0,881.5,207.96,4-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-48-000-btu-r454b-208-230v,44350354522215,7715252142183
