ID,Handle,Variant SKU,Variant Weight,Variant Weight Unit
7715753164903,rheem-30-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block-short,RHEE-ELDS30-FTB-208,350.0,lb
7715737665639,advanced-electrode-humidifier-valve-kit,HONE-HM750AVKIT/U,7.0,lb
7715737567335,advanced-electrode-humidifier-replacement-cylinder,HONE-HM750ACYL/U,7.0,lb
7715737632871,advanced-electrode-humidifier-replacement-pc-board,HONE-HM750APCB/U,7.0,lb
7715739762791,foot-mounted-actuator,HONE-M847A1072/U,7.0,lb
7715421421671,logan-square-s-rim-lav-23-63x18-13-4cc-white,GERB-12-875,31.0,lb
7715271016551,8-gallon-expansion-tank-hydronic-heating,CALA-HGT60,10.0,lb
7715249356903,3-in-1-disposal-flange,BLAN-441232,3.0,lb
7715249324135,3-in-1-basket-strainer,BLAN-441231,3.0,lb
7716848107623,975xl-complete-rubber-repair-kit-compatible-with-the-1-1-4-2-model-975xl-and-975xl2,WILK-RK114-975XLR,2.9,lb
7716848304231,3-4-1-model-975xl-xl2-rubber-repair-kit,WILK-RK34-975XLR,2.9,lb
7715744514151,1-4-in-npt-connection-tridicator-with-1-21-32-in,HONE-TD-090/U,2.19,lb
7715744579687,1-2-in-npt-connection-tridicator-with-29-32-in-stem,HONE-TDV-040/U,2.19,lb
7716847878247,1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,WILK-AG-12,2.0,lb
7715743039591,electromechanical-relay-without-transformer,HONE-RC840/U,1.5,lb
7715743072359,electromechanical-relay-with-24-v-to-120-v-transformer,HONE-RC840T-120/U,1.5,lb
7716847845479,1-2-1-air-gap-fitting-compatible-with-model-375-375xl,WILK-AG-11,1.0,lb
7715425550439,push-pull-showerarm-diverter-chrome,GERB-D481350,1.0,lb
7715425583207,push-pull-showerarm-diverter-brushed-nickel,GERB-D481350BN,1.0,lb
7716848140391,rubber-and-springs-repair-kit-compatible-with-the-1-4-1-2-model-975xl-and-975xl2-and-3-8-1-2-975xlst,WILK-RK14-975XL,0.6,lb
7716848173159,1-4-1-2-975xl-xl2-complete-poppets-springs-and-seats-repair-kit,WILK-RK14-975XLC,0.6,lb
7716848238695,3-4-1-model-950xl-standard-repair-kit,WILK-RK34-950XL,0.6,lb
7715425222759,6-showerarm-w-escutcheon-chrome,GERB-D481136,0.5,lb
7715425288295,6-showerarm-w-escutcheon-brushed-bronze,GERB-D481136BB,0.5,lb
7715248767079,color-coordinated-metal-waste-flange-truffle,BLAN-240332,0.5,lb
