sku,handle,preco,peso_registrado,peso_metafield,diferenca,fonte
RHEE-ELDS30-FTB-208,rheem-30-gallon-6-kw-208-v-light-duty-commercial-electric-water-heater-with-fused-terminal-block-short,3697.68,350.0,105.0,245.0,Weight (typo Lbe)
RHEE-G100-80-NG,rheem-100-gallon-80-000-btu-h-medium-duty-commercial-natural-gas-water-heater,6787.14,480.0,410.0,70.0,Weight
BLAN-441398,stellar-single-bowl-laundry-sink,725.70,35.5,13.0,22.5,Weight
GERB-28-990,maxwell-1-28gpf-tank-12-rough-in-white,65.62,56.3,34.1,22.2,Weight
BLAN-401927,liven-dual-mount-laundry-sink-white,620.29,48.9,34.48,14.42,Weight
BLAN-440213,diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-caf,587.87,51.6,39.0,12.6,Weight
BLAN-440218,diamond-equal-double-dual-mount-kitchen-sink-caf,563.53,51.6,41.0,10.6,Weight
BLAN-440150,precis-super-single-bowl-kitchen-sink-white,652.72,43.2,33.5,9.7,Weight
BLAN-441469,diamond-1-3-4-double-bowl-kitchen-sink-cinder,587.87,45.0,36.0,9.0,Weight
GERB-12-875,logan-square-s-rim-lav-23-63x18-13-4cc-white,240.00,31.0,23.5,7.5,Weight
NAVI-NHB-55H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-55-000-btu-h-indoor-wall-hung-residential-commercial,2767.50,80.0,73.0,7.0,Boiler weight
NAVI-NHB-80H,navien-high-efficiency-condensing-heating-boiler-max-htg-input-80-000-btu-h-indoor-wall-hung,3030.00,80.0,73.0,7.0,Boiler weight
BLAN-440194,diamond-super-single-dual-mount-kitchen-sink-anthracite,662.87,45.0,38.7,6.3,Weight
BLAN-441287,diamond-super-single-dual-mount-kitchen-sink-truffle,662.87,45.0,38.7,6.3,Weight
BLAN-441467,diamond-super-single-dual-mount-kitchen-sink-cinder,662.87,45.0,38.7,6.3,Weight
HONE-HM750AVKIT/U,advanced-electrode-humidifier-valve-kit,223.88,7.0,0.76,6.24,Weight (lb)
BLAN-440215,diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-anthracite,587.87,45.0,39.0,6.0,Weight
BLAN-441283,diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-truffle,587.87,45.0,39.0,6.0,Weight
BLAN-441465,diamond-1-3-4-double-bowl-dual-mount-kitchen-sink-cinder,587.87,45.0,39.0,6.0,Weight
BLAN-441611,valea-super-single-bowl-kitchen-sink-cinder,696.60,43.7,38.0,5.7,Weight
HONE-HM750ACYL/U,advanced-electrode-humidifier-replacement-cylinder,105.05,7.0,1.562,5.44,Weight (lb)
HONE-HM750APCB/U,advanced-electrode-humidifier-replacement-pc-board,610.89,7.0,1.7,5.3,Weight (lb)
HONE-M847A1072/U,foot-mounted-actuator,146.56,7.0,1.75,5.25,Weight (lb)
GERB-12-654,monticello-ii-wall-hung-lav-20x18-4cc-white,121.88,37.0,32.4,4.6,Weight
GERB-12-314,plymouth-wall-hung-lav-19x17-4cc-white,90.00,33.0,28.9,4.1,Weight
BLAN-440219,diamond-equal-double-dual-mount-kitchen-sink-metallic-gray,507.79,45.0,41.0,4.0,Weight
BLAN-440220,diamond-equal-double-dual-mount-kitchen-sink-anthracite,563.53,45.0,41.0,4.0,Weight
BLAN-441285,diamond-equal-double-dual-mount-kitchen-sink-truffle,563.53,45.0,41.0,4.0,Weight
BLAN-441466,diamond-equal-double-dual-mount-kitchen-sink-cinder,563.53,45.0,41.0,4.0,Weight
CALA-HGT60,8-gallon-expansion-tank-hydronic-heating,174.91,10.0,6.0,4.0,Weight
GERB-13-898,wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-8cc-white,177.19,28.7,24.9,3.8,Weight
GERB-12-760,logan-square-standard-undercounter-lav-20-75x17-38-white,199.69,26.5,23.4,3.1,Weight
GERB-13-892,wicker-park-countertop-lavatory-20-7-8x17-3-4-rectangle-with-u-shaped-basin-low-profile-single-hole-white,185.62,28.0,24.9,3.1,Weight
BLAN-440209,diamond-single-bowl-dual-mount-kitchen-sink-metallic-gray,375.01,30.0,27.0,3.0,Weight
BLAN-441232,3-in-1-disposal-flange,222.00,3.0,0.4,2.6,Weight
BLAN-441231,3-in-1-basket-strainer,222.00,3.0,0.5,2.5,Weight
BLAN-516319,precis-equal-double-bowl-kitchen-sink-metallic-gray,699.35,32.5,30.0,2.5,Weight
HONE-PV125S/U,1-1-4-supervent-air-eliminator-sweat,257.46,6.0,3.5,2.5,Weight (lb)
WILK-RK114-975XLR,975xl-complete-rubber-repair-kit-compatible-with-the-1-1-4-2-model-975xl-and-975xl2,143.18,2.9,0.6,2.3,Weight
WILK-RK34-975XLR,3-4-1-model-975xl-xl2-rubber-repair-kit,76.48,2.9,0.6,2.3,Weight
RHEE-RTGH-84DVLN-2,rheem-157-000-btu-h-rtgh-series-super-high-efficiency-condensing-tankless-natural-gas-water-heater-for-indoor-installation,1552.92,84.0,82.0,2.0,Weight
HONE-TD-090/U,1-4-in-npt-connection-tridicator-with-1-21-32-in,33.12,2.19,0.3,1.89,Weight (lb)
HONE-TDV-040/U,1-2-in-npt-connection-tridicator-with-29-32-in-stem,45.64,2.19,0.4,1.79,Weight (lb)
GERB-12-834-CH,maxwell-s-rim-lav-20x17oval-4cc-in-trapezoid-carton-white,52.50,20.0,18.4,1.6,Weight
WILK-AG-12,1-1-4-2-air-gap-fitting-compatible-with-model-375-375xl,177.27,2.0,0.8,1.2,Weight
HONE-RC840/U,electromechanical-relay-without-transformer,60.02,1.5,0.438,1.06,Weight (oz)
GERB-12-831-CH,maxwell-s-rim-lav-20x17oval-1-hole-in-trapezoid-carton-white,52.50,20.0,19.0,1.0,Weight
HONE-MX127LF/U,1-in-npt-mixing-valve-lf,895.29,4.4,3.6,0.8,Weight (lb)
HONE-RC840T-120/U,electromechanical-relay-with-24-v-to-120-v-transformer,91.98,1.5,0.719,0.78,Weight (oz)
HONE-AQ25744B/U,aquatrol-zoning-control-for-4-zones-of-4-wire-valves-with-end-switches-24-vac-used-for-hydronic-zoning-systems,387.08,4.6,3.9,0.7,Weight (lb)
GERB-12-780,luxoval-undercounter-lav-19-25x15-75-white,80.62,20.0,19.5,0.5,Weight
WILK-AG-11,1-2-1-air-gap-fitting-compatible-with-model-375-375xl,132.47,1.0,0.5,0.5,Weight
GERB-40-545W,maxwell-se-1h-pull-out-kitchen-faucet-w-washerless-cartridge-1-75gpm-chrome,75.00,5.0,4.6,0.4,Weight
GERB-D481350,push-pull-showerarm-diverter-chrome,49.41,1.0,0.6,0.4,Weight
GERB-D481350BN,push-pull-showerarm-diverter-brushed-nickel,62.37,1.0,0.6,0.4,Weight
WILK-RK14-975XL,rubber-and-springs-repair-kit-compatible-with-the-1-4-1-2-model-975xl-and-975xl2-and-3-8-1-2-975xlst,84.73,0.6,0.3,0.3,Weight
WILK-RK14-975XLC,1-4-1-2-975xl-xl2-complete-poppets-springs-and-seats-repair-kit,213.31,0.6,0.3,0.3,Weight
WILK-RK34-950XL,3-4-1-model-950xl-standard-repair-kit,74.03,0.6,0.3,0.3,Weight
GERB-D481027BN,15-right-angle-showerarm-w-escutcheon-brushed-nickel,62.37,1.09,0.8,0.29,Weight
WILK-34-70XL,3-4-70xl-pressure-reducing-valve,327.27,3.0,2.75,0.25,Weight
GERB-D481116,13-s-shaped-showerarm-w-escutcheon-chrome,71.28,1.64,1.4,0.24,Weight
GERB-D150558SS,parma-1h-bar-faucet-w-side-mount-handle-1-75gpm-stainless-steel,354.78,5.0,4.8,0.2,Weight
HONE-PV075S/U,3-4-in-sweat-connection-supervent-air-eliminator,147.59,2.2,2.0,0.2,Weight (lb)
GERB-D481136,6-showerarm-w-escutcheon-chrome,22.68,0.5,0.3,0.2,Weight
GERB-D481136BB,6-showerarm-w-escutcheon-brushed-bronze,30.78,0.5,0.3,0.2,Weight
GERB-D481027,15-right-angle-showerarm-w-escutcheon-chrome,47.79,1.09,0.9,0.19,Weight
WILK-1-NR3XL,1-in-nr3xl-pressure-reducing-valve-single-union-fnpt-connection,235.71,2.4,2.25,0.15,Weight
BLAN-240332,color-coordinated-metal-waste-flange-truffle,252.00,0.5,0.38,0.12,Weight
GERB-D606225BN,5-1-2-wall-mount-tub-spout-with-diverter-brushed-nickel,56.70,1.11,1.0,0.11,Weight
HONE-PV125/U,1-1-4-in-npt-connection-supervent-air-eliminator,258.70,3.6,3.5,0.1,Weight (lb)
GERB-D481136BN,6-showerarm-w-escutcheon-brushed-nickel,30.78,0.5,0.4,0.1,Weight
HONE-RC840T-240/U,electromechanical-heating-relay-with-208-240v-transformer,90.00,0.8,0.719,0.08,Weight (oz)
HONE-FV147A/U,maxivent-air-vent-for-heating-and-cooling-systems,8.43,0.2,0.12,0.08,Weight (lb)
WILK-P1000AXL-125C,p1000axl-pressure-relief-valve-set-at-125psi,75.97,0.6,0.54,0.06,Weight
