variant_id,product_id,sku,titulo,peso_antigo_lb,peso_novo_lb
44350220861543,7715199680615,AMAC-075-6133T,"A.Y. McDonald Industries 4130-759 3/4"" Copper Tube Size Insert Stiffener CTS",0.05,0.04
44350227939431,7715202924647,AMAC-150-6133T,"A.Y. McDonald Industries 4130-762 1-1/2"" Copper Tube Size Insert Stiffener CTS",0.08,0.082
44350229413991,7715203940455,IPSC-69420,AB&A 69420 Trap-Tite Floor Drain Trap Seal for 2-Inch Pipes,0.05,0.035
44350231183463,7715205087335,AMST-0124.024.020,"American Standard 0124024.020 Comrade® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",1.0,40.0
44350231281767,7715205185639,AMST-0321.026.020,"American Standard 0321026.020 Declyn® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",1.0,38.0
44350231543911,7715205283943,AMST-0355.012.020,American Standard 0355012.020 Lucerne Wall-Hung Sink With 4-Inch Centerset White,1.0,43.9
44350231642215,7715205382247,AMST-0355.034.020,American Standard 0355034.020 Lucerne Wall-Hung Sink With 4-Inch Centerset and Extra Right-Hand Hole White,1.0,43.9
44350231707751,7715205447783,AMST-0356.015.020,American Standard 0356015.020 Lucerne Wall-Hung Sink With 8-Inch Widespread White,1.0,43.9
44350231740519,7715205480551,AMST-0356.421.020,American Standard 0356421.020 Lucerne Wall-Hung Sink With Center Hole Only White,1.0,43.9
44350231871591,7715205578855,AMST-0426.000.020,American Standard 0426000.020 Studio Carre® Under Counter Sink White,1.0,20.5
44350231969895,7715205677159,AMST-0445.001.020,American Standard 0445001.020 Edgemere® Center Hole Only Pedestal Sink Top White,1.0,45.9
44350232035431,7715205742695,AMST-0475.020.020,American Standard 0475020.020 Aqualyn® Drop-In Sink With 8-Inch Widespread White,1.0,23.34
44350232199271,7715205775463,AMST-0475.047.020,American Standard 0475047.020 Aqualyn® Drop-In Sink With Center Hole Only White,1.0,23.34
44350232330343,7715205906535,AMST-0476.928.020,American Standard 0476928.020 Aqualyn® Drop-In Sink With 4-Inch Centerset Less Overflow White,1.0,23.34
44350232395879,7715205972071,AMST-0491.019.020,American Standard 0491019.020 Rondalyn® Drop-In Sink With 4-Inch Centerset White,1.0,22.8
44350232428647,7715206004839,AMST-0495.221.020,American Standard 0495221.020 Ovalyn Small Under Counter Sink White,1.0,19.0
44350232494183,7715206070375,AMST-0496.221.020,American Standard 0496221.020 Ovalyn Medium Under Counter Sink White,1.0,22.94
44350232592487,7715206168679,AMST-0497.300.020,American Standard 0497300.020 Ovalyn Large Under Counter Sink With Glazed Underside White,1.0,23.0
44350232789095,7715206201447,AMST-0552.001.020,American Standard 0552001.020 Loft® Above Counter Sink With Center Hole Only White,1.0,43.7
44350232854631,7715206266983,AMST-0610.000.020,American Standard 0610000.020 Boulevard® Under Counter Sink White,1.0,27.0
44350232920167,7715206332519,AMST-0614.000.020,American Standard 0614000.020 Studio® Under Counter Sink White,1.0,25.8
44350234722407,7715206955111,AMST-0618.000.020,American Standard 0618000.020 Studio® Large Under Counter Sink White,1.0,27.0
44350234886247,7715207053415,AMST-0641.001.020,American Standard 0641001.020 Boulevard® Center Hole Only Pedestal Sink Top White,1.0,53.3
44350234951783,7715207118951,AMST-0641.004.020,American Standard 0641004.020 Boulevard® 4-Inch Centerset Pedestal Sink Top White,1.0,53.3
44350235607143,7715207381095,AMST-0643.001.020,American Standard 0643001.020 Studio® Drop-In Sink With Center Hole Only White,1.0,17.0
44350236393575,7715207676007,AMST-0955.001EC.020,American Standard 0955001EC.020 Murro® Wall-Hung EverClean® Sink With Center Hole Only White,1.0,46.1
44350238130279,7715208364135,AMST-2234.001.020,"American Standard 2234001.020 Madera 1.1 - 1.6 gpf (4.2 - 6.0 Lpf) 15"" Height Top Spud Elongated Bowl White",40.0,64.0
44350238163047,7715208396903,AMST-2257.101.020,American Standard 2257101.020 Afwall® Millennium® 1.1 - 1.6 gpf (4.2 - 6.0 Lpf) Top Spud Elongated Wall-Hung Bowl White,40.0,50.0
44350238490727,7715208593511,AMST-2282.001.020,American Standard 2282001.020 Baby Devoro 1.28 gpf/4.8 Lpf 10-1/4-Inch Height Top Spud Elongated Bowl White,40.0,35.8
44350238720103,7715208691815,AMST-2294.011EC.020,American Standard 2294011EC.020 Afwall® ADA Retrofit 1.28 - 1.6 gpf (4.8 - 6.0 Lpf) Top Spud Elongated Wall-Hung EverClean® Bowl White,40.0,55.9
44350238785639,7715208757351,AMST-2390.202.020,"American Standard 2390202.020 Princeton® Americast® 60"" x 30"" Integral Apron Bathtub With Left-Hand Drain White",78.0,96.0
44350238851175,7715208822887,AMST-2391.202.020,"American Standard 2391202.020 Princeton® Americast® 60"" x 30"" Integral Apron Bathtub With Right-Hand Drain White",78.0,96.0
44350239080551,7715208888423,AMST-2391.202.222,"American Standard 2391202.222 Princeton® Americast® 60"" x 30"" Integral Apron Bathtub With Right-Hand Drain Linen",78.0,96.0
44350239146087,7715208953959,AMST-2460.002.020,"American Standard 2460002.020 Cambridge® Americast® 60"" x 32"" Integral Apron Bathtub With Left-Hand Drain White",78.0,147.0
44350239178855,7715208986727,AMST-2461.002.020,"American Standard 2461002.020 Cambridge® Americast® 60"" x 32"" Integral Apron Bathtub With Right-Hand Drain White",78.0,147.0
44350239703143,7715209281639,AMST-3043.001.020,American Standard 3043001.020 Madera 1.1 - 1.6 gpf (4.2 - 6.0 Lpf) Chair Height Top Spud Elongated Bowl White,40.0,64.2
44350239866983,7715209379943,AMST-3053.000.020,American Standard 3053000.020 Cadet® 3 FloWise® Skirted Chair Height Round Front Bowl With Seat White,40.0,73.8
44350239899751,7715209412711,AMST-3053.120.020,American Standard 3053120.020 Studio® Skirted Chair Height Round Front Bowl With Seat White,40.0,73.4
44350239965287,7715209478247,AMST-3075.000.020,American Standard 3075000.020 Cadet® 3 FloWise® Skirted Chair Height Elongated Bowl With Seat White,40.0,77.4
44350239998055,7715209511015,AMST-3075.120.020,American Standard 3075120.020 Studio® Skirted Chair Height Elongated Bowl With Seat White,40.0,77.4
44350240161895,7715209642087,AMST-3128.001.020,American Standard 3128001.020 Baby Devoro 10-1/4-Inch Height Elongated Bowl White,40.0,35.8
44350240391271,7715209674855,AMST-3195A.101.020,American Standard 3195A101.020 Champion® PRO Chair Height Elongated Bowl White,40.0,70.05
44350240456807,7715209740391,AMST-3195B.101.020,American Standard 3195B101.020 Champion® PRO Chair Height Round Front Bowl White,40.0,66.9
44350240489575,7715209773159,AMST-3195C.101.020,American Standard 3195C101.020 Champion® PRO Standard Height Elongated Bowl White,40.0,60.8
44350240555111,7715209838695,AMST-3271.101.020,American Standard 3271101.020 Town Square® S Chair Height Elongated Bowl White,40.0,67.0
44350240620647,7715209904231,AMST-3341.001.020,"American Standard 3341001.020 Huron® Floor-Mount, Back Outlet EverClean® Bowl With Integral Seat, Back Spud White",40.0,66.6
44350240751719,7715209969767,AMST-3342.001.020,American Standard Huron® 1.28 - 1.6 gpf (4.8 - 6.0 Lpf) Chair Height Back Spud Back Outlet Elongated EverClean® Bowl With Integral Seat and Seat Post,40.0,66.6
44350240915559,7715210035303,AMST-3351.101.020,American Standard 3351101.020 Afwall® Millennium® 1.0 - 1.6 gpf (3.8- 6.0 Lpf) Wall-Hung EverClean® Bowl Less Seat White,40.0,50.0
44350241144935,7715210199143,AMST-3385A.101.020,American Standard 3385A101.020 VorMax® Chair Height Elongated Bowl White,40.0,65.7
44350241570919,7715210461287,AMST-3445J.101.020,American Standard 3445J101.020 Rapidway 3-Bolt Wall-Hung Bowl Less Seat White,40.0,45.0
44350241636455,7715210526823,AMST-3445L.101.020,American Standard 3445L101.020 Rapidway 1.6 gpf/6.0 Lpf Back Spud Elongated Wall-Hung Bowl White,40.0,60.4
44350241669223,7715210559591,AMST-3447.101.020,American Standard 3447101.020 Glenwall® VorMax® Back Outlet Elongated Wall-Hung EverClean® Bowl White,40.0,77.9
44350241734759,7715210625127,AMST-3451.001.020,"American Standard 3451001.020 Madera 1.0 - 1.6 gpf (3.8 - 6.0 Lpf) 15"" Height Top Spud Elongated EverClean® Bowl White",40.0,56.4
44350241800295,7715210690663,AMST-3461.001.020,American Standard 3461001.020 Madera 1.0 - 1.6 gpf (3.8 - 6.0 Lpf) Chair Height Top Spud Elongated EverClean® Bowl Less Seat White,40.0,59.0
44350241865831,7715210756199,AMST-3481.001.020,American Standard 3481001.020 Cadet® Pressure Assist Elongated EverClean® Bowl White,40.0,52.4
44350242095207,7715210821735,AMST-3483.001.020,American Standard 3483001.020 Cadet® Pressure Assist Chair Height Elongated EverClean® Bowl White,40.0,54.9
44350242160743,7715210887271,AMST-3517A.101.020,American Standard 3517A101.020 Cadet® PRO Chair Height Elongated Toilet Bowl Only White,40.0,58.9
44350242226279,7715210952807,AMST-3517A.101.021,American Standard 3517A101.021 Cadet® PRO Chair Height Elongated Toilet Bowl Only Bone,40.0,58.9
44350242259047,7715210985575,AMST-3517A.101.222,American Standard 3517A101.222 Cadet® PRO Chair Height Elongated Toilet Bowl Only Linen,40.0,58.9
44350242357351,7715211051111,AMST-3517B.101.020,American Standard 3517B101.020 Cadet® PRO Chair Height Round Front Bowl White,40.0,57.0
44350242422887,7715211083879,AMST-3517C.101.020,American Standard 3517C101.020 Cadet® PRO Standard Height Elongated Bowl White,40.0,56.0
44350242488423,7715211182183,AMST-3517D.101.020,American Standard 3517D101.020 Cadet® PRO Standard Height Round Front Bowl White,40.0,55.0
44350242685031,7715211247719,AMST-3517D.101.021,American Standard 3517D101.021 Cadet® PRO Standard Height Round Front Bowl Bone,40.0,55.0
44350242717799,7715211280487,AMST-3517F.101.020,American Standard 3517F101.020 Cadet® PRO Compact Chair Height Elongated Bowl White,40.0,59.0
44350242783335,7715211346023,AMST-3519A.101.020,American Standard 3519A101.020 Edgemere® Chair-Height Elongated Bowl White,40.0,59.8
44350242979943,7715211542631,AMST-3701.001.020,American Standard 3701001.020 Yorkville® Pressure Assist Back Outlet Elongated EverClean® Bowl White,40.0,59.8
44350243209319,7715211640935,AMST-3703.001.020,American Standard 3703001.020 Yorkville® Pressure Assist Chair Height Back Outlet Elongated EverClean® Bowl White,40.0,63.0
44350244913255,7715211706471,AMST-3705.216.020,American Standard 3705216.020 H2Option® and H2Optimum® Chair Height Elongated Bowl White,40.0,50.5
44350246158439,7715212165223,AMST-3706.216.020,American Standard 3706216.020 H2Option® and H2Optimum® Standard Height Elongated Bowl White,40.0,48.2
