ID,Variant ID,Variant SKU,Title,Variant Weight,Variant Weight Unit,peso_antigo_lb
7715280191591,44350391451751,CTRO-IANS06,"Centrotherm 6"" Connector Ring",0.22,lb,2.19
7715280322663,44350391582823,CTRO-IASJBVS,Centrotherm Short John Ball Valve Siphon,0.45,lb,2.19
7715280355431,44350391615591,CTRO-IASPP02,Centrotherm 2'' Bird Screen PPs-UV Black,0.025,lb,2.19
7715280388199,44350391648359,CTRO-IASPP03,"Centrotherm 3"" Bird Screen PPs-UV Black",0.02,lb,2.19
7715280519271,44350391779431,CTRO-ICTC0335,Centrotherm 3'' Twin Pipe to 3''/5'' Concentric Adpt,1.6,lb,2.19
7715280781415,44350392041575,CTRO-IFEP03,Centrotherm 3'' Flex End Pipe PPs-UV Black,0.25,lb,2.19
7715281829991,44350393090151,CTRO-ISAAL0202,"Centrotherm 2"" Appliance Adaptor PVC to PPs Long",0.1,lb,2.19
7715281862759,44350393122919,CTRO-ISAAL0303,"Centrotherm 3"" Appliance Adaptor PVC to PPs Long",0.25,lb,2.19
7715281928295,44350393188455,CTRO-ISAGL0202,"Centrotherm 2"" Appliance Adaptor PVC to PPs w/Gasket",0.1,lb,2.19
7715281961063,44350393221223,CTRO-ISAGL0303,"Centrotherm 3"" Appliance Adaptor PVC to PPs w/Gasket",0.25,lb,2.19
7715282059367,44350393319527,CTRO-ISBS0387,"Centrotherm 3"" Base Support",1.75,lb,2.19
7715282223207,44350393483367,CTRO-ISEI0203,Centrotherm 2'' to 3'' Eccentric Increaser,0.2,lb,2.19
7715282288743,44350393548903,CTRO-ISEL0345,"Centrotherm 3"" - 45 Degree Elbow PolyPro SW",0.25,lb,2.19
7715282387047,44350393647207,CTRO-ISEL0645,"Centrotherm 6"" - 45 Degree Elbow PolyPro SW",1.05,lb,2.19
7715282747495,44350394007655,CTRO-ISEL0687,"Centrotherm 6"" - 87 Degree Elbow PolyPro SW",1.35,lb,2.19
7715282845799,44350394105959,CTRO-ISELL0245,"Centrotherm 2"" - 45 Degree Elbow Long Radius PolyPro SW",2.25,lb,2.19
7715282911335,44350394171495,CTRO-ISELL0245UV,"Centrotherm 2"" - 45 Degree Elbow Long Radius PolyPro UV Black",0.15,lb,2.19
