sku,titulo,marca,categoria,preco_usd,peso_atual_lb,peso_fornecedor_lb,razao,frete_atual_usd,frete_novo_usd,delta_usd,densidade_lb_ft3
BURN-205EN-G0,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,3905.49,2.19,354.0,161.64,279,709,430,
BURN-206EN-G0,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,4495.82,2.19,414.0,189.04,279,709,430,
BURN-207EN-G0,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,5064.69,2.19,458.0,209.13,279,709,430,
BURN-208EN-G0,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,5555.25,2.19,502.0,229.22,279,709,430,
BURN-MPO-IQ84B-TB,"US Boiler (Burnham) MPO-IQ Series, MPO-IQ84B-TB, Oil Fired, Chimney Vented Cast Iron Boiler",US Boiler,US Boiler Clearance Sale,2163.15,140.0,420.0,3.0,349,709,360,
AMST-7741.000.020,American Standard 7741000.020 Florwell® Floor-Mount Cast Iron Service Sink White,American Standard,Floor-Mount Mop and Service Sinks,1192.56,50.0,183.0,3.66,279,529,250,19.3
IBCT-IWT119-MAX,IBC 030-026 IWT-119 - 113 Gallon Stainless Steel Indirect Water Maker,IBC,Water Makers,5277.77,70.0,290.0,4.14,279,529,250,2.5
LIBE-2448LSG202,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Discharge with 24"" x 48"" basin and standard alarm",Liberty Pumps,Sewage Pumps,6046.88,61.0,220.0,3.61,279,529,250,
LIBE-P682XPRG101,"Liberty Pumps P682XPRG101 1 HP, Duplex Sewage Package, 1 PH, 115V, 2"" Discharge, 10' Stack, 10' Cord",Liberty Pumps,Sewage Pumps,4700.62,61.0,151.0,2.48,279,529,250,
ROHL-RC3318WH,"Shaws RC3318WH Lancaster™ 33"" Single Bowl Farmhouse Apron Front Fireclay Kitchen Sink in White (WH)",Shaws,Apron-Front & Farmhouse Sinks,2864.55,42.7,173.0,4.05,279,529,250,26.8
ROHL-RC3618WH,"Shaws RC3618WH Lancaster™ 36"" Single Bowl Farmhouse Apron Front Fireclay Kitchen Sink in White (WH)",Shaws,Apron-Front & Farmhouse Sinks,3205.8,46.6,154.0,3.3,279,529,250,19.9
ROHL-RC4019WH,"Shaws RC4019WH Lancaster™ 40"" Double Bowl Farmhouse Apron Front Fireclay Kitchen Sink in White (WH)",Shaws,Apron-Front & Farmhouse Sinks,5526.3,52.6,176.0,3.35,279,529,250,23.8
BURN-202EN-G0,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,2888.1,2.19,202.0,92.24,279,529,250,
BURN-203EN-G0,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,3235.2,2.19,300.0,136.99,279,529,250,
BURN-204EN-G0,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",US Boiler,Cast Iron Gas Boilers,3472.65,2.19,292.0,133.33,279,529,250,
