prioridade,sku,titulo,marca,categoria,preco_usd,peso_atual_lb_INCORRETO,peso_real_lb_PREENCHER
1,CAMC-07013,"Camco Plumber's Pack-TOD T-stats 4500W 240V HWD Elements, Clam 07013",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,64.14,76.0,
1,CAMC-02933,"Camco Element, Screw In - 5500W 240V ULWD LimeLife Foldback (Clam) 02933",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,35.30,76.0,
1,CAMC-11513,"Camco Water Heater Drain Valve - Brass 2-1/2"" Shank, LLC (E/F) 11513",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,24.39,76.0,
1,CAMC-11505,"Camco Water Heater Drain Valve - Brass 4-3/8"" Shank,Straight(E/F) (SKPK) LLC 11505",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,19.77,76.0,
1,CAMC-01013,"Camco Dielectric Heat Traps, 3"" Long, Paired (E/F/S) LLC 01013",CAMCO MANUFACTURING INC.,Dielectric Nipples,15.33,76.0,
1,CAMC-02203,"Camco's 2000W/120V Screw-In, High Watt Density Water Heater Element can be used in most replacement situations of the same wattage and voltage. High",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,11.31,76.0,
1,CAMC-02343,"Camco Element, Screw In - 4500W 240V HWD (E/F/S) Clam 02343",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,10.62,76.0,
1,CAMC-02222,"Camco Element, Screw In - 2000W 240V HWD (BULK) 02222",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,10.23,76.0,
1,CAMC-02262,Camco 2262 3000W/240V Screw-In Element,CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,10.23,76.0,
1,CAMC-09943,"Camco Wrench 4"" Heavy Duty Element (E/F/S) 09943",CAMCO MANUFACTURING INC.,Elements & Electric Conversion Kits,8.28,76.0,
1,CAMC-10622,"Camco Dielectric Nipples, 3/4""NPT x3/4""NPT x2-1/2""Long(BULK-CC)LLC 10622",CAMCO MANUFACTURING INC.,Dielectric Nipples,3.68,76.0,
1,DAHL-621-01-04-PK2,"Dahl Valve 621-01-04-PK2 1/2"" x 1/2"" (MIP / Sweat x Hose Thread) Boiler Drain",Dahl Valve,Boiler Drains,52.66,120.0,
1,DELT-RP54870SS,Delta RP54870SS Renovation Kit 600 Series Tub & Shower Stainless,Delta,Tub & Shower Repair Parts,254.07,80.0,
1,DELT-H79,Delta Metal Lever Handle Kit Tub & Shower Chrome,Delta,Tub & Shower Repair Parts,38.88,80.0,
1,DELT-RP74816,Delta RP74816 Trinsic® Test Plug Floor Mount Tub Filler,Delta,Tub & Shower Repair Parts,16.16,80.0,
1,FUJI-AOUG48LMAS1,"Fujitsu General (Retired) - AOUG48LMAS1 - 48,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,3099.40,140.0,
1,FUJI-ARU48RGLX,"Fujitsu General (Retired) - ARU48RGLX - 48,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,2542.17,140.0,
1,FUJI-AOU30RGLX,"Fujitsu General (Retired) - AOU30RGLX - 30,000 BTU/h, - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,2264.31,140.0,
1,FUJI-ARU36RGLX,"Fujitsu General (Retired) - ARU36RGLX - 36,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,1946.02,140.0,
1,FUJI-ARU30RGLX,"Fujitsu General (Retired) - ARU30RGLX - 30,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,1841.97,140.0,
1,FUJI-AOU18RGLX,"Fujitsu General (Retired) - AOU18RGLX - 18,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,1635.84,140.0,
1,FUJI-ARU24RGLX,"Fujitsu General (Retired) - ARU24RGLX - 24,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,1549.45,140.0,
1,FUJI-AOU18RLXFWH,"Fujitsu General AOU18RLXFWH - 18,000 BTU/h, - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,1509.54,140.0,
1,FUJI-AOUH24LMAS1,"Fujitsu General (Retired) - AOUH24LMAS1 - 24,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,1495.89,140.0,
1,FUJI-AOU18RLXFW1,"Fujitsu General AOU18RLXFW1 - 18,000 BTU/h, - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,1341.32,140.0,
1,FUJI-AOUH18LMAS1,"Fujitsu General (Retired) - AOUH18LMAS1 - 18,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,1236.74,140.0,
1,FUJI-ARU18RGLX,"Fujitsu General (Retired) - ARU18RGLX - 18,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,1205.41,140.0,
1,FUJI-AOU9RLFC,"Fujitsu General (Retired) - AOU9RLFC - 12,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,874.50,140.0,
1,FUJI-AOUG09LMAS1,"Fujitsu General (Retired) - AOUG09LMAS1 - 9,000 BTU/h, Single Zone - Airstage Mini-Split Outdoor Unit",Fujitsu General,Fujitsu Clearance Sale,766.39,140.0,
1,FUJI-ARU7RLF,"Fujitsu General (Retired) - ARU7RLF - 12,000 BTU/h, - Slim Duct Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,659.29,140.0,
1,FUJI-AUU7RLF,"Fujitsu General (Retired) - AUU7RLF - 7,000 BTU/h, - Ceiling Cassette Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,604.23,140.0,
1,FUJI-ASU15RLF1,"Fujitsu General (Retired) - ASU15RLF1 - 15,000 BTU/h, - Wall Unit Airstage Mini-Split Head Unit",Fujitsu General,Fujitsu Clearance Sale,597.15,140.0,
1,FUJI-UTY-DMMUM,Fujitsu General UTY-DMMUM Central Remote Controller,Fujitsu General,Fujitsu Clearance Sale,218.40,140.0,
1,FUJI-RXHF-21,Fujitsu General RXHF-21 External Filter Base for All MPAH,Fujitsu General,Fujitsu Clearance Sale,100.80,140.0,
1,FUJI-UTY-RSNUM,Fujitsu General UTY-RSNUM Hfi - Simple Remote Control,Fujitsu General,Fujitsu Clearance Sale,73.20,140.0,
1,FUJI-K9FZ1818,Fujitsu General K9FZ1818 Fitting Kit f/18+18 Indoor UTP-MU36A2,Fujitsu General,Fujitsu Clearance Sale,31.20,140.0,
1,FUJI-9332875010,Fujitsu General 9332875010 Air Filter,Fujitsu General,Fujitsu Clearance Sale,9.81,140.0,
1,FUJI-K9R410A55,Fujitsu General K9R410A55 Access Fitting Swivel Adapter 55 Degrees,Fujitsu General,Fujitsu Clearance Sale,7.20,140.0,
1,FUJI-UTY-WIFI,Fujitsu General UTY-WIFI Wire w/Connector f/Wired WiFi Device,Fujitsu General,Fujitsu Clearance Sale,2.40,140.0,
1,GEBE-151.508.00.1,"Geberit 151.508.00.1 Polypropylene, Tee Bath Waste and Overflow Rough-In Unit for 17 to 24"" Bathtub with 33"" Stainless Steel Cable",Geberit,Tub Drains,165.00,80.0,
1,GERB-41-813-76,Gerber G004181376 Classics Trip Lever Drain for Roman Tub with Retaining Ring Chrome,Gerber,Trip Levers,150.66,80.0,
1,GERB-G00GS505S,Gerber G00GS505S Treysta Tub & Shower Valve- Horizontal Inputs WITH Stops- IPS/Sweat,Gerber,Shower and Tub-Shower Valves,90.72,80.0,
1,GERB-G00GS505,Gerber G00GS505 Treysta Tub & Shower Valve- Horizontal Inputs WITHOUT Stops- IPS/Sweat,Gerber,Shower and Tub-Shower Valves,68.04,80.0,
1,IPSC-87041,"IPS 87041 32″ ID x 34″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,47.31,120.0,
1,IPSC-86989,"IPS 86989 24″ ID x 26″ OD Pan, Plastic Water Heater Pan, 1″ x 1-1/2″ CPVC Drain Connection",IPS Corporation,Water Heater Pans,41.89,120.0,
1,IPSC-87013,"IPS 87013 30″ ID x 32″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,34.09,120.0,
1,IPSC-87010,"IPS 26″ ID x 28″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,33.36,120.0,
1,IPSC-87031,"IPS 87031 28″ ID x 30″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,32.45,120.0,
1,IPSC-86984,"IPS 86984 22″ ID x 24″ OD Pan, Plastic Water Heater Pan, 1″ x 1-1/2″ CPVC Drain Connection",IPS Corporation,Water Heater Pans,31.24,120.0,
1,IPSC-87006,"IPS 87006 24″ ID x 26″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,25.12,120.0,
1,IPSC-87003,"IPS 87003 22″ ID x 24″ OD Pan, Aluminum Water Heater Pan, 1″ x 1-1/2″ PVC Drain Connection",IPS Corporation,Water Heater Pans,22.65,120.0,
