sku,titulo,marca,categoria,preco_usd,comprimento_ft,peso_atual_lb_IMPOSSIVEL,peso_se_for_por_pe_lb,peso_real_lb_PREENCHER
BLIP-1000-A53B-PE,"Valencia Pipe 10"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.365"" W Import",Valencia Pipe,Plain End A53,1898.19,21,0.94,19.74,
POLY-200-250/300,"Centennial Plastics FL472000200-200 2"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,1467.00,300,0.94,282.0,
COPT-300-DWV,"Mueller Streamline V 20020 3"" x 20' - Copper Tube - DWV",Mueller Streamline,DWV,1291.00,20,1.69,33.8,
HDPE-GASH0110200250,"Centennial Plastics GASH01102000250 2"" x 250' Gas Pipe - HDPE 4710 - SDR 11 CenGas",Centennial Plastics,HDPE & Poly Pipe,1275.00,250,0.63,157.5,
MPEX-1320100,"MrPEX Systems ® 1/2"" x 1000' PEX-AL-PEX Tubing Silver 1320100",MrPEX Systems,PEX-AL-PEX Tubing,1217.30,1000,0.94,940.0,
PVCP-600-SCH80,"Charlotte Pipe PVC 10060 0600 6"" x 20' PVC SCH80 Plain End Pipe",Charlotte Pipe,PVC SCH80 Plain End,1202.40,20,0.63,12.6,
MDPE-1002278,"Centennial Plastics GASM0110200-250 2"" x 250' Gas Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,HDPE & Poly Pipe,1070.00,250,0.63,157.5,
COPT-218-ACR,"Mueller Streamline AC14020 2-1/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,1059.00,20,1.75,35.0,
MPEX-1330040,"MrPEX Systems ® 5/8"" x 400' PEX-AL-PEX Tubing Silver 1330040",MrPEX Systems,PEX-AL-PEX Tubing,937.85,400,0.94,376.0,
BLIP-800-A53B-PE,"Valencia Pipe 8"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.322"" W Import",Valencia Pipe,Plain End A53,906.36,21,0.94,19.74,
POLY-150-250/300,"Centennial Plastics FL472000150-300 1-1/2"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,891.00,300,0.57,171.0,
PVCP-400-SCH80,"Charlotte Pipe PVC 10040 0600 4"" x 20' PVC SCH80 Plain End Pipe",Charlotte Pipe,PVC SCH80 Plain End,849.80,20,0.63,12.6,
COPT-200-DWV,"Mueller Streamline V 20010 2"" x 20' - Copper Tube - DWV",Mueller Streamline,DWV,731.40,20,1.07,21.4,
COPT-158-ACR,"Mueller Streamline AC12020 1-5/8"" x 20' - Copper Tube - L Hard ACR/OXY/MED",Mueller Streamline,Type L Hard ACR-OXY-MED,702.40,20,1.14,22.8,
BLIP-500-A53B-PE,"Valencia Pipe 5"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.258"" W Import",Valencia Pipe,Plain End A53,697.20,21,0.94,19.74,
POLY-125-250/300,"Centennial Plastics FL472000125-300 1-1/4"" x 300' Poly Pipe - 250 PSI - SIDR 7 CenFlo",Centennial Plastics,HDPE & Poly Pipe,651.00,300,0.42,126.0,
HDPE-600,"Centennial Plastics FS470170600-20 6"" x 20' HDPE Geothermal Pipe - 160 PSI - SDR 17 CenFuse",Centennial Plastics,HDPE & Poly Pipe,626.00,20,0.22,4.4,
BLIP-600-A53B-PE,"Valencia Pipe 6"" x 21' Black Steel Pipe A53 Type E Grade B ERW Plain End 0.280"" W Import",Valencia Pipe,Plain End A53,602.28,21,0.94,19.74,
MDPE-GASM01001250250,"Centennial Plastics GASM0100125-250 1-1/4"" x 250' Poly Pipe - MDPE 2708 - SDR 11 CenGas",Centennial Plastics,HDPE & Poly Pipe,592.50,250,0.33,82.5,
COPT-150-DWV,"Mueller Streamline V 14010 1-1/2"" x 20' - Copper Tube - DWV",Mueller Streamline,DWV,556.80,20,0.81,16.2,
