sku,handle,variant_id,product_id,price,perfil_anterior,tag_anterior,L,W,H,cube_in3,lb_loja,lb_dimensional,lb_efetivo,teto_lambda,excesso_x,fonte_dimensao,acao
MUST-14K,e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,44350687150183,7715405987943,87.81,General profile,free-ship-eligible,23.0,25.0,33.0,18975,1.0,136.5,136.5,2.96,46.1,custom.specifications,mover perfil + remover tag
DAYT-D-23322-4,dayton-stainless-steel-33-x-22-x-6-9-16-4-hole-equal-double-bowl-drop-in-sink,44350519476327,7715346776167,394.5,THS Standard - no free shipping,free-ship-eligible,33.0,22.0,6.5625,4764,12.4,34.3,34.3,13.29,2.6,custom.specifications,remover tag (perfil ja certo)
DAYT-D-12522-3,dayton-stainless-steel-25-x-22-x-6-9-16-3-hole-single-bowl-drop-in-sink,44350517968999,7715346415719,306.0,THS Standard - no free shipping,free-ship-eligible,25.0,22.0,6.5625,3609,9.8,26.0,26.0,10.31,2.5,custom.specifications,remover tag (perfil ja certo)
DAYT-D-12522-4,dayton-stainless-steel-25-x-22-x-6-9-16-4-hole-single-bowl-drop-in-sink,44350518591591,7715346546791,306.0,General profile,free-ship-eligible,25.0,22.0,6.5625,3609,1.0,26.0,26.0,10.31,2.5,custom.specifications,mover perfil + remover tag
FRAN-MAG61031OW-SHG,franke-maris-topmount-33-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,44350702256231,7715417620583,582.24,General profile,free-ship-eligible,33.0,22.0,9.5,6897,4.07,49.6,49.6,19.62,2.5,custom.specifications,mover perfil + remover tag
DAYT-D-12521-4,dayton-stainless-steel-25-x-21-1-4-x-6-9-16-4-hole-single-bowl-drop-in-sink,44350517739623,7715346350183,306.0,THS Standard - no free shipping,free-ship-eligible,25.0,21.25,6.5626,3486,9.7,25.1,25.1,10.31,2.4,custom.specifications,remover tag (perfil ja certo)
DAYT-DD-23322-4,dayton-stainless-steel-33-x-22-x-7-1-16-4-hole-equal-double-bowl-drop-in-sink,44350519541863,7715346841703,502.5,THS Standard - no free shipping,free-ship-eligible,33.0,22.0,7.0625,5127,12.4,36.9,36.9,16.93,2.2,custom.specifications,remover tag (perfil ja certo)
FRAN-MAG61023-SHG,franke-maris-topmount-25-in-x-22-in-granite-single-bowl-kitchen-sink-in-stone-grey,44350702157927,7715417555047,523.03,General profile,free-ship-eligible,25.0,22.0,9.5,5225,4.07,37.6,37.6,17.63,2.1,custom.specifications,mover perfil + remover tag
DAYT-D-23319-3,dayton-stainless-steel-33-x-19-x-6-7-16-3-hole-equal-double-bowl-drop-in-sink,44350519443559,7715346743399,438.0,THS Standard - no free shipping,free-ship-eligible,33.0,19.0,6.4375,4036,13.0,29.0,29.0,14.76,2.0,custom.specifications,remover tag (perfil ja certo)
FRAN-MAG11029-MBK,franke-maris-undermount-31-in-x-17-81-in-granite-single-bowl-kitchen-sink-in-matte-black,44350702059623,7715417456743,582.24,General profile,free-ship-eligible,31.0,17.81,9.5,5245,1.0,37.7,37.7,19.62,1.9,custom.specifications,mover perfil + remover tag
DAYT-DSE-23322-1,dayton-stainless-steel-33-x-22-x-8-1-16-1-hole-equal-double-bowl-drop-in-sink,44350519738471,7715347038311,712.5,General profile,free-ship-eligible,33.0,22.0,8.0625,5853,1.0,42.1,42.1,24.01,1.8,custom.specifications,mover perfil + remover tag
