sku,ven,price,lb_loja,teto_lb,folga_x,title
MPEX-4601250,MrPEX Systems,1.67,0.05,0.06,1.1,"MrPEX Systems 4601250 1-1/4"" PEX Expansion Ring -"
MPEX-4615050,MrPEX Systems,1.72,0.05,0.06,1.2,"MrPEX Systems 4615050 1/2"" PEX Coupling (Expansion(F1960)) - Composite"
PASC-1234,Pasco,1.81,0.05,0.06,1.2,Pasco 1-1/4 IP - 1-1/2 CTW Box Flange - Chrome
SIOU-641PX322,Sioux Chief,1.86,0.05,0.06,1.3,"Sioux Chief 641PX322 3/4"" x 1/2"" x 1/2"" PEX F2159 Reducing Tee Composite"
SIOU-644XG2,Sioux Chief,1.69,0.05,0.06,1.1,"Sioux Chief 644XG2 1/2"" PEX F1807 Male Sweat Adapter Brass"
HLNK-EX19005,HeatLink,2.06,0.05,0.07,1.4,"HeatLink EX19005 1/2"" PEX Coupling (Expansion(F1960)) - Composite"
HLNK-EX24241,HeatLink,2.06,0.05,0.07,1.4,"HeatLink EX24241 1-1/2"" PEX Expansion Ring - HeatLink"
MPEX-4601500,MrPEX Systems,2.22,0.05,0.07,1.5,"MrPEX Systems 4601500 1-1/2"" PEX Expansion Ring -"
PASC-1406,Pasco,2.07,0.05,0.07,1.4,Pasco 1406 Bulk Air Valve - Each
PASC-2876,Pasco,2.22,0.05,0.07,1.5,"Pasco 2876 1-1/4""CWT Chrome Split-One Floor & Ceili"
PASC-2877,Pasco,2.0,0.05,0.07,1.3,"Pasco 2877 1-1/2""CWT Chrome Split-One Floor & Ceili"
SIOU-555-23PK2,Sioux Chief,1.95,0.05,0.07,1.3,"Sioux Chief 555-23PK2 1/2"" & 3/4"" Twin Tube Talon"
SIOU-642XG2,Sioux Chief,2.13,0.06,0.07,1.2,"Sioux Chief 642XG2 1/2"" PEX F1807 90 Elbow"
SIOU-645XG32,Sioux Chief,2.13,0.06,0.07,1.2,"Sioux Chief 645XG32 3/4"" X 1/2"" PEX F1807 Coupling"
META-THPS-400G,C&S Manufacturing,2.27,0.05,0.08,1.5,"C&S THPS-400G 4"" 2-Hole Galv Pipe Strap"
HLNK-27105NL,HeatLink,2.5,0.06,0.08,1.4,"HeatLink 27105NL 1/2"" PEX Sweat Adapter (Crimp(F1807) x FTG Sweat) - Brass"
HLNK-EX15022,HeatLink,2.47,0.05,0.08,1.7,"HeatLink EX15022 3/4"" PEX Plug (Expansion(F1960)) - Composite"
HLNK-EX16555,HeatLink,2.49,0.05,0.08,1.7,"HeatLink EX16555 1/2"" PEX Tee (Expansion(F1960)) - Composite"
HLNK-EX18005,HeatLink,2.44,0.05,0.08,1.6,"HeatLink EX18005 1/2"" PEX 90° Elbow (Expansion(F1960)) - Composite"
HLNK-EX19022,HeatLink,2.46,0.05,0.08,1.7,"HeatLink EX19022 3/4"" PEX Coupling (Expansion(F1960)) - Composite"
