sku,titulo,preco_usd,peso_lb,lambda_lb_por_dolar,limite_0.0337,peso_em_99usd_lb,veredito,regua_3lb_diria
GERB-29-842,Gerber G0029842 Maxwell Pedestal White,58.12,26.0,0.4474,0.0337,44.3,PREJUIZO,excluir
AMST-0356.421.020,American Standard 0356421.020 Lucerne Wall-Hung Sink With Center Hole Only White,100.69,43.9,0.436,0.0337,43.2,PREJUIZO,excluir
AMST-0356.015.020,American Standard 0356015.020 Lucerne Wall-Hung Sink With 8-Inch Widespread White,100.69,43.9,0.436,0.0337,43.2,PREJUIZO,excluir
AMST-0355.012.020,American Standard 0355012.020 Lucerne Wall-Hung Sink With 4-Inch Centerset White,100.69,43.9,0.436,0.0337,43.2,PREJUIZO,excluir
AMST-0321.026.020,"American Standard 0321026.020 Declyn® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",93.21,38.0,0.4077,0.0337,40.4,PREJUIZO,excluir
AMST-0355.034.020,American Standard 0355034.020 Lucerne Wall-Hung Sink With 4-Inch Centerset and Extra Right-Hand Hole White,134.82,43.9,0.3256,0.0337,32.2,PREJUIZO,excluir
MILW-48-22-2881,Milwaukee Tools 48-22-2881 13in1 Cushion Grip Screwdriver with Schrader Bit,33.67,9.84,0.2922,0.0337,28.9,PREJUIZO,excluir
GERB-12-504,"Gerber G0012504 Maxwell Petite Ped Top 20.5""x17.75"" 4""CC White",118.12,33.0,0.2794,0.0337,27.7,PREJUIZO,excluir
GERB-12-514,"Gerber G0012514 Maxwell Ped Top 25.2""X20.5"" 4""CC White",148.12,40.0,0.2701,0.0337,26.7,PREJUIZO,excluir
GERB-12-518,"Gerber G0012518 Maxwell Ped Top 25.2""X20.5"" 8""CC White",148.12,40.0,0.2701,0.0337,26.7,PREJUIZO,excluir
AMST-0475.047.020,American Standard 0475047.020 Aqualyn® Drop-In Sink With Center Hole Only White,86.55,23.34,0.2697,0.0337,26.7,PREJUIZO,excluir
AMST-0475.020.020,American Standard 0475020.020 Aqualyn® Drop-In Sink With 8-Inch Widespread White,87.38,23.34,0.2671,0.0337,26.4,PREJUIZO,excluir
AMST-0124.024.020,"American Standard 0124024.020 Comrade® Wall-Hung Sink With 4-Inch Centerset, Wall Hanger Included White",150.63,40.0,0.2656,0.0337,26.3,PREJUIZO,excluir
AMST-0491.019.020,American Standard 0491019.020 Rondalyn® Drop-In Sink With 4-Inch Centerset White,87.38,22.8,0.2609,0.0337,25.8,PREJUIZO,excluir
AMST-0496.221.020,American Standard 0496221.020 Ovalyn Medium Under Counter Sink White,89.04,22.94,0.2576,0.0337,25.5,PREJUIZO,excluir
GERB-29-847,Gerber G0029847 Logan Square Pedestal White,117.19,27.0,0.2304,0.0337,22.8,PREJUIZO,excluir
AMST-0476.928.020,American Standard 0476928.020 Aqualyn® Drop-In Sink With 4-Inch Centerset Less Overflow White,103.2,23.34,0.2262,0.0337,22.4,PREJUIZO,excluir
AMST-0641.001.020,American Standard 0641001.020 Boulevard® Center Hole Only Pedestal Sink Top White,236.35,53.3,0.2255,0.0337,22.3,PREJUIZO,excluir
AMST-0641.004.020,American Standard 0641004.020 Boulevard® 4-Inch Centerset Pedestal Sink Top White,236.35,53.3,0.2255,0.0337,22.3,PREJUIZO,excluir
AMST-0445.001.020,American Standard 0445001.020 Edgemere® Center Hole Only Pedestal Sink Top White,210.56,45.9,0.218,0.0337,21.6,PREJUIZO,excluir
AMST-0495.221.020,American Standard 0495221.020 Ovalyn Small Under Counter Sink White,89.04,19.0,0.2134,0.0337,21.1,PREJUIZO,excluir
AMST-0955.001EC.020,American Standard 0955001EC.020 Murro® Wall-Hung EverClean® Sink With Center Hole Only White,217.22,46.1,0.2122,0.0337,21.0,PREJUIZO,excluir
MUST-17FK,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Floor",143.97,28.83,0.2003,0.0337,19.8,PREJUIZO,excluir
GERB-12-512,"Gerber G0012512 Burr Ridge 24"" Ped Top Single Hole White",280.32,53.0,0.1891,0.0337,18.7,PREJUIZO,excluir
TOTO-PT530N-01,Toto PT530N#01 PROMENADE PEDESTAL FOOT COTTON,159.9,30.0,0.1876,0.0337,18.6,PREJUIZO,excluir
MUST-17WK,"E. L Mustee & Sons 23"" DURASTONE® UTILATUB® Laundry Tub - Wall",143.97,26.67,0.1852,0.0337,18.3,PREJUIZO,excluir
TOTO-UT445U-01,"Toto USA UT445U#01 - Cotton White, High-Efficiency, Full Size, Washout Flush Action 3/4"" IPS GPF 0.125",356.46,66.0,0.1852,0.0337,18.3,PREJUIZO,excluir
TOTO-UT447E-01,Toto UT447E#01 COMMERCIAL WASHOUT URINAL W/ TOP SPUD--COTTON,333.06,60.0,0.1801,0.0337,17.8,PREJUIZO,excluir
AMST-9960.403.020,American Standard 9960403.020 Mezzo® Semi-Countertop Sink With 4-Inch Centerset White,252.99,45.0,0.1779,0.0337,17.6,PREJUIZO,excluir
AMST-0497.300.020,American Standard 0497300.020 Ovalyn Large Under Counter Sink With Glazed Underside White,135.65,23.0,0.1696,0.0337,16.8,PREJUIZO,excluir
AMST-0552.001.020,American Standard 0552001.020 Loft® Above Counter Sink With Center Hole Only White,257.99,43.7,0.1694,0.0337,16.8,PREJUIZO,excluir
