sku,variant_id,titulo,preco_usd,peso_real_lb,peso_dimensional_lb,peso_efetivo_lb,lambda,perfil_ANTES,perfil_DEPOIS,motivo
AMST-0356.421.020,44350231740519,American Standard 0356421.020 Lucerne Wall-Hung Sink With Center Hole Only White,100.69,43.9,44.19,44.19,0.4389,General profile,THS Standard - no free shipping,reprova por peso
SIOU-630WG248,44351384649831,"Sioux Chief 630WG248 1/2"" x 4"" x 8"" PEX F1960 Stub Out Elbow",11.6,0.26,4.74,4.74,0.4086,General profile,THS Standard - no free shipping,reprova por volume
MOEN-T2473EP,44350987829351,Moen T2473EP Genta LX 1-Handle Wall-Mount Tub and Shower Faucet Trim Kit in Chrome (Valve not Included),93.51,3.25,,3.25,0.0348,General profile,THS Standard - no free shipping,reprova por peso
SIOU-869-6P,44351404736615,"Sioux Chief 869-6P 6"" PVC Hub Backwater Valve",301.12,1.13,14.87,14.87,0.0494,General profile,THS Standard - no free shipping,reprova por volume
DAYT-DW1023322-4,44350519836775,"Dayton DW10233224 Stainless Steel 33"" x 22"" x 6-9/16"" 4-Hole Equal Double Bowl Drop-in Sink (10 Pack)",243.01,12.4,,12.4,0.051,General profile,THS Standard - no free shipping,reprova por peso
SIOU-832-4HNR,44351401263207,"Sioux Chief 832-4HNR 4"" FinishLine Top Only with Round Grate 5-1/2"" Nickel Bronze Finish",66.38,2.0,20.82,20.82,0.3136,General profile,THS Standard - no free shipping,reprova por volume
VEGA-51020,44353472626791,"Viega 51020 1/2"", Plastic, Bend Support for PureFlow PEX Pipe (25 per Pack)",2.54,0.05,0.14,0.14,0.0551,General profile,THS Standard - no free shipping,reprova por volume
SMIT-28-ST,44353369243751,"Smitty Pan 28-ST 28"" - Round Metal Water Heater Pan, Side Drain Hole",57.18,1.0,12.43,12.43,0.2174,General profile,THS Standard - no free shipping,reprova por volume
DURA-08571800002,44350673027175,Duravit 08571800002 D-Code Sink Shroud in White,292.5,1.0,14.08,14.08,0.0481,General profile,THS Standard - no free shipping,reprova por volume
CTRO-ISEL0645,44350393647207,"Centrotherm 6"" - 45 Degree Elbow PolyPro SW",111.89,1.05,5.43,5.43,0.0485,General profile,THS Standard - no free shipping,reprova por volume
MILW-48-22-8428,44350928191591,Milwaukee Tools 48-22-8428 PACKOUT™ Rolling Tool Chest,426.36,24.0,,24.0,0.0563,General profile,THS Standard - no free shipping,reprova por peso
CTRO-ISVL062,44350395383911,"Centrotherm 6"" x 24"" - PolyPro Single Wall Vent Pipe",144.36,3.2,9.95,9.95,0.0689,General profile,THS Standard - no free shipping,reprova por volume
