handle,modelo,tipo,title,chars_antes,descricao_anterior
1-1-2-in-dialset-female-npt-double-union,DS06-104-DUT-LF,Pressure Reducing Valves,Resideo DS06-104-DUT-LF/U 1-1/2 in DialSet Female NPT Double Union,163,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-104-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267822695</li>
</ul>"
1-1-2-in-dialset-female-npt-single-union-internally-threaded-prv,DS06-104-SUT-LF,Pressure Reducing Valves,"Resideo DS06-104-SUT-LF/U 1-1/2 in DialSet Female NPT Single Union, Internally-Threaded PRV",414,"<p>The 1-1/2 in DialSet Female NPT Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-104-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267440875</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 8.4 lb</li>
</ul>"
1-1-2-in-dialset-female-npt-single-union-sweat-prv,DS06-104-SUS-LF,Pressure Reducing Valves,Resideo DS06-104-SUS-LF/U 1-1/2 in DialSet Female NPT Single Union Sweat-PRV,214,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-104-SUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267422918</li>
<li>
<strong>Shipping Weight:</strong> 8.4 lb</li>
</ul>"
1-1-4-in-dialset-female-npt-double-union-internally-threaded-prv,DS06-103-DUT-LF,Pressure Reducing Valves,"Resideo DS06-103-DUT-LF/U 1-1/4 in DialSet Female NPT Double Union, Internally-Threaded PRV",363,"<p>The 1-1/4 in DialSet Female NPT Double Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-103-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267734028</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-1-4-in-dialset-female-npt-double-union-sweat-prv,DS06-103-DUS-LF,Pressure Reducing Valves,Resideo DS06-103-DUS-LF/U 1-1/4 in DialSet Female NPT Double Union Sweat PRV,348,"<p>The 1-1/4 in DialSet Female NPT Double Union Sweat PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-103-DUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267041645</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
</ul>"
1-1-4-in-dialset-female-npt-single-union-internally-threaded-prv,DS06-103-SUT-LF,Pressure Reducing Valves,"Resideo DS06-103-SUT-LF/U 1-1/4 in DialSet Female NPT Single Union, Internally-Threaded PRV",414,"<p>The 1-1/4 in DialSet Female NPT Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-103-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267786850</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 4.4 lb</li>
</ul>"
1-1-4-in-npt-mixing-valve-lf,MX128LF,Mixing Valve - High Flow,Resideo MX128LF/U 1 1/4 in NPT Mixing Valve LF,367,"<p>The 1 1/4 in NPT Mixing Valve LF by Resideo is part of our mixing valve - high flow selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> MX128LF/U</li>
<li>
<strong>UPC:</strong> 085267358972</li>
<li>
<strong>Category:</strong> Mixing Valve - High Flow</li>
<li>
<strong>Shipping Weight:</strong> 6 lb</li>
</ul>"
1-2-in-dialset-female-npt-double-union-prv,DS06-100-DUT-LF,Pressure Reducing Valves,Resideo DS06-100-DUT-LF/U 1/2 in DialSet Female NPT Double Union PRV,163,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-100-DUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267522441</li>
</ul>"
1-2-in-dialset-female-npt-single-union-sweat-prv,DS06-100-SUS-LF,Pressure Reducing Valves,"Resideo DS06-100-SUS-LF/U 1/2 in DialSet Female NPT Single Union, Sweat PRV",398,"<p>The 1/2 in DialSet Female NPT Single Union, Sweat PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-100-SUS-LF/U</li>
<li>
<strong>UPC:</strong> 085267957878</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.7 lb</li>
</ul>"
1-2-in-dialset-female-single-union-internally-threaded-prv,DS06-100-SUT-LF,Pressure Reducing Valves,"Resideo DS06-100-SUT-LF/U 1/2 in DialSet Female Single Union, Internally-Threaded PRV",408,"<p>The 1/2 in DialSet Female Single Union, Internally-Threaded PRV by Resideo is part of our pressure reducing valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DS06-100-SUT-LF/U</li>
<li>
<strong>UPC:</strong> 085267041638</li>
<li>
<strong>Category:</strong> Pressure Reducing Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.7 lb</li>
</ul>"
