Handle,Command,Body HTML
replacement-cell-assembly-400-1000-ohm-sensitivity,UPDATE,"<p>The Replacement Cell Assembly, 400-1000 Ohm Sensitivity by Resideo is part of our oil burner controls selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 130367/U</li>
<li>
<strong>UPC:</strong> 085267006989</li>
<li>
<strong>Category:</strong> Oil Burner Controls</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
replacement-keys-set-of-2-for-tg509-tg510-tg511-and-tg512,UPDATE,"<p>The Replacement Keys (set of 2) for TG509, TG510, TG511 and TG512 by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 191990A/U</li>
<li>
<strong>UPC:</strong> 085267015196</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cover-plate-7-7-8-x-5-1-2-in-premier-white,UPDATE,"<p>The Cover Plate, 7-7/8 x 5-1/2 in, Premier White® by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 32003796-001/U</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
adaptor-plate-and-ball-assembly,UPDATE,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 40003918-007/U</li>
<li>
<strong>UPC:</strong> 085267031028</li>
</ul>"
decorative-cover-plate-for-t8775-t87k-n,UPDATE,"<p>The Decorative Cover Plate for T8775, T87K,N by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50000066-001/U</li>
<li>
<strong>UPC:</strong> 085267251396</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cover-plate-assembly-for-focuspro-th5110-coverplates-bracket-for-j-boxes-mounting-hardware,UPDATE,"<p>The Cover Plate Assembly for FocusPRO TH5110, coverplates, bracket for j-boxes, mounting hardware by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50001137-001/U</li>
<li>
<strong>UPC:</strong> 085267258364</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cover-plate-assy-focuspro-and-pro,UPDATE,"<p>The Cover Plate Assy, FocusPRO and PRO by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50002883-001/U</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
<li>
<strong>Shipping Weight:</strong> 0.25 lb</li>
</ul>"
premier-white-cover-plate-assembly-with-4-3-4-in-x-4-3-4-in-coverplate,UPDATE,"<p>The Premier white® Cover Plate Assembly with 4 3/4 in x 4 3/4 in Coverplate by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50005625-001/U</li>
<li>
<strong>UPC:</strong> 085267261265</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
range-stop-assembly-with-range-stops-for-degree-f-and-c,UPDATE,"<p>The Range stop assembly with range stops for degree F and C by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50010944-001/U</li>
<li>
<strong>UPC:</strong> 085267266949</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cover-plate-for-pro-th1000-and-pro-th2000-series-5-3-4-x-7-3-8-in-premier-white,UPDATE,"<p>The Cover Plate for PRO TH1000 and PRO TH2000 Series, 5-3/4 x 7-3/8 in , Premier White® by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50022893-001/U</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cover-plate-prestige,UPDATE,"<p>The Cover Plate, Prestige by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50028399-001/U</li>
<li>
<strong>UPC:</strong> 085267701792</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
aube-ac112-flexible-underfloor-sensor,UPDATE,"<p>The Aube AC112 Flexible Underfloor Sensor by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AC112-01/U</li>
<li>
<strong>UPC:</strong> 775264112171</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
airswitch-product-style-e121,UPDATE,"<p>The Airswitch Product, Style E121 by Resideo is part of our pressure switches selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AP5208-30/U</li>
<li>
<strong>UPC:</strong> 085267225359</li>
<li>
<strong>Category:</strong> Pressure Switches</li>
</ul>"
foot-mounted-120-vac-transformer,UPDATE,"<p>The Foot mounted 120 Vac Transformer by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT120B1028/U</li>
<li>
<strong>UPC:</strong> 085267034920</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-bracket-and-higher-sensitivity-cad-cell,UPDATE,"<p>The Cadmium-Sulfide Flame Detector with 60 in Leads, Type R Bracket and Higher Sensitivity Cad Cell by Resideo is part of our oil burner controls selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C554A1463/U</li>
<li>
<strong>Category:</strong> Oil Burner Controls</li>
<li>
<strong>Shipping Weight:</strong> 0.2 lb</li>
</ul>"
cadmium-sulfide-flame-detector-with-60-in-leads-type-r-mounting-bracket-and-130367-cad-cell,UPDATE,"<p>The Cadmium-Sulfide Flame Detector with 60 in leads, Type ""R"" mounting bracket and 130367 Cad Cell by Resideo is part of our oil burner controls selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C554A1794/U</li>
<li>
<strong>UPC:</strong> 085267037877</li>
<li>
<strong>Category:</strong> Oil Burner Controls</li>
</ul>"
c7089u1006-remote-outdoor-temperature-sensor,UPDATE,"<p>The C7089U1006 Remote Outdoor Temperature Sensor by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C7089U1006/U</li>
<li>
<strong>UPC:</strong> 085267256834</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
</ul>"
c7189u1005-remote-indoor-temperature-sensor,UPDATE,"<p>The C7189U1005 Remote Indoor Temperature Sensor by Resideo is part of our thermostat accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C7189U1005/U</li>
<li>
<strong>Category:</strong> Thermostat Accessories</li>
<li>
<strong>Shipping Weight:</strong> 0.1 lb</li>
</ul>"
