Handle,SKU,Status,Preco_atual,Custo,MAP,Executive,Preco_novo,Subida_pct,Compare_at,UPC_loja,UPC_planilha,Flags
0-011-in-orifice-for-lp-stamped-bbr11,HONE-390686-36/U,ACTIVE,4.49,2.99,5.11,3.58,5.11,13.8,,085267028561,85267028561,
0-018-in-orifice-for-natural-gas-stamped-bcr18,HONE-390686-4/U,ACTIVE,3.68,2.45,4.19,2.93,4.19,13.9,,085267028622,85267028622,
1-1-2-inch-union-npt-threaded-adapter,HONE-HS-NPT-104/U,ACTIVE,31.21,20.81,36.99,25.89,36.99,18.5,,194159006379,194159006379,
1-1-4-inch-union-npt-threaded-adapter,HONE-HS-NPT-103/U,ACTIVE,22.92,15.28,27.16,19.01,27.16,18.5,,194159006362,194159006362,
1-2-in-union-propress-mixing-valve-lf-std,HONE-AM100-UP-1LF/U,ACTIVE,151.45,100.97,179.41,125.59,179.41,18.5,,085267742887,85267742887,
1-2-in-union-push-connect-mixing-valve-lf-1070,HONE-AM100C1070-SB-1LF,ACTIVE,141.98,94.65,162.10,113.47,162.10,14.2,,085267587334,85267587334,
1-heat-1-cool-horizontal-thermostat-45-to-95-f,HONE-T8034N1007/U,ACTIVE,45.27,30.18,51.70,36.19,51.70,14.2,,085267271295,85267271295,
1-heat-1-cool-thermostat-45-95-f,HONE-T834N1002/U,ACTIVE,43.23,28.82,49.34,34.54,49.34,14.1,,085267271370,85267271370,
1-in-union-push-connect-mixing-valve-lf-1070,HONE-AM102C1070-SB-1LF,ACTIVE,219.18,146.12,250.24,175.17,250.24,14.2,,085267598491,85267598491,
10-in-round-automatic-damper,HONE-ARD10TZ/U,ACTIVE,155.49,103.66,177.53,124.27,177.53,14.2,,085267461191,85267461191,
10-in-truezone-bypass-damper,HONE-CPRD10/U,ACTIVE,140.61,93.74,160.54,112.38,160.54,14.2,,085267992169,85267992169,
10-in-x-10-in-parallel-blade-damper,HONE-ZD10X10TZ/U,ACTIVE,198.94,132.63,227.14,159,227.14,14.2,,,85267174138,
10-in-x-12-in-parallel-blade-damper,HONE-ZD10X12TZ/U,ACTIVE,204.76,136.51,233.79,163.65,233.79,14.2,,,852677785389,
