Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,SEO Description,Variant Command,Variant SKU,Variant Price,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Country of Origin
resideo-120320-u-replacement-cell-for-c554,NEW,Resideo 120320/U Replacement Cell for C554,<p>Replacement cell for the C554.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 120320/U</li><li><strong>Fits:</strong> C554</li><li><strong>UPC:</strong> 085267122153</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Oil Burner Controls</li></ul>,Resideo,Oil Burner Controls,"Resideo, Oil Burner Controls, map-import-2609, revisar-cadastro",Draft,FALSE,Replacement cell for the C554.,MERGE,HONE-120320/U,33.70,085267122153,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-121371aa-u-capillary-clamp-kit-with-screw-and-nut,NEW,Resideo 121371AA/U Capillary Clamp Kit with Screw and Nut,"<p>Capillary clamp kit with one 121371 clamp, one 804644 screw and one 60156 nut.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 121371AA/U</li><li><strong>Includes:</strong> 1 clamp (121371), 1 screw (804644), 1 nut (60156)</li><li><strong>UPC:</strong> 085267005432</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609, revisar-cadastro",Draft,FALSE,"Capillary clamp kit with one 121371 clamp, one 804644 screw and one 60156 nut.",MERGE,HONE-121371AA/U,18.87,085267005432,0.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-121371l-u-copper-well-assembly-1-2-in-npt-3-in-insertion-3-in-insulation,NEW,"Resideo 121371L/U Copper Well Assembly, 1/2 in NPT, 3 in Insertion, 3 in Insulation","<p>Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 3 in insulation, including mounting clamp.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 121371L/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 1/2 in NPT</li><li><strong>Insulation:</strong> 3 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>Includes:</strong> Mounting clamp</li><li><strong>UPC:</strong> 085267005487</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 3 in insulation, including mounting clamp.",MERGE,HONE-121371L/U,63.70,085267005487,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-121371m-u-copper-well-assembly-3-4-in-npt-3-in-insertion-3-in-insulation,NEW,"Resideo 121371M/U Copper Well Assembly, 3/4 in NPT, 3 in Insertion, 3 in Insulation","<p>Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 3 in insulation, including mounting clamp.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 121371M/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 3/4 in NPT</li><li><strong>Insulation:</strong> 3 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>Includes:</strong> Mounting clamp</li><li><strong>UPC:</strong> 085267005494</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 3 in insulation, including mounting clamp.",MERGE,HONE-121371M/U,71.90,085267005494,0.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-123773a-u-replacement-sail-assembly-for-s688a,NEW,Resideo 123773A/U Replacement Sail Assembly for S688A,"<p>Replacement sail assembly for the S688A.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 123773A/U</li><li><strong>Fits:</strong> S688A</li><li><strong>UPC:</strong> 085267005869</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Controls, Switches &amp; Sensors</li></ul>",Resideo,"Controls, Switches & Sensors","Resideo, Controls, Switches & Sensors, map-import-2609, revisar-cadastro",Draft,FALSE,Replacement sail assembly for the S688A.,MERGE,HONE-123773A/U,31.76,085267005869,0.1,lb,shopify,deny,TRUE,TRUE,MX
resideo-123869a-u-copper-well-assembly-1-2-in-npt-3-in-insertion-1-1-2-in-insulation,NEW,"Resideo 123869A/U Copper Well Assembly, 1/2 in NPT, 3 in Insertion, 1-1/2 in Insulation","<p>Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 1-1/2 in insulation.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 123869A/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 1/2 in NPT</li><li><strong>Insulation:</strong> 1-1/2 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>UPC:</strong> 085267005883</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 1-1/2 in insulation.",MERGE,HONE-123869A/U,53.70,085267005883,0.2,lb,shopify,deny,TRUE,TRUE,MX
resideo-123870a-u-copper-well-assembly-3-4-in-npt-3-in-insertion-1-1-2-in-insulation,NEW,"Resideo 123870A/U Copper Well Assembly, 3/4 in NPT, 3 in Insertion, 1-1/2 in Insulation","<p>Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 1-1/2 in insulation.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 123870A/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 3/4 in NPT</li><li><strong>Insulation:</strong> 1-1/2 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>UPC:</strong> 085267005913</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 1-1/2 in insulation.",MERGE,HONE-123870A/U,54.73,085267005913,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-123871a-u-copper-well-assembly-3-4-in-npt-3-in-insertion-3-in-insulation,NEW,"Resideo 123871A/U Copper Well Assembly, 3/4 in NPT, 3 in Insertion, 3 in Insulation","<p>Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 3 in insulation.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 123871A/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 3/4 in NPT</li><li><strong>Insulation:</strong> 3 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>UPC:</strong> 085267005937</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 3/4 in NPT connection, 3 in insertion well, for 3 in insulation.",MERGE,HONE-123871A/U,68.04,085267005937,0.7,lb,shopify,deny,TRUE,TRUE,MX
resideo-123872a-u-copper-well-assembly-1-2-in-npt-3-in-insertion-3-in-insulation,NEW,"Resideo 123872A/U Copper Well Assembly, 1/2 in NPT, 3 in Insertion, 3 in Insulation","<p>Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 3 in insulation.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 123872A/U</li><li><strong>Material:</strong> Copper</li><li><strong>Connection:</strong> 1/2 in NPT</li><li><strong>Insulation:</strong> 3 in</li><li><strong>Insertion Length:</strong> 3 in</li><li><strong>UPC:</strong> 085267005975</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Aquastats &amp; Wells</li></ul>",Resideo,Aquastats & Wells,"Resideo, Aquastats & Wells, map-import-2609",Draft,FALSE,"Copper well assembly with 1/2 in NPT connection, 3 in insertion well, for 3 in insulation.",MERGE,HONE-123872A/U,61.94,085267005975,0.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-129384a-u-case-cover-for-r8222-r8228-relays,NEW,Resideo 129384A/U Case/Cover for R8222/R8228 Relays,<p>Case/cover for R8222 and R8228 relays.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 129384A/U</li><li><strong>Fits:</strong> R8222/R8228</li><li><strong>UPC:</strong> 085267006750</li><li><strong>Country of Origin:</strong> MX</li><li><strong>Category:</strong> Relays</li></ul>,Resideo,Relays,"Resideo, Relays, map-import-2609, revisar-cadastro",Draft,FALSE,Case/cover for R8222 and R8228 relays.,MERGE,HONE-129384A/U,103.76,085267006750,1.4,lb,shopify,deny,TRUE,TRUE,MX
resideo-136434aa-u-replacement-ionizer-wires-for-f50a-f50e-f50f-electronic-air-cleaners-20-in,NEW,"Resideo 136434AA/U Replacement Ionizer Wires for F50A, F50E, F50F Electronic Air Cleaners, 20 in","<p>Replacement 20-inch ionizer wires for F50A, F50E and F50F electronic air cleaners, priced individually. Sold in multiples of 5.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 136434AA/U</li><li><strong>Length:</strong> 20 in</li><li><strong>Fits:</strong> F50A, F50E, F50F</li><li><strong>UPC:</strong> 085267008778</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,"Replacement 20-inch ionizer wires for F50A, F50E and F50F electronic air cleaners, priced individually. Sold in multiples of 5.",MERGE,HONE-136434AA/U,19.17,085267008778,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-137266-u-replacement-cell-handle-for-f50a-f50e-f50f-electronic-air-cleaners,NEW,"Resideo 137266/U Replacement Cell Handle for F50A, F50E, F50F Electronic Air Cleaners","<p>Replacement cell handle for F50A, F50E and F50F electronic air cleaners.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 137266/U</li><li><strong>Fits:</strong> F50A, F50E, F50F</li><li><strong>UPC:</strong> 085267009041</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,"Replacement cell handle for F50A, F50E and F50F electronic air cleaners.",MERGE,HONE-137266/U,11.26,085267009041,0.1,lb,shopify,deny,TRUE,TRUE,US
resideo-137980a-u-replacement-test-button-for-f50a-f50e-f50f-electronic-air-cleaners,NEW,"Resideo 137980A/U Replacement Test Button for F50A, F50E, F50F Electronic Air Cleaners","<p>Replacement test button for F50A, F50E and F50F electronic air cleaners.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 137980A/U</li><li><strong>Fits:</strong> F50A, F50E, F50F</li><li><strong>UPC:</strong> 085267009386</li><li><strong>Country of Origin:</strong> US</li><li><strong>Category:</strong> Air Cleaners &amp; Filters</li></ul>",Resideo,Air Cleaners & Filters,"Resideo, Air Cleaners & Filters, map-import-2609, revisar-cadastro",Draft,FALSE,"Replacement test button for F50A, F50E and F50F electronic air cleaners.",MERGE,HONE-137980A/U,23.26,085267009386,0.1,lb,shopify,deny,TRUE,TRUE,US
