handle,sku,title,price,peso,vol,peso_dim,lam,perfil,tag
resideo-thm5320r1000-u-redlink-equipment-interface-module-for-wireless-focuspro,HONE-THM5320R1000/U,Resideo THM5320R1000/U RedLINK Equipment Interface Module for Wireless FocusPRO,199.93,1.4,122.27520,0.88,0.0070,General,free-ship-eligible
resideo-m847a1031-u-damper-replacement-part-38-in-linkage-chain-extended-bracket,HONE-M847A1031/U,"Resideo M847A1031/U Damper Replacement Part, 38 in Linkage Chain, Extended Bracket",185.00,1.9,,0.00,0.0103,General,free-ship-eligible
resideo-m847a1049-u-damper-actuator-24-vac-1-9-lb-in-24-sec-timing-3-8-in-linkage-arm,HONE-M847A1049/U,"Resideo M847A1049/U Damper Actuator, 24 VAC, 1.9 lb-in, 24 Sec Timing, 3.8 in Linkage Arm",185.00,1.8,,0.00,0.0097,General,free-ship-eligible
resideo-m847a1080-u-damper-replacement-part-38-in-linkage-chain-extended-bracket,HONE-M847A1080/U,"Resideo M847A1080/U Damper Replacement Part, 38 in Linkage Chain, Extended Bracket",167.33,1.9,,0.00,0.0114,General,free-ship-eligible
resideo-m847d-vent-u-two-position-spring-closed-replacement-damper-actuator-24v,HONE-M847D-VENT/U,"Resideo M847D-VENT/U Two-Position Spring-Closed Replacement Damper Actuator, 24V",129.36,1.4,,0.00,0.0108,General,free-ship-eligible
resideo-m847d-zone-u-two-position-spring-open-replacement-damper-actuator-24v,HONE-M847D-ZONE/U,"Resideo M847D-ZONE/U Two-Position Spring-Open Replacement Damper Actuator, 24V",129.36,1.4,,0.00,0.0108,General,free-ship-eligible
resideo-ard16tz-u-truezone-automatic-round-damper-16-in-normally-open,HONE-ARD16TZ/U,"Resideo ARD16TZ/U TrueZONE Automatic Round Damper, 16 in, Normally Open",241.91,13.0,,0.00,0.0537,THS Standard - no free shipping,
resideo-ard20tz-u-truezone-automatic-round-damper-20-in-normally-open,HONE-ARD20TZ/U,"Resideo ARD20TZ/U TrueZONE Automatic Round Damper, 20 in, Normally Open",279.74,23.0,,0.00,0.0822,THS Standard - no free shipping,
resideo-ard8tz-u-truezone-automatic-round-damper-8-in-normally-open,HONE-ARD8TZ/U,"Resideo ARD8TZ/U TrueZONE Automatic Round Damper, 8 in, Normally Open",172.91,4.0,,0.00,0.0231,General,free-ship-eligible
resideo-ard9tz-u-truezone-automatic-round-damper-9-in-normally-open,HONE-ARD9TZ/U,"Resideo ARD9TZ/U TrueZONE Automatic Round Damper, 9 in, Normally Open",176.46,5.0,,0.00,0.0283,General,free-ship-eligible
resideo-cpr10-u-replacement-regulator-for-cprd10-bypass-damper,HONE-CPR10/U,Resideo CPR10/U Replacement Regulator for CPRD10 Bypass Damper,53.07,0.9,,0.00,0.0170,General,free-ship-eligible
resideo-cpr12-u-replacement-regulator-for-cprd12-bypass-damper,HONE-CPR12/U,Resideo CPR12/U Replacement Regulator for CPRD12 Bypass Damper,53.07,0.9,,0.00,0.0170,General,free-ship-eligible
resideo-cpr14-u-replacement-regulator-for-cprd14-bypass-damper,HONE-CPR14/U,Resideo CPR14/U Replacement Regulator for CPRD14 Bypass Damper,53.07,1.0,,0.00,0.0188,General,free-ship-eligible
resideo-cpr8-u-replacement-regulator-for-cprd8-bypass-damper,HONE-CPR8/U,Resideo CPR8/U Replacement Regulator for CPRD8 Bypass Damper,53.07,0.8,,0.00,0.0151,General,free-ship-eligible
resideo-cprd12-u-truezone-bypass-round-damper-12-in,HONE-CPRD12/U,"Resideo CPRD12/U TrueZONE Bypass Round Damper, 12 in",164.23,8.0,2446.73520,17.60,0.1072,THS Standard - no free shipping,
resideo-cprd14-u-truezone-bypass-round-damper-14-in,HONE-CPRD14/U,"Resideo CPRD14/U TrueZONE Bypass Round Damper, 14 in",180.10,10.0,3635.87840,26.16,0.1452,THS Standard - no free shipping,
resideo-cprd8-u-truezone-bypass-round-damper-8-in,HONE-CPRD8/U,"Resideo CPRD8/U TrueZONE Bypass Round Damper, 8 in",154.34,4.0,890.88800,6.41,0.0415,THS Standard - no free shipping,
resideo-hz221-u-truezone-zone-control-panel-2-zones-single-stage-heat-pump-with-auxiliary-heat,HONE-HZ221/U,"Resideo HZ221/U TrueZONE Zone Control Panel, 2 Zones, Single-Stage Heat Pump with Auxiliary Heat",191.43,1.4,119.0400,0.86,0.0073,General,free-ship-eligible
resideo-hz221k-u-truezone-hz221-zone-panel-kit-with-discharge-air-sensor-and-transformer,HONE-HZ221K/U,Resideo HZ221K/U TrueZONE HZ221 Zone Panel Kit with Discharge Air Sensor and Transformer,235.33,3.8,119.0400,0.86,0.0161,General,free-ship-eligible
resideo-mard10-u-modulating-automatic-round-damper-10-in,HONE-MARD10/U,"Resideo MARD10/U Modulating Automatic Round Damper, 10 in",280.91,6.0,,0.00,0.0214,General,free-ship-eligible
resideo-mard12-u-modulating-automatic-round-damper-12-in,HONE-MARD12/U,"Resideo MARD12/U Modulating Automatic Round Damper, 12 in",279.31,7.0,,0.00,0.0251,General,free-ship-eligible
resideo-mard14-u-modulating-automatic-round-damper-14-in,HONE-MARD14/U,"Resideo MARD14/U Modulating Automatic Round Damper, 14 in",296.43,11.0,,0.00,0.0371,THS Standard - no free shipping,
resideo-mard16-u-modulating-automatic-round-damper-16-in,HONE-MARD16/U,"Resideo MARD16/U Modulating Automatic Round Damper, 16 in",314.64,13.0,,0.00,0.0413,THS Standard - no free shipping,
resideo-mard18-u-modulating-automatic-round-damper-18-in,HONE-MARD18/U,"Resideo MARD18/U Modulating Automatic Round Damper, 18 in",335.33,16.0,,0.00,0.0477,THS Standard - no free shipping,
resideo-mard6-u-modulating-automatic-round-damper-6-in,HONE-MARD6/U,"Resideo MARD6/U Modulating Automatic Round Damper, 6 in",262.50,4.0,,0.00,0.0152,General,free-ship-eligible
resideo-rrd5-u-retrofit-round-damper-5-in,HONE-RRD5/U,"Resideo RRD5/U Retrofit Round Damper, 5 in",180.16,3.6,89.906550,0.65,0.0200,General,free-ship-eligible
resideo-rrd6-u-retrofit-round-damper-6-in,HONE-RRD6/U,"Resideo RRD6/U Retrofit Round Damper, 6 in",184.69,3.6,89.906550,0.65,0.0195,General,free-ship-eligible
resideo-rrd7-u-retrofit-round-damper-7-in,HONE-RRD7/U,"Resideo RRD7/U Retrofit Round Damper, 7 in",189.17,4.1,89.906550,0.65,0.0217,General,free-ship-eligible
resideo-rrd8-u-retrofit-round-damper-8-in,HONE-RRD8/U,"Resideo RRD8/U Retrofit Round Damper, 8 in",193.66,4.3,89.906550,0.65,0.0222,General,free-ship-eligible
resideo-spc-u-static-pressure-control,HONE-SPC/U,Resideo SPC/U Static Pressure Control,358.21,1.4,,0.00,0.0039,General,free-ship-eligible
resideo-zd10x22tz-u-truezone-parallel-blade-zone-damper-10-in-x-22-in,HONE-ZD10X22TZ/U,"Resideo ZD10X22TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 22 in",313.99,8.7,880.000,6.33,0.0277,General,free-ship-eligible
resideo-zd10x24tz-u-truezone-parallel-blade-zone-damper-10-in-x-24-in,HONE-ZD10X24TZ/U,"Resideo ZD10X24TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 24 in",282.96,8.6,960.000,6.91,0.0304,General,free-ship-eligible
resideo-zd10x26tz-u-truezone-parallel-blade-zone-damper-10-in-x-26-in,HONE-ZD10X26TZ/U,"Resideo ZD10X26TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 26 in",333.76,10.2,1040.000,7.48,0.0306,General,free-ship-eligible
resideo-zd10x28tz-u-truezone-parallel-blade-zone-damper-10-in-x-28-in,HONE-ZD10X28TZ/U,"Resideo ZD10X28TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 28 in",343.57,9.7,1120.000,8.06,0.0282,General,free-ship-eligible
resideo-zd10x6tz-u-truezone-parallel-blade-zone-damper-10-in-x-6-in,HONE-ZD10X6TZ/U,"Resideo ZD10X6TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 6 in",252.71,4.3,240.000,1.73,0.0170,General,free-ship-eligible
resideo-zd10x8tz-u-truezone-parallel-blade-zone-damper-10-in-x-8-in,HONE-ZD10X8TZ/U,"Resideo ZD10X8TZ/U TrueZONE Parallel Blade Zone Damper, 10 in x 8 in",215.50,4.9,320.000,2.30,0.0227,General,free-ship-eligible
resideo-zd12x10tz-u-truezone-parallel-blade-zone-damper-12-in-x-10-in,HONE-ZD12X10TZ/U,"Resideo ZD12X10TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 10 in",233.79,5.8,480.000,3.45,0.0248,General,free-ship-eligible
resideo-zd12x16tz-u-truezone-parallel-blade-zone-damper-12-in-x-16-in,HONE-ZD12X16TZ/U,"Resideo ZD12X16TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 16 in",292.59,7.6,768.000,5.53,0.0260,General,free-ship-eligible
resideo-zd12x18tz-u-truezone-parallel-blade-zone-damper-12-in-x-18-in,HONE-ZD12X18TZ/U,"Resideo ZD12X18TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 18 in",300.36,8.4,864.000,6.22,0.0280,General,free-ship-eligible
resideo-zd12x22tz-u-truezone-parallel-blade-zone-damper-12-in-x-22-in,HONE-ZD12X22TZ/U,"Resideo ZD12X22TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 22 in",323.94,10.3,1056.000,7.60,0.0318,General,free-ship-eligible
resideo-zd12x24tz-u-truezone-parallel-blade-zone-damper-12-in-x-24-in,HONE-ZD12X24TZ/U,"Resideo ZD12X24TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 24 in",330.51,10.7,1152.000,8.29,0.0324,General,free-ship-eligible
resideo-zd12x26tz-u-truezone-parallel-blade-zone-damper-12-in-x-26-in,HONE-ZD12X26TZ/U,"Resideo ZD12X26TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 26 in",343.16,11.6,1248.000,8.98,0.0338,THS Standard - no free shipping,
resideo-zd12x28tz-u-truezone-parallel-blade-zone-damper-12-in-x-28-in,HONE-ZD12X28TZ/U,"Resideo ZD12X28TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 28 in",349.96,12.5,1344.000,9.67,0.0357,THS Standard - no free shipping,
resideo-zd12x6tz-u-truezone-parallel-blade-zone-damper-12-in-x-6-in,HONE-ZD12X6TZ/U,"Resideo ZD12X6TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 6 in",263.07,4.7,288.000,2.07,0.0179,General,free-ship-eligible
resideo-zd12x8tz-u-truezone-parallel-blade-zone-damper-12-in-x-8-in,HONE-ZD12X8TZ/U,"Resideo ZD12X8TZ/U TrueZONE Parallel Blade Zone Damper, 12 in x 8 in",223.80,5.1,384.000,2.76,0.0228,General,free-ship-eligible
resideo-zd14x14tz-u-truezone-parallel-blade-zone-damper-14-in-x-14-in,HONE-ZD14X14TZ/U,"Resideo ZD14X14TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 14 in",267.91,7.5,784.000,5.64,0.0280,General,free-ship-eligible
resideo-zd14x16tz-u-truezone-parallel-blade-zone-damper-14-in-x-16-in,HONE-ZD14X16TZ/U,"Resideo ZD14X16TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 16 in",300.36,8.3,896.000,6.45,0.0276,General,free-ship-eligible
resideo-zd14x18tz-u-truezone-parallel-blade-zone-damper-14-in-x-18-in,HONE-ZD14X18TZ/U,"Resideo ZD14X18TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 18 in",316.90,9.7,1008.000,7.25,0.0306,General,free-ship-eligible
resideo-zd14x20tz-u-truezone-parallel-blade-zone-damper-14-in-x-20-in,HONE-ZD14X20TZ/U,"Resideo ZD14X20TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 20 in",320.80,9.4,1120.000,8.06,0.0293,General,free-ship-eligible
resideo-zd14x22tz-u-truezone-parallel-blade-zone-damper-14-in-x-22-in,HONE-ZD14X22TZ/U,"Resideo ZD14X22TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 22 in",326.63,10.9,1232.000,8.86,0.0334,General,free-ship-eligible
resideo-zd14x24tz-u-truezone-parallel-blade-zone-damper-14-in-x-24-in,HONE-ZD14X24TZ/U,"Resideo ZD14X24TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 24 in",348.49,11.2,1344.000,9.67,0.0321,General,free-ship-eligible
resideo-zd14x26tz-u-truezone-parallel-blade-zone-damper-14-in-x-26-in,HONE-ZD14X26TZ/U,"Resideo ZD14X26TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 26 in",366.14,12.1,1456.000,10.47,0.0330,General,free-ship-eligible
resideo-zd14x28tz-u-truezone-parallel-blade-zone-damper-14-in-x-28-in,HONE-ZD14X28TZ/U,"Resideo ZD14X28TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 28 in",377.80,12.1,1568.000,11.28,0.0320,General,free-ship-eligible
resideo-zd14x6tz-u-truezone-parallel-blade-zone-damper-14-in-x-6-in,HONE-ZD14X6TZ/U,"Resideo ZD14X6TZ/U TrueZONE Parallel Blade Zone Damper, 14 in x 6 in",267.97,5.0,336.000,2.42,0.0187,General,free-ship-eligible
