variant_id,sku,perfil_anterior,perfil_novo
gid://shopify/ProductVariant/50331148812391,HONE-ARD16TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331148845159,HONE-ARD20TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152056423,HONE-CPRD12/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152121959,HONE-CPRD14/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152154727,HONE-CPRD8/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331164311655,HONE-MARD14/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331164344423,HONE-MARD16/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331164377191,HONE-MARD18/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331186298983,HONE-ZD12X26TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331186331751,HONE-ZD12X28TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331187052647,HONE-ZD16X26TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331187708007,HONE-ZD20X14TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331187773543,HONE-ZD20X16TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331201470567,HONE-ZD22X24TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331217723495,HONE-ZD24X22TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331217756263,HONE-ZD24X24TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331218018407,HONE-ZD26X20TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331218215015,HONE-ZD28X20TZ/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331143438439,HONE-50067967-003/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152580711,HONE-DHM065R4000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152613479,HONE-DHM090R4000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331152646247,HONE-DHM120R4000/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331154972775,HONE-F100F2044/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155005543,HONE-F100F2051/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155071079,HONE-F200F1620/U,General profile,THS Standard - no free shipping
gid://shopify/ProductVariant/50331155136615,HONE-F200F1625/U,General profile,THS Standard - no free shipping
