Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
resideo-rrd5-u-retrofit-round-damper-5-in,UPDATE,UPDATE,HONE-RRD5/U,3.6,lb
resideo-rrd7-u-retrofit-round-damper-7-in,UPDATE,UPDATE,HONE-RRD7/U,4.1,lb
resideo-rrd8-u-retrofit-round-damper-8-in,UPDATE,UPDATE,HONE-RRD8/U,4.3,lb
resideo-fm911-u-1-2-in-boiler-fill-valve-and-backflow-preventer-combo-assembly,UPDATE,UPDATE,HONE-FM911/U,4.0,lb
resideo-taxv-015-u-taxv-thermal-expansion-tank-7-8-gal-vertical-1-2-in-male-npt-asme,UPDATE,UPDATE,HONE-TAXV-015/U,48.0,lb
resideo-taxv-020-u-taxv-thermal-expansion-tank-10-9-gal-vertical-1-2-in-male-npt-asme,UPDATE,UPDATE,HONE-TAXV-020/U,61.0,lb
resideo-taxv-040-u-taxv-thermal-expansion-tank-21-7-gal-vertical-1-2-in-male-npt-asme,UPDATE,UPDATE,HONE-TAXV-040/U,116.0,lb
resideo-taxv-060-u-taxv-thermal-expansion-tank-33-6-gal-vertical-1-2-in-male-npt-asme,UPDATE,UPDATE,HONE-TAXV-060/U,145.0,lb
resideo-taxv-100-u-taxv-vertical-expansion-tank-asme-125-psig,UPDATE,UPDATE,HONE-TAXV-100/U,231.0,lb
resideo-taxv-260-u-taxv-series-thermal-expansion-tank,UPDATE,UPDATE,HONE-TAXV-260/U,435.0,lb
resideo-taxv-280-u-taxv-series-thermal-expansion-tank,UPDATE,UPDATE,HONE-TAXV-280/U,435.0,lb
resideo-tk300-30-u-heating-expansion-tank-4-4-gallon-1-2-in-male-npt,UPDATE,UPDATE,HONE-TK300-30/U,9.0,lb
resideo-tk300-60-u-heating-expansion-tank-7-6-gallon-1-2-in-male-npt,UPDATE,UPDATE,HONE-TK300-60/U,14.0,lb
resideo-tx-25v-u-potable-water-expansion-tank-10-3-gallon-1-in-female-npt,UPDATE,UPDATE,HONE-TX-25V/U,23.0,lb
resideo-th114-af-024t-u-low-voltage-non-programmable-thermostat-with-floor-sensor-24-v-0-5-a,UPDATE,UPDATE,HONE-TH114-AF-024T/U,1.0,lb
resideo-388146kp-u-lp-gas-orifice,UPDATE,UPDATE,HONE-388146KP/U,0.1,lb
resideo-903128-seal-ring-for-as06-ff06-and-fk06-1-in,UPDATE,UPDATE,HONE-903128,0.1,lb
