Handle,Command,Title
single-stage-lp-to-natural-gas-conversion-kit-5-in-wc-to-7-in-wc-adjustment-includes-regulator-spring-o-ring-adjustment-screw-and-cap-screw,UPDATE,"Resideo 395253-1/U Single Stage LP to Natural Gas Conversion Kit, 5 in WC to 7 in WC Adjustment, includes regulator spring, O-ring, adjustment screw and cap"
1-dialset-press-double-union-pressure-reducing-valve,UPDATE,"Resideo DS06-102-DUP-LF/U 1"" DialSet Press Double Union Pressure Reducing Valve"
high-or-low-limit-aquastat-range-130-270-f-adjustable-differential-spst-contacts-break-on-temperature-rise-remote-bulb-120-in-capillary-length,UPDATE,"Resideo L4008A1130/U High or Low Limit Aquastat, Range 130-270 °F, adjustable differential, SPST, contacts break on temperature rise, remote bulb, 120 in"
circulator-aquastat-range-100-240-f-adjustable-differential-spst-contacts-break-on-temperature-rise-remote-bulb-66-in-capillary-length,UPDATE,"Resideo L4008B1013/U Circulator Aquastat, Range 100-240 °F, adjustable differential, SPST, contacts break on temperature rise, remote bulb, 66 in capillary length"
high-limit-aquastat-controller-range-130-270-f-manual-reset-spst-contacts-break-on-temperature-rise-remote-bulb-66-in-capillary-length,UPDATE,"Resideo L4008E1040/U High Limit Aquastat Controller, Range 130-270 °F, manual reset, SPST, contacts break on temperature rise, remote bulb, 66 in capillary length"
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-1-2-in-npt-fixed-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo L6006A1012/U Circulator Aquastat Controller, High or Low Limit, Range 100-240 °F, 1/2 in NPT, fixed differential, SPST, NO terminals break on temperature"
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo L6006A1244/U Circulator Aquastat Controller, High or Low Limit, Range 100-240 °F, adjustable differential, SPST, NO terminals break on temperature rise"
circulator-aquastat-controller-high-or-low-limit-range-65-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo L6006C1034/U Circulator Aquastat Controller, High or Low Limit, Range 65-200 °F, adjustable differential, SPST, NO terminals break on temperature rise"
circulator-aquastat-controller-high-or-low-limit-range-100-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo L6008A1242/U Circulator Aquastat Controller, High or Low Limit, Range 100-200 °F, adjustable differential, SPST, NO terminals break on temperature rise"
1-1-4-supervent-air-eliminator-sweat,UPDATE,"Resideo PV125S/U 1-1/4"" SuperVent Air Eliminator Sweat"
1-1-2-press-supervent-air-eliminator,UPDATE,"Resideo PV150P/U 1-1/2"" Press SuperVent Air Eliminator"
standing-pilot-burner-for-natural-gas-includes-an-a26-and-k14-orifices-1-in-batwing-tip-style-b-style-mounting-bracket-primary-aeration,UPDATE,"Resideo Q327A1626/U Standing Pilot Burner for Natural Gas, includes an A26 and K14 Orifices, 1 in Batwing Tip Style, B-Style Mounting Bracket, primary aeration"
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-left-single-tip-style-c-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Q3450C1185/U Pilot Burner, used for Natural Gas includes a BCR-18 Orifice, Left Single Tip Style, C-Style Mounting Bracket and primary aeration"
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-front-single-tip-style-c-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Q3450C2092/U Pilot Burner, used for Natural Gas includes a BCR-18 Orifice, Front Single Tip Style, C-Style Mounting Bracket and primary aeration"
pilot-burner-used-for-natural-gas-includes-a-bcr-22-orifice-right-single-tip-style-e-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Q3450E3020/U Pilot Burner, used for Natural Gas includes a BCR-22 Orifice, Right Single Tip Style, E-Style Mounting Bracket and primary aeration"
standard-2-stage-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-gas-1-2-in-npt-x-1-2-in-npt-inlet-outlet-size,UPDATE,"Resideo SV9541Q2561/U Standard 2-Stage Opening SmartValve, Intermittent Hot Surface Pilot Ignition, Natural Gas, 1/2 in NPT x 1/2 in NPT inlet/outlet size"
standard-opening-smartvalve-intermittent-hot-surface-pilot-ignition-natural-lp-with-included-conversion-kit-3-4-in-npt-x-3-4-in-npt,UPDATE,"Resideo SV9601M4571/U Standard Opening SmartValve, Intermittent Hot Surface Pilot Ignition, Natural/LP with included conversion kit, 3/4 in NPT x 3/4 in NPT"
l5-wifi-power-adapter-for-north-america,UPDATE,Resideo VB-SP02Y-003 L5 WiFi Power Adapter for North America
single-stage-gas-controls-for-standing-pilot-appliance-3-4-in-x-3-4-in-standard-opening-120-v-ac-natural-gas-lp-with-included-conversion-kit,UPDATE,"Resideo VR4300A4502/U Single Stage Gas Controls for Standing Pilot appliance, 3/4 in x 3/4 in, Standard Opening, 120 V AC, Natural Gas/LP with included conversion"
single-stage-gas-controls-for-intermittent-pilot-appliance-1-2-in-x-1-2-in-inlet-outlet-size-slow-opening-24-v-ac-natural-gas,UPDATE,"Resideo VR8204H1006/U Single Stage Gas Controls for Intermittent Pilot appliance, 1/2 in x 1/2 in inlet/outlet size, Slow Opening, 24 V AC, Natural Gas"
